文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
你要爪子嘛,说出目的,,,,,,
打我电话爪子,说出目的,,,,,,
打我电话干什么,说出目的,,,,,,
你在干嘛,说出目的,,,,,,
你找他干什么？,说出目的,,,,,,
你问我干嘛,说出目的,,,,,,
你说，什么事,说出目的,,,,,,
讲啥子喃？,说出目的,,,,,,
干嘛有什么事说,说出目的,,,,,,
干嘛什么事快说,说出目的,,,,,,
你先说你谁啊,说出目的,,,,,,
咋了,说出目的,,,,,,
有事？,说出目的,,,,,,
我什么事情,说出目的,,,,,,
谁让你打的,说出目的,,,,,,
是又爪子嘛,说出目的,,,,,,
弄啥勒,说出目的,,,,,,
咋回事？,说出目的,,,,,,
有时快说我有事,说出目的,,,,,,
你到底想干嘛啊？,说出目的,,,,,,
嗯哼，啥事,说出目的,,,,,,
有事,说出目的,,,,,,
啥子怪？,说出目的,,,,,,
搞莫家伙哦,说出目的,,,,,,
找我有什么事情,说出目的,,,,,,
请问找他干嘛,说出目的,,,,,,
你哪来的我电话，你想干啥？,说出目的,,,,,,
有事情就说,说出目的,,,,,,
会不会说话呢，有啥子事？,说出目的,,,,,,
啥情况，妹儿,说出目的,,,,,,
先说事,说出目的,,,,,,
我是他朋友，你找他又什么事,说出目的,,,,,,
你的目的是什么,说出目的,,,,,,
搞么之咧,说出目的,,,,,,
你有5分钟时间说明来意,说出目的,,,,,,
咋了？,说出目的,,,,,,
有啥子事情？,说出目的,,,,,,
你老几啊，你管我是谁，你想干嘛？,说出目的,,,,,,
直说你要干嘛。,说出目的,,,,,,
我认识，你找他咋子,说出目的,,,,,,
啥情况，帅哥,说出目的,,,,,,
什么事情？他现在不在，要不要我转告他？,说出目的,,,,,,
嘛呢，干嘛呢,说出目的,,,,,,
怎么了，有屁快放,说出目的,,,,,,
干么斯,说出目的,,,,,,
别墨迹，快说,说出目的,,,,,,
嘛事啊,说出目的,,,,,,
咋子？张哥,说出目的,,,,,,
长话短说，我要赶飞机了,说出目的,,,,,,
就什么事情,说出目的,,,,,,
你在说啥子哦,说出目的,,,,,,
啥子事，烦の很,说出目的,,,,,,
直接说事,说出目的,,,,,,
找我有什么事,说出目的,,,,,,
就是我，找我啥子事,说出目的,,,,,,
怎么啦,说出目的,,,,,,
咋啦,说出目的,,,,,,
咋地了？,说出目的,,,,,,
咋的了,说出目的,,,,,,
额？,说出目的,,,,,,
杂子了,说出目的,,,,,,
不想听你说什么废话，快说,说出目的,,,,,,
你是不是神经病啊？你要干嘛,说出目的,,,,,,
请问有什么事？,说出目的,,,,,,
啊，怎么了？有事吗？,说出目的,,,,,,
搞啥子,说出目的,,,,,,
嗯？,说出目的,,,,,,
不要这么无聊好不好,说出目的,,,,,,
what are you 弄啥呢,说出目的,,,,,,
弄啥？,说出目的,,,,,,
你到底要干啥子哦？,说出目的,,,,,,
有事直说,说出目的,,,,,,
咋子事,说出目的,,,,,,
你到底找谁,说出目的,,,,,,
嗯嗯你要做什么,说出目的,,,,,,
干什么,说出目的,,,,,,
说，什么事？,说出目的,,,,,,
有问题吗,说出目的,,,,,,
你有什么事情吗,说出目的,,,,,,
什么事情？,说出目的,,,,,,
杂滴,说出目的,,,,,,
爪子？,说出目的,,,,,,
有何贵干,说出目的,,,,,,
干嘛，我是谁干嘛告诉你,说出目的,,,,,,
有什么事你说,说出目的,,,,,,
找他干嘛？,说出目的,,,,,,
啥干,说出目的,,,,,,
有什么事情吗,说出目的,,,,,,
怎么说,说出目的,,,,,,
有事啊？,说出目的,,,,,,
请问什么事,说出目的,,,,,,
有啥子事？,说出目的,,,,,,
有啥子事啦,说出目的,,,,,,
找他有什么事,说出目的,,,,,,
你有啥事情吗,说出目的,,,,,,
你干嘛,说出目的,,,,,,
怎么回事,说出目的,,,,,,
怎么了找他干嘛,说出目的,,,,,,
有事么,说出目的,,,,,,
有什么事么,说出目的,,,,,,
你们是哪里,说出目的,,,,,,
有事哇,说出目的,,,,,,
找他做什么,说出目的,,,,,,
啥事啊,说出目的,,,,,,
你找谁,说出目的,,,,,,
你找我干嘛,说出目的,,,,,,
你这边什么情况,说出目的,,,,,,
和你有关系吗,说出目的,,,,,,
找他什么事情,说出目的,,,,,,
你们怎么会有我的电话,说出目的,,,,,,
你找他爪子？,说出目的,,,,,,
怎么回事啊,说出目的,,,,,,
他怎么了,说出目的,,,,,,
我有事你赶紧说,说出目的,,,,,,
怎么,说出目的,,,,,,
有何贵干啊,说出目的,,,,,,
说什么事,说出目的,,,,,,
有事说,说出目的,,,,,,
囊个,说出目的,,,,,,
你这边有什么问题吗？,说出目的,,,,,,
你说,说出目的,,,,,,
有什么事么？,说出目的,,,,,,
什么事情，说,说出目的,,,,,,
有什么事情快说,说出目的,,,,,,
老打电话干嘛,说出目的,,,,,,
有啥子事阿,说出目的,,,,,,
在忙有事快说,说出目的,,,,,,
你找张三干嘛,说出目的,,,,,,
有什么事情，他在忙，没得空接你的电话,说出目的,,,,,,
你找他做啥,说出目的,,,,,,
有事快说有屁快放,说出目的,,,,,,
爪子,说出目的,,,,,,
你说吧,说出目的,,,,,,
有啥事,说出目的,,,,,,
你他妈说啊,说出目的,,,,,,
你找他有什么事,说出目的,,,,,,
有什么事直接说,说出目的,,,,,,
有什么问题吗,说出目的,,,,,,
那你打我电话干嘛,说出目的,,,,,,
什么事哈哈哈,说出目的,,,,,,
有什么事。,说出目的,,,,,,
他现在不在，你有事吗,说出目的,,,,,,
有什么事赶紧说。我忙着呢。,说出目的,,,,,,
有事说别墨迹,说出目的,,,,,,
啥事儿？,说出目的,,,,,,
有啥子事情，赶紧说,说出目的,,,,,,
什么事呢,说出目的,,,,,,
说哈,说出目的,,,,,,
打电话给我干什么,说出目的,,,,,,
认识啊，你找他有啥子事情吗？,说出目的,,,,,,
我也在找他,说出目的,,,,,,
他犯什么事了,说出目的,,,,,,
打我电话干嘛的,说出目的,,,,,,
有什么事吗,说出目的,,,,,,
有事和我说,说出目的,,,,,,
他出什么事了,说出目的,,,,,,
找他做什么啊,说出目的,,,,,,
