文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
钱到了立马给你打电话,讨价还价,,,,,,
我去借钱看看，借到就处理,讨价还价,,,,,,
我去问一下有没有人愿意借给我！,讨价还价,,,,,,
我去看看能不能借到,讨价还价,,,,,,
看我借到再说,讨价还价,,,,,,
也许可以,讨价还价,,,,,,
也许吧,讨价还价,,,,,,
也许,讨价还价,,,,,,
要减免下,讨价还价,,,,,,
想办法还,讨价还价,,,,,,
现在在开车明天我会还一部分的,讨价还价,,,,,,
现在在高速，过两天处理,讨价还价,,,,,,
我周转一下回复你,讨价还价,,,,,,
看我能否接受,讨价还价,,,,,,
我周转一下！,讨价还价,,,,,,
再看看,讨价还价,,,,,,
再想想,讨价还价,,,,,,
缓缓行不行,讨价还价,,,,,,
能不能分期还？,讨价还价,,,,,,
我应该还没有逾期两个月哦,讨价还价,,,,,,
滞纳金能不能省掉,讨价还价,,,,,,
能不能再优惠点儿,讨价还价,,,,,,
能不能把利息减免再无息分期？,讨价还价,,,,,,
优惠力度大不大,讨价还价,,,,,,
明显还可以再优惠点儿,讨价还价,,,,,,
能不能换个长点儿的还款周期呢,讨价还价,,,,,,
万一我还了，你们又说还是利息和滞纳金呢,讨价还价,,,,,,
你怎么证明给我减免啊？,讨价还价,,,,,,
还有没有更低的方案,讨价还价,,,,,,
只愿还本金,讨价还价,,,,,,
只还本金,讨价还价,,,,,,
这个金额可不可以再少点,讨价还价,,,,,,
占时没钱，不知道能不能借到,讨价还价,,,,,,
正在想办法,讨价还价,,,,,,
这个，我一定尽量,讨价还价,,,,,,
在想想办法吧,讨价还价,,,,,,
再说说，免啥子？,讨价还价,,,,,,
能不能不还利息,讨价还价,,,,,,
我周转看看,讨价还价,,,,,,
我知道我去想办法,讨价还价,,,,,,
我想法子,讨价还价,,,,,,
我想办法看看,讨价还价,,,,,,
我想办法发筹钱,讨价还价,,,,,,
能不能一年还清？,讨价还价,,,,,,
我想办法,讨价还价,,,,,,
我现在借钱,讨价还价,,,,,,
我先去想办法,讨价还价,,,,,,
我先去借钱看看,讨价还价,,,,,,
我问一下,讨价还价,,,,,,
我问问看,讨价还价,,,,,,
我问问家里,讨价还价,,,,,,
我商量一下,讨价还价,,,,,,
我去周转一下,讨价还价,,,,,,
我去找朋友借钱处理,讨价还价,,,,,,
我去想想办法,讨价还价,,,,,,
我去想办法,讨价还价,,,,,,
我去问问他,讨价还价,,,,,,
我去问问朋友,讨价还价,,,,,,
我去问问,讨价还价,,,,,,
我去看看我能不能借到再说吧,讨价还价,,,,,,
我想想,讨价还价,,,,,,
我想想吧,讨价还价,,,,,,
我想想办法,讨价还价,,,,,,
我要和家人商量一下！,讨价还价,,,,,,
我只能是尽量,讨价还价,,,,,,
我只还本金,讨价还价,,,,,,
我这边再看看,讨价还价,,,,,,
我找我朋友问问,讨价还价,,,,,,
我找我朋友借点看看,讨价还价,,,,,,
我在咨询一下,讨价还价,,,,,,
我在想想办法,讨价还价,,,,,,
我在想想吧,讨价还价,,,,,,
我在考虑考虑,讨价还价,,,,,,
能不能把利息全减了,讨价还价,,,,,,
我再想想办法吧,讨价还价,,,,,,
我再考虑下吧,讨价还价,,,,,,
我有钱自然会还,讨价还价,,,,,,
我一定想办法,讨价还价,,,,,,
我也很想还,讨价还价,,,,,,
可以少还一点,讨价还价,,,,,,
我再想想,讨价还价,,,,,,
我问一下我朋友,讨价还价,,,,,,
回去商量,讨价还价,,,,,,
我考虑一下,讨价还价,,,,,,
我考虑考虑,讨价还价,,,,,,
我尽量吧,讨价还价,,,,,,
我尽量,讨价还价,,,,,,
我尽量哈,讨价还价,,,,,,
问问老婆同不同意,讨价还价,,,,,,
问问家人,讨价还价,,,,,,
尽量吧,讨价还价,,,,,,
尽量,讨价还价,,,,,,
尽力,讨价还价,,,,,,
工资发了就还,讨价还价,,,,,,
出车祸了,讨价还价,,,,,,
处理好了联系你,讨价还价,,,,,,
工资发了就处理,讨价还价,,,,,,
回头打电话再说,讨价还价,,,,,,
过几天就还了,讨价还价,,,,,,
我试试看！,讨价还价,,,,,,
我试试看,讨价还价,,,,,,
我试试吧,讨价还价,,,,,,
过段时间处理,讨价还价,,,,,,
看看再说,讨价还价,,,,,,
看看情况的,讨价还价,,,,,,
看看吧,讨价还价,,,,,,
先缓缓，马上就还,讨价还价,,,,,,
工程款下来就还了,讨价还价,,,,,,
等发工资的我自己处理,讨价还价,,,,,,
等发工资我联系你,讨价还价,,,,,,
等发工资再说,讨价还价,,,,,,
发工资,讨价还价,,,,,,
等找到债在说,讨价还价,,,,,,
等下我去借钱,讨价还价,,,,,,
等放假我回家处理,讨价还价,,,,,,
等我朋友借钱给我,讨价还价,,,,,,
等我和家里人商量下,讨价还价,,,,,,
等我发工资再说,讨价还价,,,,,,
等我办好卡的再说,讨价还价,,,,,,
等老婆拨款,讨价还价,,,,,,
发工资的时候联系你,讨价还价,,,,,,
大后年在说,讨价还价,,,,,,
给我再想想吧,讨价还价,,,,,,
大后天再还xxx款,讨价还价,,,,,,
给我考虑下,讨价还价,,,,,,
给点时间,讨价还价,,,,,,
看工资发多少,讨价还价,,,,,,
发工资再说,讨价还价,,,,,,
到时候看看吧,讨价还价,,,,,,
能不能再减掉点啊,讨价还价,,,,,,
我回家商量,讨价还价,,,,,,
帅哥，帮帮忙楼,讨价还价,,,,,,
借借看吧+,讨价还价,,,,,,
帅哥，帮帮忙喽，靠你了,讨价还价,,,,,,
我争取还,讨价还价,,,,,,
缓缓行不行啊,讨价还价,,,,,,
我只有200元，你要不要，不要拉倒,讨价还价,,,,,,
缓缓行不行嗯,讨价还价,,,,,,
缓缓行不行了,讨价还价,,,,,,
缓缓行不行哈哈哈,讨价还价,,,,,,
家人正在帮忙筹钱,讨价还价,,,,,,
家人不知道帮不帮我,讨价还价,,,,,,
先请我吃饭,讨价还价,,,,,,
下个月的吧,讨价还价,,,,,,
让我想想,讨价还价,,,,,,
不好说,讨价还价,,,,,,
我看看,讨价还价,,,,,,
我看一下,讨价还价,,,,,,
能再宽松几天不,讨价还价,,,,,,
缓缓行不行阿,讨价还价,,,,,,
今天看看,讨价还价,,,,,,
可以考虑下，我下午去问我朋友借下看行不行,讨价还价,,,,,,
可不可以不要闹,讨价还价,,,,,,
我回家看看,讨价还价,,,,,,
还早吧,讨价还价,,,,,,
你能不能想一下其他方法,讨价还价,,,,,,
那我先凑,讨价还价,,,,,,
过两天再说,讨价还价,,,,,,
还有其他债务,讨价还价,,,,,,
被人骗了,讨价还价,,,,,,
还能不能再少一点了,讨价还价,,,,,,
到时联系你,讨价还价,,,,,,
到时间你联系我,讨价还价,,,,,,
看房子到时候能不能卖出去,讨价还价,,,,,,
过两天现在有事,讨价还价,,,,,,
我回家商量一下,讨价还价,,,,,,
我回家商量下,讨价还价,,,,,,
5号可能发工资,讨价还价,,,,,,
回家跟爱人商量一下,讨价还价,,,,,,
半个月,讨价还价,,,,,,
绑定的卡丢了我会重新办张卡的,讨价还价,,,,,,
回家商量一下,讨价还价,,,,,,
包养了个小四,讨价还价,,,,,,
后天再还xxx款,讨价还价,,,,,,
你再去跟你们公司商量下，再少点,讨价还价,,,,,,
本金我能够处理,讨价还价,,,,,,
需要最低,讨价还价,,,,,,
减了等于没减，起不到啥子作用,讨价还价,,,,,,
减免到最低,讨价还价,,,,,,
再减掉点啊,讨价还价,,,,,,
折扣再大点嘛,讨价还价,,,,,,
这是最低的了吗,讨价还价,,,,,,
再给我少点钱嘛，邛,讨价还价,,,,,,
再缓缓,讨价还价,,,,,,
利息去了我还的上,讨价还价,,,,,,
还能不能再见面一部分,讨价还价,,,,,,
你帮我在减免一点我就处理掉,讨价还价,,,,,,
不能再减少点么？,讨价还价,,,,,,
再减少点嘛,讨价还价,,,,,,
能不能只还本金,讨价还价,,,,,,
帮我拖一天,讨价还价,,,,,,
能不能只还现在的一半,讨价还价,,,,,,
帅哥，可以拖延一下吗,讨价还价,,,,,,
可不可以少点啊。,讨价还价,,,,,,
再多少些啥。,讨价还价,,,,,,
还可以，减免能帮我再多申请点嘛,讨价还价,,,,,,
再多延几期啥？,讨价还价,,,,,,
你帮我减免一点,讨价还价,,,,,,
能不能多分几期呀,讨价还价,,,,,,
多给点时间，我先还一部分,讨价还价,,,,,,
多点折嘛。,讨价还价,,,,,,
能少还一些吗，只有这么多,讨价还价,,,,,,
再少点吧,讨价还价,,,,,,
不然你再申请延个两年呢,讨价还价,,,,,,
能不能再少点,讨价还价,,,,,,
帮我再减掉点,讨价还价,,,,,,
行，但是减免怎么说,讨价还价,,,,,,
你尽量给我往后拖延一下,讨价还价,,,,,,
要是可以再少一点就可以,讨价还价,,,,,,
大哥，再打个折啥。,讨价还价,,,,,,
想再减免,讨价还价,,,,,,
要再减免,讨价还价,,,,,,
还能在少点吗,讨价还价,,,,,,
能不能再少点  我去借点处理,讨价还价,,,,,,
再少点吧！,讨价还价,,,,,,
少点,讨价还价,,,,,,
这样吧，多给我四天，我肯定能还,讨价还价,,,,,,
再宽松下哈,讨价还价,,,,,,
可少点？,讨价还价,,,,,,
我能少还点吗,讨价还价,,,,,,
可以在少点,讨价还价,,,,,,
如果还能减免一些，我考虑下,讨价还价,,,,,,
剩下部分能不能延期长一点,讨价还价,,,,,,
力度不够啥。,讨价还价,,,,,,
减免我就还,讨价还价,,,,,,
只还本金可以吗,讨价还价,,,,,,
免本金可以吗,讨价还价,,,,,,
你再少些，我就还了,讨价还价,,,,,,
最少还多少,讨价还价,,,,,,
能只还本金吗,讨价还价,,,,,,
把利息停了,讨价还价,,,,,,
多免点啥。,讨价还价,,,,,,
利息能不能也分期,讨价还价,,,,,,
能把本金打个五折么？,讨价还价,,,,,,
三天内呀,讨价还价,,,,,,
可以延期吗,讨价还价,,,,,,
你在少点我就借钱处理了,讨价还价,,,,,,
分期,讨价还价,,,,,,
如果分期还款，可以考虑,讨价还价,,,,,,
帮我多申请点时间,讨价还价,,,,,,
能不能分期还啊,讨价还价,,,,,,
也没减多少，在少点,讨价还价,,,,,,
三天时间太短了，多给我三天肯定能处理,讨价还价,,,,,,
我要分期处理,讨价还价,,,,,,
我能分为几次还吗，这太多了,讨价还价,,,,,,
先分期,讨价还价,,,,,,
能不能再优惠点嘛,讨价还价,,,,,,
处理本金,讨价还价,,,,,,
分期还,讨价还价,,,,,,
你帮我减免一点再分期吧,讨价还价,,,,,,
不能少点吗,讨价还价,,,,,,
可以减免吗,讨价还价,,,,,,
给我时间,讨价还价,,,,,,
问题大大呀，再久点嘛？,讨价还价,,,,,,
可以只还本金吗,讨价还价,,,,,,
本金,讨价还价,,,,,,
只还本金可以,讨价还价,,,,,,
利息都能免,讨价还价,,,,,,
可以多分几次吗,讨价还价,,,,,,
大哥，行行好，在少点,讨价还价,,,,,,
再少三分之二金额吧,讨价还价,,,,,,
可不可以再少点,讨价还价,,,,,,
