text,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
这样 是 没有 意义 的 没意思,109,1,0,0,1,0,1
你 给 我 好处 我 就 告诉 你,109,0,0,0,0,0,0
操 呀,109,0,0,0,0,0,0
你 困不困,109,0,0,0,0,0,0
我 是不是 跟 你 有 什么 关系,109,0,0,0,0,0,0
我 好 man 啊,109,0,0,0,0,0,0
你 吃饭 没嘛,109,0,0,0,0,0,0
保护 自己,109,0,0,0,0,0,0
我 没有 证明,109,0,0,0,0,0,0
人太多 了,109,0,0,0,0,0,0
嘿嘿嘿 哈哈哈,109,0,0,0,0,0,0
再 打电话 我 报警 啦,109,0,0,1,0,0,0
你们 哪里 啊   怎么 总 骚扰 我 啊,109,0,1,1,0,0,0
你 管 我 啥子 原因,109,0,0,0,0,1,0
还 你 妹,109,1,0,0,1,1,1
认不 认识 跟 你 有 什么 关系,109,0,0,0,0,0,0
你好 可爱,109,0,0,0,0,0,0
你 吃饭 了 么,109,0,0,0,0,0,0
什么 颜色 的 衣服,109,0,0,0,0,0,0
瑞士 赢 了,109,0,0,0,0,0,0
等 我 躲过 了 这场 洪水 再说 吧,109,0,0,0,0,0,0
你 多 大 了,109,0,0,0,0,0,0
你 敢 来 见 我 么 ？,109,0,0,0,0,0,0
我 和 你 之间 没发 交流,109,0,0,0,0,0,0
我 数学 不好,109,1,0,0,1,0,1
过来 喝茶 哈,109,0,0,0,0,0,0
没 求得 钱 啥   你 是不是 傻 哈哈哈,109,1,0,0,1,1,1
大大 大后天 天气 很 好,109,0,0,0,0,0,0
划落 的 万千 情丝,109,0,0,0,0,0,0
我 不 给 你 说,109,0,0,0,0,0,0
嘿嘿嘿 嗯,109,0,0,0,0,0,0
你 管 我 是 谁,109,0,0,0,0,0,0
埃及 输 了,109,0,0,0,0,0,0
答非所问,109,0,0,0,0,0,0
修 手机,109,0,0,0,0,0,0
比利时 输 了,109,0,0,0,0,0,0
哈哈 ？,109,0,0,0,0,0,0
你 说 拨打 的 用户   无法 接通,109,0,0,0,0,0,0
要 不 我们 聊聊 别的,109,0,0,0,0,0,0
周末,109,0,0,0,0,0,0
失去 后 才 明白 当初 该 好好 珍惜 她,109,0,0,0,0,0,0
不 知道 我 是 谁   给 我 打 什么 电话 ？,109,0,0,0,0,0,0
找 警察 问,109,0,0,0,0,0,0
你 管 我 啥子 原因 没意思,109,0,0,0,0,1,0
看来 还是 很 年轻 了,109,0,0,0,0,0,0
生病 了,109,0,0,0,0,1,0
但 为 康乐 解酒 刨,109,0,0,0,0,0,0
胎神,109,0,0,0,0,0,0
出门 独占 车马 道,109,0,0,0,0,0,0
弱智,109,0,0,0,0,0,0
谁 知道 认识 不 认识,109,0,0,1,0,0,0
你 妈妈 咋样 ？,109,0,0,0,0,0,0
死开,109,0,0,0,0,0,0
吃饭 呢,109,0,0,0,0,0,0
今天 中午 没 吃饭,109,0,0,0,0,0,0
别 打 了   烦不烦 啊,109,0,0,0,0,0,0
不得 哦   今天 不得 下雨 哦   太阳 大得 很 。,109,0,0,0,0,0,0
韩国 赢 了,109,0,0,0,0,0,0
你 有没有 礼貌 哟,109,0,0,0,0,0,0
骚包,109,0,0,0,0,0,0
是 与 不是   你 打电话 干嘛,109,0,0,0,0,0,0
吓 尿 了,109,0,0,0,0,1,0
嘿嘿嘿 啊,109,0,0,0,0,0,0
满满的 月光,109,0,0,0,0,0,0
你 管 我 是不是,109,0,0,0,0,0,0
不要 再 打 了,109,0,1,1,0,0,0
你 吃 够 了 吗,109,0,0,0,0,0,0
借给 朋友 用 的,109,0,0,0,0,1,0
我 不感兴趣 哈 。,109,0,0,0,0,0,0
凭 本事 借 的 为什么 要 还   你 爱 起诉 起诉   爱 上门 上门,109,1,0,0,1,1,1
包养 了 个 小 四,109,0,0,0,0,1,0
没 求得 钱 啥   你 是不是 傻   没意思,109,1,0,0,1,1,1
我 不 知道 你 再说 什么,109,0,0,0,0,1,0
不知,109,0,0,0,0,1,0
你 给 高利贷 打工 小心 警察 抓 你,109,0,0,0,0,1,0
没电 了,109,0,0,0,0,0,0
哥 在 不,109,0,0,0,0,0,0
你 来 拿 吧,109,0,0,0,0,0,0
脑子 有病 吧,109,0,0,1,0,0,0
简直 不 知道 你 在 说 什么,109,0,0,0,0,1,0
秋月 无边 嗯,109,0,0,0,0,0,0
我 在 看 世界杯   你 堵 谁 赢,109,0,0,0,0,0,0
不 知道 呢,109,0,0,0,0,1,0
天上 下雨 了,109,0,0,0,0,0,0
看到 、 看到 、 最高 的 云里,109,0,0,0,0,0,0
秋月 无边 乎,109,0,0,0,0,0,0
我贼帅,109,0,0,0,0,0,0
我 不 明白 你 在 说 啥   我 现在 很 忙 。,109,0,0,0,0,1,0
你们 搞 这个 也 太 黑 了   利息 好 高,109,1,0,0,1,1,1
嘻嘻,109,0,0,0,0,0,0
出车祸 了,109,0,0,0,0,0,0
秋月 无边 没意思,109,0,0,0,0,0,0
借楚天 千里 清秋,109,0,0,0,0,0,0
雨落 的 时候,109,0,0,0,0,0,0
天天 催 啥子 嘛 ！ 没得 钱 还 ！,109,1,0,0,1,1,1
我 是不是 管 你 什么 事,109,0,0,0,0,0,0
天在 下雨,109,0,0,0,0,0,0
我 不 说,109,0,0,0,0,0,0
三天 时间 太短 了   多 给 我 三天 肯定 能 处理,109,1,0,0,1,0,1
高利贷 吧,109,1,0,0,1,1,1
今天 有点 热,109,0,0,0,0,0,0
擦,109,0,0,0,0,0,0
我 看 你 是 瓜 娃子,109,0,0,0,0,0,0
管 不到 了,109,0,0,0,0,0,0
我 有钱 的 时候   你 干嘛 不 给 我 打电话,109,1,1,0,0,1,1
你们 还 有点 歪 哦 呀,109,0,0,0,0,0,0
电话费 不要 钱 啊 ？ 天天 乱打 。,109,0,1,1,0,0,0
是不是 跟 你 有 关系,109,0,0,0,0,0,0
干 你们 这 行 工资 高 不,109,0,0,0,0,0,0
今天天气 好爽 啊 哈哈哈,109,0,0,0,0,0,0
有 嘛,109,0,0,0,0,0,0
英格兰 输 了,109,0,0,0,0,0,0
给 我 发红包 就 告诉 你,109,0,0,0,0,0,0
哼哼 唉,109,0,0,0,0,0,0
手机 放在 宿舍 了,109,0,0,0,0,0,0
你 是不是 美女,109,0,0,0,0,0,0
我 不 还 你们 打算 怎么办,109,1,0,1,1,1,1
后天 天气 很 好,109,0,0,0,0,0,0
钱 钱 都 舍不得,109,1,0,0,1,1,1
你 大舅妈 咋样 ？,109,0,0,0,0,0,0
好 累,109,0,0,0,0,0,0
你 管 我 是不是 阿,109,0,0,0,0,0,0
你 给 我 发红包 我 就 告诉 你,109,0,0,0,0,0,0
束裾 投酒定 杰豪,109,0,0,0,0,0,0
天天 吃饭,109,0,0,0,0,0,0
今天 我 很帅,109,0,0,0,0,0,0
你们 一定 饿 了 哇   还够 嘛 ？ 再 来 一盘菜   先欠 到 。,109,0,0,0,0,0,0
除了 钱   我 什么 都 没 了,109,0,0,0,0,0,0
好牌,109,0,0,0,0,0,0
父母 的 干劲儿 会 一年 更 比 一年 大,109,0,0,0,0,0,0
哼哼 阿,109,0,0,0,0,0,0
不管 我 的 事,109,0,0,0,0,1,0
家里 有人 生病,109,0,0,0,0,1,0
竟 如此 融洽,109,0,0,0,0,0,0
为啥 要 还,109,1,0,0,1,1,1
意大利 输 了,109,0,0,0,0,0,0
我 想 吐 槽,109,0,0,0,0,0,0
你们 报警 吧,109,1,0,0,1,1,1
不 慌   我 可以 先 唱首歌 给 你 听 一下,109,0,0,0,0,0,0
做 什么 不好 非要 当 骗子   回头是岸   不要 执迷不悟 了,109,0,0,0,0,0,0
管 你 啥事,109,0,0,0,0,1,0
你 瓜 娃子 所,109,0,0,0,0,0,0
有 一点 惆怅,109,0,0,0,0,0,0
没 时间 扯,109,0,0,0,0,0,0
出 问题 经过 大脑 嗯,109,0,0,0,0,0,0
生病 住院,109,0,0,0,0,1,0
好大 的 太阳,109,0,0,0,0,0,0
今天天气 真 晴朗,109,0,0,0,0,0,0
今天天气 好爽 啊 真的,109,0,0,0,0,0,0
对不起   我 不 方便 这么 做 啊,109,1,0,0,1,1,1
大后天 天气 很 好,109,0,0,0,0,0,0
别来 惹 我 。,109,0,0,0,0,0,0
栀子花 吐 着 芳香,109,0,0,0,0,0,0
你们 慢慢说   我 先 撤 了 。,109,0,0,0,0,0,0
哈哈,109,0,0,0,0,0,0
你 是不是 找错 人 了,109,0,1,1,0,0,0
滚远点,109,0,0,0,0,0,0
你 不 知道 你 找 谁 哇,109,0,0,0,0,0,0
妈 的   q,109,0,0,0,0,0,0
小丽   咋 是 你 呢 ？,109,0,0,0,0,0,0
外面 下雨 了 么,109,0,0,0,0,0,0
你 大舅 咋样 ？,109,0,0,0,0,0,0
你 耍 朋友 没,109,0,0,0,0,0,0
你们 继续,109,0,0,0,0,0,0
有 一点 彷徨,109,0,0,0,0,0,0
天空 飘 来 一朵 云   晴天霹雳 啊,109,0,0,0,0,0,0
要 我 怎么 说 你 才能 明白,109,0,0,0,0,0,0
吃饭 了 没,109,0,0,0,0,0,0
我 跪谢 你别 给 我 打电话 了 哈 ！,109,0,0,0,0,0,0
我 在 看 世界杯   你 看 没,109,0,0,0,0,0,0
有些 风景 在 心间,109,0,0,0,0,0,0
滚   你 tm 还 骗 到 老子 头上 来 了 。,109,0,0,0,0,0,0
我 这里 不是 你 要 找 的 人,109,0,1,1,0,0,0
你 在 干 啥,109,0,0,0,0,0,0
今天 风大哈 ～,109,0,0,0,0,0,0
今天天气 好,109,0,0,0,0,0,0
卖房子,109,0,0,0,0,0,0
阿根廷 赢 了,109,0,0,0,0,0,0
你 有点儿 讨厌,109,0,0,0,0,0,0
打 得来 电话 吗 ！,109,0,0,0,0,0,0
凭 什么 回答 你,109,0,0,0,0,0,0
你 弄 好 了 再说,109,1,0,0,1,0,0
怎么 联系 你,109,0,0,0,0,0,0
你 喜欢 刘德华 不,109,0,0,0,0,0,0
你 说 呢,109,0,0,0,0,0,0
你 吃 大 了 吗,109,0,0,0,0,0,0
你们 还 有点 歪 哦 啦,109,0,0,0,0,0,0
此人 已死   有事 烧纸 ！,109,0,1,1,0,0,0
凭 什么 回答 你,109,0,0,0,0,0,0
不 认识,109,0,1,1,0,0,0
不要 老打 我 电话,109,0,0,0,0,0,0
我 好帅,109,0,0,0,0,0,0
光脚 的 不怕 穿鞋 的,109,0,0,0,0,0,0
爱 上层 楼   天凉 又 难道 是 秋,109,0,0,0,0,0,0
我 不想 回答,109,0,0,0,0,0,0
我 不想 说话   不要 烦 我,109,0,0,0,0,0,0
贷款 我 不要,109,0,0,0,0,1,0
啊   五环   你 不六环少 一环,109,0,0,0,0,0,0
你 脑子 进水 了,109,0,0,0,0,0,0
你 见 过 我 的 小熊 吗 ？,109,0,0,0,0,0,0
世界 这么 大   我 想 去 看看,109,0,0,0,0,0,0
今天 早上 没 吃饭,109,0,0,0,0,0,0
认不 认识 和 你 没关,109,0,0,0,0,0,0
你 管 我 是不是 者,109,0,0,0,0,0,0
你 被 逮捕 了,109,0,0,0,0,0,0
葡萄牙 输 了,109,0,0,0,0,0,0
你 管 我 是不是 哈,109,0,0,0,0,0,0
我 是不是 和 你 有 关系 么,109,0,0,0,0,0,0
会 不会 惊扰 梦乡,109,0,0,0,0,0,0
其他人 的,109,1,0,0,1,1,1
今天天气 很 好 哈,109,0,0,0,0,0,0
有 多少 往事,109,0,0,0,0,0,0
哈哈哈 哈哈,109,0,0,0,0,0,0
有 毛病 么   又 打来   别 惹 我   烦着 呢,109,0,0,0,0,0,0
  还有 漂泊 的 一个 你,109,0,0,0,0,0,0
自己 去查,109,0,0,0,0,0,0
出 问题 经过 大脑 哈哈哈,109,0,0,0,0,0,0
这是 公司 的 业务 电话,109,0,1,1,0,0,0
手机 掉 了,109,0,0,0,0,1,0
昨天 给 我 打电话 的 是不是 你们 同事 啊,109,0,1,0,0,0,0
今天 天公不作美,109,0,0,0,0,0,0
自己 在 工地   工资 一年 结 一次,109,1,0,0,1,1,1
你们 不 认识 啊,109,0,0,0,0,0,0
最 怕 江南 游子 再 故地重游,109,0,0,0,0,0,0
我 想 请 你 吃饭,109,0,0,0,0,0,0
你 猜 我 是不是 呀 了,109,0,0,0,0,0,0
不 思量 有 多少 遗憾,109,0,0,0,0,0,0
不要 再 骚扰 我 了   不然 我 报警 了,109,0,0,1,0,0,0
你 个 宝 批龙   滚   爬   虐 ！,109,0,0,0,0,0,0
早 干嘛 去 了,109,1,0,0,1,1,1
明天 朋友 就 换 我 钱 了,109,1,1,0,0,1,1
雪 在 融化,109,0,0,0,0,0,0
打 豆豆 了,109,0,0,0,0,0,0
今天天气 好差,109,0,0,0,0,0,0
啥子 飞蛾 蛾 ？,109,0,0,0,0,0,0
害怕 这 美丽 的 瞬间 遗忘,109,0,0,0,0,0,0
今天天气 很 好 嗯,109,0,0,0,0,0,0
你们 是 啥 关系,109,0,0,0,0,0,0
自己 去 营业厅 查,109,0,0,0,0,0,0
你 管 我 是不是 吧,109,0,0,0,0,0,0
别 扶 我,109,0,0,0,0,0,0
为什么 要 告诉 你,109,0,0,0,0,0,0
你 说 我 是 谁,109,0,0,0,0,0,0
爬,109,0,0,0,0,0,0
天空 飘 来 一朵 云   暴风雨 来 了,109,0,0,0,0,0,0
麻烦,109,0,0,0,0,0,0
跳楼 了,109,0,1,1,0,0,0
我 很 亲切,109,0,0,0,0,0,0
答案 想得 头疼,109,0,0,0,0,0,0
阿大,109,0,0,0,0,0,0
我 有钱 还 的 时候 你 杂 不 说,109,1,1,0,0,1,1
你 管 我认 不 认识,109,0,0,1,0,0,0
今天 适合 旅游,109,0,0,0,0,0,0
有钱人,109,0,0,0,0,0,0
说散 就 散,109,0,0,0,0,0,0
你 是 不会 帅哥,109,0,0,0,0,0,0
今天天气 好棒,109,0,0,0,0,0,0
对不起   我 不 方便 这么 做 按,109,1,0,0,1,1,1
大大 后天 天气 很 好,109,0,0,0,0,0,0
你们 真烦,109,0,0,0,0,0,0
认不 认识 管 你 什么 事,109,0,0,0,0,0,0
一切 别来无恙,109,0,0,0,0,0,0
啊   俺 在 新疆,109,0,0,0,0,0,0
收 失地,109,0,0,0,0,0,0
谁 在乎 蝴蝶 的 匆忙,109,0,0,0,0,0,0
我认 不到 你 说 的 那个 人,109,0,1,1,0,0,0
随便 你,109,0,0,0,0,0,0
你 猜 我 是不是 呀 阿,109,0,0,0,0,0,0
今天 几号 啊,109,0,0,0,0,0,0
我 不 愿意 告诉 你,109,0,0,0,0,0,0
万军 敌营 等闲 走,109,0,0,0,0,0,0
明年 说,109,1,0,0,1,1,1
刚 上班,109,0,0,0,0,0,0
今天天气 好 晴朗   处处 好 风光,109,0,0,0,0,0,0
不想 说话,109,0,0,0,0,0,0
好 恶心   想 吐 嗯,109,0,0,0,0,0,0
我 是 喜欢 你,109,0,0,0,0,0,0
不好意思   你 打错 电话 了,109,0,1,1,0,0,0
我 该 给 你 说 啊 ？,109,0,0,0,0,0,0
你们 简直 是 高利贷 哦 没意思,109,1,0,0,1,1,1
你 吃 多 了,109,0,0,0,0,0,0
不 晓得,109,0,0,1,0,1,0
你 猜 我 是不是 呀 啦,109,0,0,0,0,0,0
你 吗 关系 很 好 吧,109,0,0,0,0,0,0
你 管 我 是不是 啊,109,0,0,0,0,0,0
需要 承担 什么 责任 么,109,1,0,0,1,1,1
搞 什么 搞,109,0,0,0,0,0,0
你 是不是 有病 呀 者,109,0,0,0,0,0,0
几多 浓烈 的 相思,109,0,0,0,0,0,0
我切 肾,109,0,0,0,0,1,0
什么样,109,0,0,0,0,0,0
神经病 哇,109,0,0,0,0,0,0
你 猜 吧,109,0,0,0,0,0,0
我 你 都 不 认识 啦 ？,109,0,0,0,0,0,0
天晴 晴朗,109,0,0,0,0,0,0
有 答案,109,0,0,0,0,0,0
认不 认识 你关 你 好多 事 ？,109,0,0,0,0,0,0
没 办法,109,1,0,0,1,1,1
你 认识 你 自己 找,109,0,1,0,0,0,0
这样 有 意义 吗,109,1,0,0,1,0,1
你 猜 我 是不是 呀   没意思,109,0,0,0,0,0,0
不好不坏,109,0,0,0,0,0,0
我困 了,109,0,0,0,0,0,0
我 不 知道 该 说 什么 好,109,0,0,1,0,1,0
我 不要 买 什么 产品,109,0,0,0,0,0,0
少来 烦 我   有病 啊,109,0,0,0,0,0,0
我要 去 举报 你们,109,0,0,0,0,0,0
心情 不错,109,0,0,0,0,0,0
你 又 是 老几   你 不 说 我 为啥 要说,109,0,0,0,0,0,0
你 要 请 我 看 电影 吗,109,0,0,0,0,0,0
哈哈 嗯,109,0,0,0,0,0,0
日本 赢 了,109,0,0,0,0,0,0
没 毛病 666,109,0,0,0,0,0,0
我 在 看 世界杯   别 骚扰 我,109,0,0,0,0,0,0
整不来 关键 是,109,1,0,0,1,1,1
为什么 打 我家 人 电话,109,0,1,1,0,0,0
你 找 谁,109,0,1,1,0,0,0
你 个 瓜 娃子   咋个 又 再 打 我 电话,109,0,0,0,0,0,0
我 饿 了,109,0,0,0,0,0,0
你 吃饱 了 吗,109,0,0,0,0,0,0
宽容 宽容 哈 ～,109,1,0,0,1,1,1
没 听 他 说 过 么 ～,109,0,0,0,0,0,0
看燕来   看花艳,109,0,0,0,0,0,0
你 不 知道 我 是 谁 你 打 我 电话 ？,109,0,0,0,0,0,0
天太热 了,109,0,0,0,0,0,0
呵呵   没意思,109,0,0,0,0,0,0
我 不想 回答 你 的 问题,109,0,0,0,0,0,0
不要 烦 我,109,0,0,0,0,0,0
啦 啦,109,0,0,0,0,0,0
后 年 再说,109,1,0,0,1,1,1
什么 ？ 搞不懂 。 莫惹 我,109,0,0,0,0,0,0
出去 了,109,0,0,0,0,0,0
今天 一分 不 处理 的   是 不 可能 的 。,109,1,0,0,1,0,1
我 在 看 世界杯   日本 死翘翘 了,109,0,0,0,0,0,0
却 明争暗斗,109,0,0,0,0,0,0
天亮 了 再 说话   现在 天黑 起 的,109,0,0,0,0,0,0
我帅 的 不要 不要 的,109,0,0,0,0,0,0
你 给 我 发红包,109,0,0,0,0,0,0
受伤 了,109,0,0,0,0,1,0
好 恶心   想 吐 呢,109,0,0,0,0,0,0
美女   帮帮忙 楼,109,1,0,0,1,1,1
有 有 有 有,109,0,0,0,0,0,0
哪个 来 帮哈 我 嘛,109,0,0,0,0,0,0
我 没 吃,109,0,0,0,0,0,0
手机 有点 坏 了,109,0,0,0,0,1,0
今天 热不热 呀,109,0,0,0,0,0,0
我要 去 举报 你们 哈哈哈,109,0,0,0,0,0,0
一亩 地 的 收获 顶不上 一趟 车票 的 价,109,0,0,0,0,0,0
十天 内,109,0,0,0,0,0,0
搞错 了,109,0,1,1,0,1,0
继续 猜,109,0,0,0,0,0,0
你们 把 之前 打 我 通讯录 的 人 找 出来,109,0,0,0,0,0,0
我 先唱 一首歌 吧,109,0,0,0,0,0,0
操 嗯,109,0,0,0,0,0,0
赌博,109,0,0,0,0,0,0
你 怎么 是 用 私人 电话 打 的,109,0,0,0,0,0,0
是不是 管 你 什么 事,109,0,0,0,0,0,0
这样 有意思 吗,109,1,0,0,1,0,1
你 说 我认 不 认识,109,0,0,0,0,0,0
树好 高,109,0,0,0,0,0,0
德国,109,0,0,0,0,0,0
你 上班 了 吗 ？,109,0,0,0,0,0,0
唷 唷,109,0,0,0,0,0,0
上 打 给 我,109,0,0,0,0,0,0
家里 没 没 粮食 了,109,0,0,0,0,1,0
这 电话 有毒,109,0,0,0,0,0,0
咋 又 是 我 呢 ？,109,0,0,0,0,0,0
为什么 要 告诉 你,109,0,0,0,0,0,0
这大 把 好时光,109,0,0,0,0,0,0
睡觉,109,0,0,0,0,0,0
清风明月 稻 花香 里 蝉鸣声 声,109,0,0,0,0,0,0
天气 好,109,0,0,0,0,0,0
可能 啊,109,0,0,0,0,0,0
太阳 好大,109,0,0,0,0,0,0
天晴 了,109,0,0,0,0,0,0
好忙,109,0,0,0,0,0,0
这边 有 印象 吗 有 有,109,0,0,0,0,0,0
你们 能 拿 多少 钱 工资 啊,109,0,0,0,0,0,0
来 赋词 几首,109,0,0,0,0,0,0
对不起   你 拨打 的 号码 不 在 服务区,109,0,0,0,0,0,0
我 听不懂,109,0,0,0,0,1,0
我 浪迹天涯,109,0,0,0,0,0,0
阳光 好好,109,0,0,0,0,0,0
啊 ？ 俺 在 新疆 吐鲁番 盆地,109,0,0,0,0,0,0
丰年 意,109,0,0,0,0,0,0
他 的 事 你 直接 去 找 他   别找我,109,0,1,1,0,0,0
为什么 你们 要 逼 我 嗯,109,1,0,0,1,0,1
我 感冒 了,109,0,0,0,0,1,0
吓死 恩,109,0,0,0,0,1,0
我 凭 什么 告诉 你 ？,109,0,0,0,0,0,0
你好坏,109,0,0,0,0,0,0
会 打电话 吗 ！,109,0,0,0,0,0,0
你 妹妹 咋样 ？,109,0,0,0,0,0,0
好 恶心   想 吐   没意思,109,0,0,0,0,0,0
哇哇 那 件 衣服 好好看,109,0,0,0,0,0,0
终于 完 了,109,0,0,0,0,0,0
秋月 无边 哇,109,0,0,0,0,0,0
报警 了,109,0,0,1,0,0,0
我 朋友,109,0,1,1,0,0,0
电脑 好卡,109,0,0,0,0,0,0
阿根廷 出局 了,109,0,0,0,0,0,0
兄弟   你 太天真 了,109,1,0,0,1,1,1
好 了   不 说 了,109,0,0,0,0,0,0
不关 我 的 事,109,0,0,0,0,1,0
不要 骚扰 我,109,0,1,1,0,0,0
和 你 有些 不 搭,109,0,0,0,0,0,0
不要 闹   烦得 很,109,0,0,0,0,0,0
你 这 是 已经 是 骚扰 了   你 在 骚扰 我 我 要 报警 了,109,0,0,1,0,0,0
脑子 有病 吧 吧,109,0,0,1,0,0,0
你 不 晓得 老子 是 谁给我 打 什么 电话,109,0,0,0,0,0,0
脑子 有病 吧   没意思,109,0,0,1,0,0,0
是不是 关 你 什么 事 ？,109,0,0,0,0,0,0
不太懂,109,0,0,0,0,0,0
可不可以 请 我 吃饭,109,0,0,0,0,0,0
滚 你 妈 的,109,0,0,0,0,0,0
你 不要 烦 我,109,0,0,1,0,0,0
滚   你们 再 打 我 就   信不信 我 让 你们 吃不了兜着走,109,0,0,0,0,0,0
自己 想,109,0,1,1,0,0,0
你 不 认识 我 ？,109,0,0,0,0,0,0
你 有 病 啊,109,0,0,0,0,0,0
老子 是 谁 管 你 啥事,109,0,0,0,0,0,0
我 不 给 你 说,109,0,0,0,0,0,0
这么 求多 问题   没意思,109,0,0,0,0,0,0
无理取闹   你 再 骚扰 我 就 诅咒 你 全家 了,109,0,0,0,0,0,0
可以 不 还 吗,109,1,0,0,1,1,1
天空 飘 来 一朵 云   像匹马,109,0,0,0,0,0,0
拉黑,109,0,0,0,0,0,0
