split_text,label
这个利息是怎么算的呢？,确认数额
这个欠款是咋个算出来的哦？,确认数额
这么多利息，算错了吧？,确认数额
这样啊，那我要考虑一下，不知道明天的股票怎么样,确认数额
只借了你们2万吗？你搞对没有哦,确认数额
滞纳金是什么意思,确认数额
风太大我听不清,请求重复
没听清，你再说一遍呢,请求重复
你给我说说利息计算公式,请求重复
你们是什么公司，滞纳金要这么多，你们有合同吗？给我看下,请求重复
你们这个滞纳金是怎么算的哦,请求重复
你说的什么,请求重复
你说的什么？,请求重复
你说什么,请求重复
你说什么，你再敢说一次，看我弄死你不,请求重复
你说什么，我听不清楚,请求重复
你说什么，再说一遍好吗？,请求重复
你说什么？,请求重复
你说谁？,请求重复
你想说啥子,请求重复
你再说一遍,请求重复
你再说一遍，我没听清,请求重复
你再说一次,请求重复
请再说一遍,请求重复
啥？,请求重复
啥？你说的什么？,请求重复
啥子,请求重复
啥子，你说的,请求重复
啥子东西哦,请求重复
啥子哦,请求重复
啥子哦，你有没搞错,请求重复
什么，我在逛公园,请求重复
什么？,请求重复
什么？你说多少？听不清了，要进电梯了,请求重复
什么？我这暴风雨，手机信号很差，真听不清你说什么？,请求重复
什么事？,请求重复
听不到,请求重复
听不清,请求重复
听不清楚，在动车上，好吵闹,请求重复
停不到,请求重复
哇，今天好像要下暴雨。,请求重复
完全听不清,请求重复
喂，信号不太好吗,请求重复
喂喂，你说什么,请求重复
我没有听清池,请求重复
我听不见，你大声点,请求重复
我信号不好，你说啥？我听不清,请求重复
我这里信号不好,请求重复
我正在吃饭，待会再说要的不?,请求重复
信号不好，你大点声，我听不清楚啊,请求重复
信号不好，雨太大了,请求重复
雪一直下,请求重复
再给我说一遍？,请求重复
别打扰我,请求等下打来
车速太快,请求等下打来
大雨即将来临,请求等下打来
地震得好厉害，好厉害，好晃动！,请求等下打来
对不起家里有客人来了，一会儿再聊,请求等下打来
好吵哦，听不到,请求等下打来
好了，等会儿再说，我要出去趟,请求等下打来
好了，先聊到这，我这边有其他事情，晚点再说,请求等下打来
火车来了,请求等下打来
马上进电梯了，没信号,请求等下打来
马上就要起飞了，你过两小时打过来吧,请求等下打来
你说啥？我信号不好，等会儿给你回过去,请求等下打来
清不到,请求等下打来
情劫难了折旧的心,请求等下打来
手机要没电了，你一会儿再打过来吧,请求等下打来
为啥要还,请求等下打来
喂，喂，喂，我这边信号不好，等下再打过来。,请求等下打来
喂，我在开车，等下再说,请求等下打来
我不明白你在说啥，我现在很忙。,请求等下打来
我等下给你打过来,请求等下打来
我现在不方便，空了再说,请求等下打来
我现在在开会，等会联系,请求等下打来
我要登机了，有什么事等我下飞机在说,请求等下打来
我要开车了,请求等下打来
我要开会了，改天说,请求等下打来
我在开会,请求等下打来
我在忙，稍后再说,请求等下打来
我在上班，不方便接听你的电话，有事请等我下班了在说，现在很忙,请求等下打来
我在想想，一会儿再打吧,请求等下打来
我这里信号不是很好，你把信息发到我手机上,请求等下打来
信号不好，等等啊，要不一会儿你再打过来呢,请求等下打来
雨太大了，躲雨去了,请求等下打来
嗯，明白了,模糊确认
知道了,模糊确认
你从哪儿听到这个名字的？,回问身份
你们哪儿来的我的电话？,回问身份
你哪个,回问身份
你那边怎么这么吵，在工地吗？,回问身份
你是哪个公司的？,回问身份
你是哪家银行？,回问身份
你谁啊,回问身份
谁？你说谁？,回问身份
我从没借过钱，你是谁啊,回问身份
我都不晓得也，我到底欠了好多钱？,回问身份
我为什么要告诉你，你谁呀,回问身份
咋个,回问身份
3千的滞纳金是怎么算出来的,故意岔开话题
啊！这么多啊！,故意岔开话题
暴风雨就要来了，我要先考虑我的安全问题,故意岔开话题
风太大了，听不见你说什么,故意岔开话题
搞错了,故意岔开话题
嘿嘿嘿,故意岔开话题
今天的球赛特别精彩,故意岔开话题
今天适合旅游,故意岔开话题
今天天气好,故意岔开话题
今天天气真好,故意岔开话题
今天天气真晴朗,故意岔开话题
凉凉天意,故意岔开话题
六一儿童节快乐,故意岔开话题
落入凡尘,故意岔开话题
咩理个浪,故意岔开话题
莫名其妙的,故意岔开话题
你多大？,故意岔开话题
哦，今天好像地震了，广元，你晓得不？,故意岔开话题
请问利息是多少？,故意岔开话题
入水流,故意岔开话题
伤情着我,故意岔开话题
生劫易渡,故意岔开话题
时间太快了,故意岔开话题
世界这么大，我想去看看,故意岔开话题
说散就散,故意岔开话题
天气不错,故意岔开话题
天气有点热哦，风都没的点点,故意岔开话题
天天催啥子嘛！没得钱还！,故意岔开话题
我吃饭了,故意岔开话题
我饿了,故意岔开话题
我给病人看病呢，你要不要也看一下？,故意岔开话题
我妈妈来了,故意岔开话题
下班后去健身吧,故意岔开话题
先来一首五环之歌吧,故意岔开话题
心情不错,故意岔开话题
延啥子也？听不清？你再说一遍,故意岔开话题
一边玩泥巴去！,故意岔开话题
最近球赛还有点好看，买彩票没？,故意岔开话题
哎呀烦不烦,不愿配合
不关我的事,不愿配合
不认识，不要再打过来了啊,不愿配合
不要给我说土味情话,不愿配合
不要再骚扰我了，不然我报警了,不愿配合
打错了,不愿配合
烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,不愿配合
烦死了，天天催！催命啊,不愿配合
风太大，没听清,不愿配合
滚,不愿配合
滚，你tm还骗到老子头上来了。,不愿配合
哈哈，打错了,不愿配合
还个屁,不愿配合
还你妹,不愿配合
可不可以请我吃饭,不愿配合
可以不还吗,不愿配合
那么多XXX，你说的是哪一个,不愿配合
恼火,不愿配合
脑子有病吧,不愿配合
你猜我是不是呀,不愿配合
你的普通话能不能标准点啊，专业点行不行,不愿配合
你疯了吧，我认识你吗？,不愿配合
你给高利贷打工小心警察抓你,不愿配合
你管我啥子原因,不愿配合
你是不是打错了,不愿配合
你是不是有病呀,不愿配合
你是哪个？,不愿配合
你说我是不是,不愿配合
你头被门夹了哇？,不愿配合
你这是已经是骚扰了，你在骚扰我我要报警了,不愿配合
爬,不愿配合
欠款很正常的事情，但是你至少要给我算清楚吧,不愿配合
如果你能判断今天的天气，我就告诉你答案，咋样？,不愿配合
神经病,不愿配合
我不确定,不愿配合
我不知道该说什么好,不愿配合
我不知道你在说什么,不愿配合
我很烦，出来喝酒不？,不愿配合
我后来才晓得你们是高利贷,不愿配合
我说算你狠,不愿配合
我也不知道,不愿配合
无理取闹，你再骚扰我就诅咒你全家了,不愿配合
一共是多少钱？,不愿配合
有毛病么，又打来，别惹我，烦着呢,不愿配合
做梦去吧。,不愿配合
你是哪位？,回问身份
你要干嘛,说出目的
你找他什么事,说出目的
什么事？,说出目的
你想爪子,说出目的
有什么事,说出目的
你要做爪子,说出目的
是的，有事吗,说出目的
你要咋子,说出目的
你究竟有什么目的,说出目的
你搞啥子的,说出目的
找他爪子事情？,说出目的
啥意思？,说出目的
请问你找哪个,请求重复
你要咋子嘛,说出目的
你是哪个啊？,回问身份
你搞哪样的,说出目的
你都不知道我是谁还打电话给我？你到底要做什么？,说出目的
有事吗？,说出目的
怎么了？,说出目的
他在办事，我可以转告,说出目的
有事请讲,说出目的
说，啥子事,说出目的
对，干嘛,说出目的
你到底要咋子,说出目的
你打电话干啥,说出目的
咋子,说出目的
你找他有什么事情？,说出目的
搞么子,说出目的
要抓批？,说出目的
你和他是啥子关系,说出目的
干啥子,说出目的
你从哪儿弄到的电话？,回问身份
搞屁哦,说出目的
你是哪位？打电话有啥子？,说出目的
你谁啊,回问身份
有什么事情,说出目的
说事,说出目的
你找他干什么,说出目的
打电话干什么,说出目的
你是谁,回问身份
有什么事说,说出目的
你龟儿子吃饱了所,不愿配合
干啥,说出目的
啥子事,说出目的
你找他有什么事情哇？,说出目的
你打电话到底有什么事,说出目的
干什么？,说出目的
你是咋个认识XXX的,回问身份
有啥子事嘛,说出目的
你想干啥子哦？,说出目的
我听不懂你在说啥子,说出目的
先把你的身份说出来再问我是谁,回问身份
有话快说,说出目的
你找他事催款吗？,说出目的
干嘛,说出目的
who are you,回问身份
找我有什么事情吗,说出目的
你瓜娃子所,说出目的
怎么了,说出目的
么子事,说出目的
咦，咋个还有人找他也？你找他咋个事情？,说出目的
你做啥的,说出目的
啥情况，老弟,说出目的
他欠了你们好多钱嘛,说出目的
说嘛,说出目的
我还问你是不是谁呢？,回问身份
卖保险,故意岔开话题
我认不认识他管你什么事情？,说出目的
有事说事,说出目的
你要干什么,说出目的
快说,说出目的
啥子事情？,说出目的
干煞,说出目的
神马，有事吗,说出目的
你是胎神吗,回问身份
你说吧，什么事,说出目的
做哪样,说出目的
你是哪个？你找他干嘛？,说出目的
打电话咋子,说出目的
啥情况，哥们,说出目的
啊，然后喃,说出目的
你找这个人做什么？,说出目的
贷款的还是卖保险的,回问身份
是找他做什么？,说出目的
干嘛，你想干啥？,说出目的
你打电话有什么事,说出目的
快说事，我没时间,说出目的
有什么事？,说出目的
赶啥类,说出目的
啊？,说出目的
怎么，有事快说，我在开车,说出目的
我龟儿脑壳有包吗,不愿配合
什么情况,说出目的
他不在，你找他什么事情？,说出目的
啥情况，兄弟,说出目的
你们又是哪个公司的嘛,回问身份
想咋子,说出目的
你先给我说你有什么事？,说出目的
我不是，你有啥事情？我帮你找他,说出目的
你谁啊，你管我，到底想干嘛,说出目的
你想干什么,说出目的
有话直说,说出目的
作甚个呀,说出目的
有事吗,说出目的
你说是就是，有什么事快说,说出目的
你到底想啷个,说出目的
他去外地了，找他什么事情？,说出目的
啥情况，朋友,说出目的
为啥子打这个电话呢,说出目的
我就是，你要咋子嘛,说出目的
你先给我说你有啥子事？,说出目的
我认识他你找他又什么事情？,说出目的
我干嘛要告诉你，你要是骗子呢？,说出目的
干嘛？,说出目的
想套路我？,说出目的
有屁快放,说出目的
噶哈玩意,说出目的
请讲,说出目的
有什么事快说，手机快没电了,说出目的
你是不是吃错药了,说出目的
你要干嘛嘛,说出目的
他正好不在，找他么子个事情？,说出目的
啥情况，美女,说出目的
快说嘛，我在开车,说出目的
你到底是哪个哦？,回问身份
我不是本人，你是哪位？有啥事情我帮你传话,说出目的
你警察啊，调查户口的嗖，你哪颗葱，干嘛？,说出目的
啥事？,说出目的
欠你钱了？,说出目的
别墨迹，快说,说出目的
干么斯,说出目的
最近忙,请求等下打来
怎么了，有屁快放,说出目的
我看你是瓜娃子,回问身份
嘛呢，干嘛呢,说出目的
什么事情？他现在不在，要不要我转告他？,说出目的
啥情况，帅哥,说出目的
我认识，你找他咋子,说出目的
直说你要干嘛。,说出目的
好了，不说了,不愿配合
我是他哥，有什么事情告诉我？,说出目的
你老几啊，你管我是谁，你想干嘛？,说出目的
有啥子事情？,说出目的
咋了？,说出目的
你有5分钟时间说明来意,说出目的
搞么之咧,说出目的
嘛事啊,说出目的
我看你是胎宝宝,回问身份
你的目的是什么,说出目的
先说事,说出目的
啥情况，妹儿,说出目的
说,说出目的
会不会说话呢，有啥子事？,说出目的
你们是不是打错电话了,说出目的
有事情就说,说出目的
你哪来的我电话，你想干啥？,说出目的
请问找他干嘛,说出目的
找我有什么事情,说出目的
搞莫家伙哦,说出目的
啥子怪？,说出目的
长话短说，我要赶飞机了,说出目的
有病,不愿配合
嗯哼，啥事,说出目的
我是他朋友，你找他又什么事,说出目的
咋子？张哥,说出目的
就是我，找我啥子事,说出目的
弄啥子？,说出目的
就什么事情,说出目的
你是不是神经病啊？你要干嘛,说出目的
请问有什么事？,说出目的
啊，怎么了？有事吗？,说出目的
认识，你找他什么事,说出目的
搞啥子,说出目的
嗯？,说出目的
不想听你说什么废话，快说,说出目的
弱智,不愿配合
what are you 弄啥呢,说出目的
我是他老公，你找她什么事,说出目的
弄啥？,说出目的
嗯，咋了,说出目的
你到底要干啥子哦？,说出目的
不要这么无聊好不好,说出目的
关你屁事,不愿配合
你管我是不是,不愿配合
什么？搞不懂。莫惹我,不愿配合
我不知道,不愿配合
关你什么事,不愿配合
烦,不愿配合
你们不要打了，这个电话不用了,不愿配合
我不说,不愿配合
是不是或者认识不认识和你有什么关系,不愿配合
懒得理你,不愿配合
我心情不好，不想多说,不愿配合
不要闹，烦得很,不愿配合
管你屁事,不愿配合
你猜呢,不愿配合
认不认识你关你好多事？,不愿配合
打得来电话吗！,不愿配合
是不是和你有关系吗,不愿配合
别理我烦着呢,不愿配合
我是不是跟你有什么关系,不愿配合
是不是和你有毛关系？,不愿配合
滚,不愿配合
别打我电话了,不愿配合
有你什么事,不愿配合
别理我,不愿配合
要赶飞机，再说了,请求等下打来
你不要烦我,不愿配合
认识又怎么样,不愿配合
不要闹,不愿配合
认不认识跟你有什么关系,不愿配合
认识怎么样不认识又怎么样，烦求得很,不愿配合
管你啥事,不愿配合
我认不到你说的那个人,不愿配合
我不想回答你,不愿配合
管你毛事！,不愿配合
我还是张大大呢,不愿配合
老子是谁管你啥事,不愿配合
认不认识和你没关,不愿配合
别给我打电话了，我不认识他,不愿配合
我不想说话,不愿配合
谁知道认识不认识,不愿配合
没时间扯,不愿配合
别打了，烦不烦啊,不愿配合
我难得给你说,不愿配合
不认识又怎么样，你打我啊,不愿配合
认不认识跟你有半毛钱关系,不愿配合
你管我是不是，烦,不愿配合
管你求事,不愿配合
你有点儿讨厌,不愿配合
不想跟你说，咋子嘛,不愿配合
会打电话吗！,不愿配合
我不想说话，不要烦我,不愿配合
你个宝批龙，滚，爬，虐！,不愿配合
你不晓得老子是谁给我打什么电话,不愿配合
你到底想干嘛啊？,不愿配合
烦不烦,不愿配合
你觉得呢,不愿配合
不要理我哈,不愿配合
你们哪里啊，怎么总骚扰我啊,不愿配合
随便你,不愿配合
懒得给你说,不愿配合
认识他或不认识他又什么区别,不愿配合
有你啥事,不愿配合
我都已经说了不认识了,不愿配合
爬,不愿配合
别来惹我。,不愿配合
请说普通话,不愿配合
没心情说话，不要打电话给我了,不愿配合
直接挂电话,不愿配合
不要烦我,不愿配合
我靠，别再打来了,不愿配合
无聊,不愿配合
再打电话我报警啦,不愿配合
懒得搭理你,不愿配合
你管求得我的,不愿配合
认识他或不认识他跟你有什么关系,不愿配合
我现在忙得很，烦死了,不愿配合
有你啥相干,不愿配合
听不懂你说的什么,不愿配合
哎呀，滚远点，不要打了,不愿配合
哪来这么多骚扰电话。,不愿配合
不想跟你说话,不愿配合
此人已死，有事烧纸！,不愿配合
少来烦我，有病啊,不愿配合
都给你说了，别再打了，你听不懂吗？,不愿配合
我很忙，别烦我,不愿配合
你拨打的电话已关机,不愿配合
额？,说出目的
滚，你们再打我就，信不信我让你们吃不了兜着走,不愿配合
劳资就是不想说,不愿配合
我不想和你说话，和你说话都是在浪费表情,不愿配合
认识怎么样不认识又怎么样,不愿配合
认识他或不认识他跟你有半毛钱的关系,不愿配合
有你鸡儿事,不愿配合
最后警告一次不要打了,不愿配合
我没空,不愿配合
我是你姥姥。,不愿配合
你们一天闲得慌啊，天天打骚扰电话来！,不愿配合
我认不认识跟你有关么？,不愿配合
爬开,不愿配合
我不想回答你的问题,不愿配合
你去找他呀,不愿配合
电话接通中，请稍后,不愿配合
打打打，我明天就把这张卡注销了，看你们还怎么打,不愿配合
打死我嘛,不愿配合
认识与否，我就在这里，你还能那我咋地,不愿配合
我现在忙得很,不愿配合
说实话，听到你声音就想打你一顿，太难听,不愿配合
你又是老几，你不说我为啥要说,不愿配合
瓜娃子，莫装怪,不愿配合
不要再打了,不愿配合
忙，没时间。,不愿配合
再打电话来我报警了,不愿配合
你怎么不去问他认不认识我啊？,不愿配合
死开,不愿配合
你管我啊,不愿配合
他的事你直接去找他，别找我,不愿配合
不想理你,不愿配合
啊？,不愿配合
不要总觉得你们了不起，一天到晚打个不停，讨债的了不起啊,不愿配合
你想咋子,不愿配合
爱干啥干啥,不愿配合
你晓不晓得，听到你的声音我就想打干呕,不愿配合
胎神,不愿配合
这电话有毒,不愿配合
我该给你说啊？,不愿配合
我跪谢你别给我打电话了哈！,不愿配合
我到底借了你们多少钱,确认数额
利息好多？,确认数额
我欠了多少？,确认数额
我到底欠了多少？,确认数额
我怎么欠了怎么多,确认数额
你再说一遍我欠了多少？,确认数额
好多钱？,确认数额
有那么多嘛，我查查啊,确认数额
我不知道有没哦,确认数额
那现在总共欠款就是这么多么？,确认数额
我去查查借款记,确认数额
哪里欠了这么多钱哦，我查查借款记录,确认数额
利息本金一共好多,确认数额
到底是好多哦？,确认数额
我都不晓得我欠了多少钱了,确认数额
我欠了好多钱来着？,确认数额
帮我算算我总共要还多少钱？,确认数额
看来还是很年轻了,确认数额
我好像没借这么多钱哦，你把详细记录给我看看,确认数额
滞纳金是什么？,确认数额
我去看看我差多少,确认数额
分期的话，一期要还多少？,确认数额
你妹利息是不是算错了,确认数额
你是说我欠了xx元吗？,确认数额
利息怎么算的？,确认数额
本金有多少来着,确认数额
我难得还了,不愿配合
不知道有没有算错呢,确认数额
现在总共需要处理多少,确认数额
我好想没有签那么多钱哦，我要先查查借款记录,确认数额
总共多少钱,确认数额
好多喃？,确认数额
麻烦给我发个短信呢,其它通讯方式
有好多钱呢？你给我说下,确认数额
我的账单找不到了，你发我一份看看。,确认数额
这明显是高利贷,确认数额
你给我一项一项解释清楚，为什么会有这么多钱的？,确认数额
你给我发个账单，我确认一下,确认数额
我借了多少钱？,确认数额
分期还还有利息吗？,确认数额
你们的利息怎么这么高,确认数额
我需要核实一下我是否欠了xx元钱,确认数额
我要看银行流水,确认数额
我还了一部分了，没有多少了,确认数额
好多利息嘛,确认数额
我再看看我之前的欠款记录，看看正确不,确认数额
一共多少,确认数额
我查查借款记录，哪里欠了这么多钱哦？,确认数额
总共好多喃,确认数额
有没得单子哦,确认数额
在哪里可以查,确认数额
什么时候欠了这么多钱的?等我去查一下再说,确认数额
没听清楚，你再说一遍我欠的钱。,确认数额
好多嘛,确认数额
今天你必须给我讲清楚了，这些金额是怎么算出来的,确认数额
逾期是从那天开始算,确认数额
我看看我现在还有多少钱？,确认数额
确定逾期这么多天了,确认数额
等等，我需要查询一下借款记录,确认数额
我不知道多少钱,确认数额
您刚才说的是哪笔贷款啊，多少钱的,确认数额
给你说个铲铲,不愿配合
具体是怎么计算出来的，你给我说说,确认数额
拢共一哈好多嘛,确认数额
我要先查查借款记录，我好想没有签那么多钱哦，,确认数额
利息有多少呢,确认数额
有这么多啊,确认数额
利息这么高 怎么还得起,确认数额
利息多少？,确认数额
等下啊，我记下我欠了多少钱。,确认数额
等我去看一下记录多,确认数额
有这么多钱么？,确认数额
我不知道有没有这么多钱,确认数额
好像只逾期了几天呀,确认数额
我有欠那么多吗,确认数额
好多？,确认数额
你再合适一下金额呢，怎么感觉不对啊,确认数额
啥子哦,请求重复
利息是多少啊,确认数额
一哈多少,确认数额
利息咋个这么高？你们利息是怎么算的？,确认数额
你给我算哈一哈好多钱,确认数额
纳闷算的？,确认数额
你们利息这么高吗？收了我多少利息？,确认数额
你发个账单到我手机短信上吧。,确认数额
滞纳金是怎么算的哦？,确认数额
等一下，我算一下,确认数额
我确认一下我现在是要还多少钱,确认数额
滞纳金这么高啊,确认数额
我记得我没有欠那么多呢,确认数额
请说出金额？,确认数额
金额数目你是不是看错啦,确认数额
怎么还要滞纳金，你确定是正确的啊，我不记得有这么多钱了,确认数额
利息哪里要得到这么高哦？你们利息是怎么算的？,确认数额
分批的哇？,请求重复
我根本就没有借那么多,确认数额
啥玩意儿，这么多钱？,确认数额
我要先去核对下。,确认数额
请给我一个详细的利息清单,确认数额
什么？你们这是利滚利啊,确认数额
我去查查借款记录,确认数额
我想知道，分期的话，最长能分几期？,确认数额
确定没有算错,确认数额
我记得已经还了一部分了啊，怎么还有这么多,确认数额
怎么算？,确认数额
没有那么多吧,确认数额
那我看看，合计合计,确认数额
利息咋个会这么高法子哦？利息是咋个子计算的也？,确认数额
我记得莫得这么多哦,确认数额
你们这个每个月利息是多少啊,确认数额
我都不知道我欠了你们好多钱,确认数额
等下，我找下账单信息。,确认数额
说个总数,确认数额
不得哦，怎么会欠这么多钱呢？你给我仔细说一下呢,确认数额
搞什么，还有滞纳金，我觉得你们算的有问题吧,确认数额
我欠你们多少钱,确认数额
能不能一年还清？,确认数额
我去看看详细合同,确认数额
滞纳金这么多，你们一定弄错了,确认数额
利息高啊？,确认数额
怎么会有那么多钱，我已经分期还了一部分了,确认数额
杂子了,说出目的
滞纳金能不能省掉,讨价还价
滞纳金咋个这么高？你们滞纳金是怎么算的？,确认数额
一共好多嘛,确认数额
我需要处理多少钱？,确认数额
这个利息是怎么算的哦？,确认数额
到底要多少钱？,确认数额
我需要看一下合同,确认数额
我借了你们多少钱,确认数额
能不能先还一半，后面的分期,讨价还价
没欠这么多钱吧,确认数额
利息这么多，你们一定弄错了,确认数额
我要还几位数？,确认数额
你确定我欠了那么多嘛,确认数额
我看哈,确认数额
还有没有其他的费用,确认数额
你给我算哈一哈拢共好多钱,确认数额
滞纳金哪里要得到这么高哦？你们滞纳金是怎么算的？,确认数额
现在总共需要还多少,确认数额
哪有这么多哦,确认数额
我要还多少钱给你们,确认数额
这个滞纳金是怎么算的哦？,确认数额
利息不可能那么多哦，你们算错没有呢？,确认数额
我需要确认一下滞纳金的算法,确认数额
我欠了多少,确认数额
能不能把利息全减了,确认数额
你们没算错,确认数额
等我核对一下我到底欠了多少钱再说,确认数额
有没得1万？,确认数额
你们搞错了，没有那么多，真的,确认数额
我查哈,确认数额
总共就这么多吗，还有没有其他的金额项,确认数额
滞纳金咋个会这么高法子哦？滞纳金是咋个子计算的也？,确认数额
利息好多？本金好多？,确认数额
不可能哦,确认数额
我现在不方便接电话,请求等下打来
我有欠你们多少钱？,确认数额
我打电话问一下哆。,确认数额
我没有借这么多样，等我去查一下记录再说,确认数额
你们这样算不违法么？,确认数额
我借了多少？,确认数额
能不能不还利息,确认数额
怎么这么多,确认数额
那我还需要还多少？,确认数额
直接说金额,确认数额
欠多少你们说了算？根本就没那么多,确认数额
我回去看下,确认数额
欠款金额我是知道的，现在总共有多少？,确认数额
现在总共欠了好多，我要还好多,确认数额
绝对不可能,确认数额
当时借的时候，都不是这样说的,确认数额
我确认下我这边欠款是多少？,确认数额
我先看看我是不是欠了这么多。,确认数额
等我自己去确认了金额，再说,确认数额
搞什么啊，哪里有这么多,确认数额
我需要还多少,确认数额
这么多利息啊,确认数额
应该没有这么多吧,确认数额
减免之后我需要还多少钱呢？,确认数额
我逾期只有两个月，怎么会有那么多钱啊,确认数额
不晓得够不,确认数额
分多少期付款完？,确认数额
现在欠了好多，总共欠了好多，我心里没得谱的,确认数额
欠了有好多？,确认数额
为什么越来越多了,确认数额
你帮我查下我总共需要还多少钱,确认数额
你等会打过来，我先确认下。,确认数额
你这个金额怕是有点问题，我还得再确认下,确认数额
那我到底需要还好多啊？,确认数额
我需要还你们多少,确认数额
利息能不能也分期,确认数额
我算下利息,确认数额
那减免了多少钱呢？,确认数额
金额？,确认数额
不能理解你们，没有那么多钱，说成有那么多，怎么算的,确认数额
多半不够,确认数额
哦这样啊，那总共是多少钱,确认数额
利息，滞纳金咋个这么高？你们是怎么算的？,确认数额
借了你们好多？,确认数额
这个是固定利息么,确认数额
本金和利息各是多少？,确认数额
发份账单到我邮箱吧，我记不住。,确认数额
你这个数额不对,确认数额
我不认可你们的算法，我需要再查一下,确认数额
我去看看,确认数额
你确定没算错,确认数额
那你直接说我要还多少吧,确认数额
等我看哈,确认数额
我怎么不知道有那么多，怎么算的,确认数额
滞纳金是怎么计算的？,确认数额
利息，滞纳金咋个这么高？你们是咋个算的？,确认数额
要算哈账哦,确认数额
我欠了多少钱？,确认数额
把要还的明显发我下，我核对下。,确认数额
我们微信聊,其它通讯方式
你有微信不？,其它通讯方式
加我微信吧,其它通讯方式
加微信吧,其它通讯方式
加我微信,其它通讯方式
我们见面仔细聊吧,其它通讯方式
发我邮箱,其它通讯方式
加我Q,其它通讯方式
你给我发到邮箱吧,其它通讯方式
加我qq,其它通讯方式
不太方便，要不你加我 QQ 吧,其它通讯方式
你有没有叮叮,其它通讯方式
你好久空，我们面谈,其它通讯方式
怎么可能还清？,其它通讯方式
你加我微信吧,其它通讯方式
电话不方便得，价格微信说。,其它通讯方式
你把详情发我短信,其它通讯方式
你给我你的私人电话吧，我待会打给你聊,其它通讯方式
你给我发个短信,其它通讯方式
加我QQ吧,其它通讯方式
我们面谈吧,其它通讯方式
加我微,其它通讯方式
你把详细情况给我发到微信上吧,其它通讯方式
你有微信么,其它通讯方式
不太方便，要不你加我微信吧,其它通讯方式
Telegram好不好,其它通讯方式
微信说,其它通讯方式
还不起你又能把我怎样,其它通讯方式
你加我QQ吧,其它通讯方式
咋们微信上说吧。,其它通讯方式
发我短信,其它通讯方式
你打我另外这个电话，我们聊,其它通讯方式
你有QQ不,其它通讯方式
加我飞信吧,其它通讯方式
给我打短信,其它通讯方式
加我谈谈,其它通讯方式
我现在很忙，我们微信聊吧,其它通讯方式
加我企鹅号,其它通讯方式
加我另一个手机号吧,其它通讯方式
打我电话嘛,其它通讯方式
加我微信，发给我,其它通讯方式
要不你加我QQ聊,其它通讯方式
电话里面说不清，要不你加我 QQ,其它通讯方式
SKYPE有不有,其它通讯方式
qq说,其它通讯方式
别加微信了，加了也没用,其它通讯方式
我给你我的邮箱,其它通讯方式
我微信给你，你加我下。,其它通讯方式
加我wechat吧,其它通讯方式
你给我个QQ邮箱，我们发邮件说,其它通讯方式
我在开会呢，先加我微信,其它通讯方式
加我陌陌,其它通讯方式
我很忙，我加你微信吧,其它通讯方式
给我打电话,其它通讯方式
短信联系我吧,其它通讯方式
你找我撒,其它通讯方式
