original_text,from,original_label,split_text
你们不要打了，这个电话不用了,不愿配合,109,你们 不要 打 了   这个 电话 不用 了
我不说,不愿配合,109,我 不 说
是不是或者认识不认识和你有什么关系,不愿配合,109,是不是 或者 认识 不 认识 和 你 有 什么 关系
懒得理你,不愿配合,109,懒得 理 你
我心情不好，不想多说,不愿配合,109,我 心情 不好   不想 多 说
不要闹，烦得很,不愿配合,109,不要 闹   烦得 很
管你屁事,不愿配合,109,管 你 屁事
你猜呢,不愿配合,109,你 猜 呢
认不认识你关你好多事？,不愿配合,109,认不 认识 你关 你 好多 事 ？
打得来电话吗！,不愿配合,109,打 得来 电话 吗 ！
是不是和你有关系吗,不愿配合,109,是不是 和 你 有 关系 吗
别理我烦着呢,不愿配合,109,别理 我烦 着 呢
我是不是跟你有什么关系,不愿配合,109,我 是不是 跟 你 有 什么 关系
是不是和你有毛关系？,不愿配合,109,是不是 和 你 有 毛 关系 ？
滚,不愿配合,109,滚
别打我电话了,不愿配合,109,别打我 电话 了
有你什么事,不愿配合,109,有 你 什么 事
别理我,不愿配合,109,别理 我
你不要烦我,不愿配合,109,你 不要 烦 我
认识又怎么样,不愿配合,109,认识 又 怎么样
不要闹,不愿配合,109,不要 闹
认不认识跟你有什么关系,不愿配合,109,认不 认识 跟 你 有 什么 关系
认识怎么样不认识又怎么样，烦求得很,不愿配合,109,认识 怎么样 不 认识 又 怎么样   烦 求得 很
管你啥事,不愿配合,109,管 你 啥事
我认不到你说的那个人,不愿配合,109,我认 不到 你 说 的 那个 人
我不想回答你,不愿配合,109,我 不想 回答 你
管你毛事！,不愿配合,109,管 你 毛事 ！
我还是张大大呢,不愿配合,109,我 还是 张 大大 呢
老子是谁管你啥事,不愿配合,109,老子 是 谁 管 你 啥事
认不认识和你没关,不愿配合,109,认不 认识 和 你 没关
别给我打电话了，我不认识他,不愿配合,109,别 给 我 打电话 了   我 不 认识 他
我不想说话,不愿配合,109,我 不想 说话
谁知道认识不认识,不愿配合,109,谁 知道 认识 不 认识
没时间扯,不愿配合,109,没 时间 扯
别打了，烦不烦啊,不愿配合,109,别 打 了   烦不烦 啊
我难得给你说,不愿配合,109,我 难得 给 你 说
不认识又怎么样，你打我啊,不愿配合,109,不 认识 又 怎么样   你 打 我 啊
认不认识跟你有半毛钱关系,不愿配合,109,认不 认识 跟 你 有 半 毛钱 关系
你管我是不是，烦,不愿配合,109,你 管 我 是不是   烦
管你求事,不愿配合,109,管 你 求事
你有点儿讨厌,不愿配合,109,你 有点儿 讨厌
不想跟你说，咋子嘛,不愿配合,109,不想 跟 你 说   咋子 嘛
会打电话吗！,不愿配合,109,会 打电话 吗 ！
我不想说话，不要烦我,不愿配合,109,我 不想 说话   不要 烦 我
你个宝批龙，滚，爬，虐！,不愿配合,109,你 个 宝 批龙   滚   爬   虐 ！
你不晓得老子是谁给我打什么电话,不愿配合,109,你 不 晓得 老子 是 谁给我 打 什么 电话
你到底想干嘛啊？,不愿配合,101,你 到底 想 干嘛 啊 ？
烦不烦,不愿配合,109,烦不烦
你觉得呢,不愿配合,109,你 觉得 呢
不要理我哈,不愿配合,109,不要 理 我 哈
你们哪里啊，怎么总骚扰我啊,不愿配合,109,你们 哪里 啊   怎么 总 骚扰 我 啊
随便你,不愿配合,109,随便 你
懒得给你说,不愿配合,109,懒得 给 你 说
认识他或不认识他又什么区别,不愿配合,109,认识 他 或 不 认识 他 又 什么 区别
有你啥事,不愿配合,109,有 你 啥事
我都已经说了不认识了,不愿配合,109,我 都 已经 说 了 不 认识 了
爬,不愿配合,109,爬
别来惹我。,不愿配合,109,别来 惹 我 。
请说普通话,不愿配合,109,请 说 普通话
没心情说话，不要打电话给我了,不愿配合,109,没 心情 说话   不要 打电话 给 我 了
直接挂电话,不愿配合,109,直接 挂 电话
不要烦我,不愿配合,109,不要 烦 我
我靠，别再打来了,不愿配合,109,我 靠   别 再 打来 了
无聊,不愿配合,109,无聊
再打电话我报警啦,不愿配合,109,再 打电话 我 报警 啦
懒得搭理你,不愿配合,109,懒得 搭理 你
你管求得我的,不愿配合,109,你 管 求得 我 的
认识他或不认识他跟你有什么关系,不愿配合,109,认识 他 或 不 认识 他 跟 你 有 什么 关系
我现在忙得很，烦死了,不愿配合,109,我 现在 忙 得 很   烦死 了
有你啥相干,不愿配合,109,有 你 啥 相干
听不懂你说的什么,不愿配合,109,听不懂 你 说 的 什么
哎呀，滚远点，不要打了,不愿配合,109,哎呀   滚远点   不要 打 了
哪来这么多骚扰电话。,不愿配合,109,哪来 这么 多 骚扰电话 。
不想跟你说话,不愿配合,109,不想 跟 你 说话
此人已死，有事烧纸！,不愿配合,109,此人 已死   有事 烧纸 ！
少来烦我，有病啊,不愿配合,109,少来 烦 我   有病 啊
都给你说了，别再打了，你听不懂吗？,不愿配合,109,都 给 你 说 了   别 再 打 了   你 听不懂 吗 ？
我很忙，别烦我,不愿配合,109,我 很 忙   别烦 我
你拨打的电话已关机,不愿配合,109,你 拨打 的 电话 已 关机
滚，你们再打我就，信不信我让你们吃不了兜着走,不愿配合,109,滚   你们 再 打 我 就   信不信 我 让 你们 吃不了兜着走
劳资就是不想说,不愿配合,109,劳资 就是 不想 说
我不想和你说话，和你说话都是在浪费表情,不愿配合,109,我 不想 和 你 说话   和 你 说话 都 是 在 浪费 表情
认识怎么样不认识又怎么样,不愿配合,101,认识 怎么样 不 认识 又 怎么样
认识他或不认识他跟你有半毛钱的关系,不愿配合,109,认识 他 或 不 认识 他 跟 你 有 半 毛钱 的 关系
有你鸡儿事,不愿配合,109,有 你 鸡儿 事
最后警告一次不要打了,不愿配合,109,最后 警告 一次 不要 打 了
我没空,不愿配合,109,我 没空
我是你姥姥。,不愿配合,109,我 是 你 姥姥 。
你们一天闲得慌啊，天天打骚扰电话来！,不愿配合,109,你们 一天 闲得 慌 啊   天天 打 骚扰电话 来 ！
我认不认识跟你有关么？,不愿配合,109,我认 不 认识 跟 你 有关 么 ？
爬开,不愿配合,109,爬开
我不想回答你的问题,不愿配合,109,我 不想 回答 你 的 问题
你去找他呀,不愿配合,109,你 去 找 他 呀
电话接通中，请稍后,不愿配合,109,电话 接通 中   请 稍后
打打打，我明天就把这张卡注销了，看你们还怎么打,不愿配合,109,打打 打   我   就 把 这 张卡 注销 了   看 你们 还 怎么 打
打死我嘛,不愿配合,109,打死 我 嘛
认识与否，我就在这里，你还能那我咋地,不愿配合,109,认识 与否   我 就 在 这里   你 还 能 那 我 咋 地
我现在忙得很,不愿配合,109,我 现在 忙 得 很
说实话，听到你声音就想打你一顿，太难听,不愿配合,109,说实话   听到 你 声音 就 想 打 你 一顿   太 难听
你又是老几，你不说我为啥要说,不愿配合,109,你 又 是 老几   你 不 说 我 为啥 要说
瓜娃子，莫装怪,不愿配合,109,瓜 娃子   莫装怪
不要再打了,不愿配合,109,不要 再 打 了
忙，没时间。,不愿配合,109,忙   没 时间 。
再打电话来我报警了,不愿配合,109,再 打电话 来 我 报警 了
你怎么不去问他认不认识我啊？,不愿配合,109,你 怎么 不去 问 他 认 不 认识 我 啊 ？
死开,不愿配合,109,死开
你管我啊,不愿配合,109,你 管 我 啊
他的事你直接去找他，别找我,不愿配合,109,他 的 事 你 直接 去 找 他   别找我
不想理你,不愿配合,109,不想 理 你
啊？,不愿配合,109,啊 ？
不要总觉得你们了不起，一天到晚打个不停，讨债的了不起啊,不愿配合,109,不要 总 觉得 你们 了不起   一天到晚 打个 不停   讨债 的 了不起 啊
你想咋子,不愿配合,101,你 想 咋子
爱干啥干啥,不愿配合,109,爱干 啥 干 啥
你晓不晓得，听到你的声音我就想打干呕,不愿配合,109,你晓不 晓得   听到 你 的 声音 我 就 想 打 干呕
胎神,不愿配合,109,胎神
这电话有毒,不愿配合,109,这 电话 有毒
我该给你说啊？,不愿配合,109,我 该 给 你 说 啊 ？
我跪谢你别给我打电话了哈！,不愿配合,109,我 跪谢 你别 给 我 打电话 了 哈 ！
我难得还了,不愿配合,109,我 难得 还 了
给你说个铲铲,不愿配合,109,给 你 说 个 铲 铲
如果我不还呢？,不愿配合,109,如果 我 不 还 呢 ？
什么玩意儿,不愿配合,109,什么 玩意儿
烦,不愿配合,109,烦
麻烦,不愿配合,109,麻烦
去死吧,不愿配合,109,去死吧
你牛,不愿配合,109,你 牛
不好意思，我没兴趣,不愿配合,109,不好意思   我 没 兴趣
二货,不愿配合,109,二货
自己找他,不愿配合,109,自己 找 他
自己找他,不愿配合,109,自己 找 他
自己找,不愿配合,109,自己 找
自己想,不愿配合,109,自己 想
自己去营业厅查,不愿配合,109,自己 去 营业厅 查
自己去查,不愿配合,109,自己 去查
转告不了,不愿配合,109,转告 不了
这个和你有关系吗？,不愿配合,101,这个 和 你 有 关系 吗 ？
这个保证不了,不愿配合,109,这个 保证 不了
找警察问,不愿配合,109,找 警察 问
找警察,不愿配合,109,找 警察
找借口,不愿配合,109,找 借口
再见,不愿配合,109,再见
与我有关系吗,不愿配合,109,与 我 有 关系 吗
我在睡觉别烦我,不愿配合,109,我 在 睡觉 别烦 我
我愿意认识就认识，不愿意就不认识,不愿配合,109,我 愿意 认识 就 认识   不 愿意 就 不 认识
我应该认识他吗,不愿配合,109,我 应该 认识 他 吗
我现在不想说话,不愿配合,109,我 现在 不想 说话
我是你大爷,不愿配合,109,我 是 你 大爷
我是不是和你有关系么,不愿配合,109,我 是不是 和 你 有 关系 么
我是不是管你什么事,不愿配合,109,我 是不是 管 你 什么 事
我是不是关你什么事情,不愿配合,109,我 是不是 关 你 什么 事情
我是不是关你何事？,不愿配合,109,我 是不是 关 你 何事 ？
我没有义务告知你,不愿配合,109,我 没有 义务 告知 你
我就是不告诉你,不愿配合,109,我 就是 不 告诉 你
我和你之间没发交流,不愿配合,109,我 和 你 之间 没发 交流
我不愿意告诉你,不愿配合,109,我 不 愿意 告诉 你
我不想说话,不愿配合,109,我 不想 说话
我不想回答,不愿配合,109,我 不想 回答
我不给你说,不愿配合,109,我 不 给 你 说
是与不是，你打电话干嘛,不愿配合,109,是 与 不是   你 打电话 干嘛
是又怎样，不是又怎样？,不愿配合,109,是 又 怎样   不是 又 怎样 ？
是又怎么样不又怎么样,不愿配合,109,是 又 怎么样 不 又 怎么样
是不是和你有关系吗,不愿配合,109,是不是 和 你 有 关系 吗
是不是管你什么事,不愿配合,109,是不是 管 你 什么 事
是不是关你什么事？,不愿配合,109,是不是 关 你 什么 事 ？
是不是跟你有关系,不愿配合,109,是不是 跟 你 有 关系
认识怎么样不认识又怎么样,不愿配合,109,认识 怎么样 不 认识 又 怎么样
认不认识和你有毛关系,不愿配合,109,认不 认识 和 你 有 毛 关系
认不认识管你什么事,不愿配合,109,认不 认识 管 你 什么 事
凭什么回答你,不愿配合,109,凭 什么 回答 你
你自己去找,不愿配合,109,你 自己 去 找
你自己联系他,不愿配合,109,你 自己 联系 他
你找张三打我电话干嘛,不愿配合,109,你 找 张 三打 我 电话 干嘛
你找我没用啊,不愿配合,109,你 找 我 没用 啊
你问这个问题是不是弱智,不愿配合,109,你 问 这个 问题 是不是 弱智
你问我我怎么知道,不愿配合,109,你 问 我 我 怎么 知道
你说我是谁,不愿配合,109,你 说 我 是 谁
你说我是还是不是呢,不愿配合,109,你 说 我 是 还 是不是 呢
你认为呢,不愿配合,109,你 认为 呢
你认识他吗？,不愿配合,109,你 认识 他 吗 ？
你认识他啊,不愿配合,109,你 认识 他 啊
你认识你自己找,不愿配合,109,你 认识 你 自己 找
你去问他,不愿配合,109,你 去 问 他
你去试试吧,不愿配合,109,你 去 试试 吧
你去猜吧,不愿配合,109,你 去 猜 吧
你弄好了再说,不愿配合,109,你 弄 好 了 再说
你们真烦,不愿配合,109,你们 真烦
你们要向我道歉,不愿配合,109,你们 要 向 我 道歉
你们不认识啊,不愿配合,109,你们 不 认识 啊
你们把之前打我通讯录的人找出来,不愿配合,109,你们 把 之前 打 我 通讯录 的 人 找 出来
你还要我怎样,不愿配合,101,你 还要 我 怎样
你还是找本人吧,不愿配合,109,你 还是 找 本人 吧
你还是挂电话吧,不愿配合,109,你 还是 挂 电话 吧
你过来就处理,不愿配合,105,你 过来 就 处理
你管我谁,不愿配合,109,你 管 我 谁
你管我是谁,不愿配合,109,你 管 我 是 谁
你管我是不是了,不愿配合,109,你 管 我 是不是 了
你管我是不是,不愿配合,109,你 管 我 是不是
你管我认不认识,不愿配合,109,你 管 我认 不 认识
你给我打电话问我干啥,不愿配合,101,你 给 我 打电话 问 我 干 啥
你都打过来了还问是不是,不愿配合,109,你 都 打 过来 了 还 问 是不是
你打我电话还问我是谁？？,不愿配合,109,你 打 我 电话 还 问 我 是 谁 ？ ？
你打我电话干嘛,不愿配合,101,你 打 我 电话 干嘛
你打谁电话你不知道啊,不愿配合,109,你 打 谁 电话 你 不 知道 啊
你打电话你不知道我是谁吗,不愿配合,109,你 打电话 你 不 知道 我 是 谁 吗
你不知道我是谁你打我电话？,不愿配合,109,你 不 知道 我 是 谁 你 打 我 电话 ？
你不知道我认不认识，你打我电话干嘛,不愿配合,109,你 不 知道 我认 不 认识   你 打 我 电话 干嘛
你不知道你打电话给我干什么？,不愿配合,109,你 不 知道 你 打电话 给 我 干什么 ？
你不要打电话让客服来电,不愿配合,105,你 不要 打电话 让 客服 来电
你不要打电话过来了,不愿配合,109,你 不要 打电话 过来 了
能不能不要打我电话骚扰我，他管我什么事,不愿配合,109,能 不能不要 打 我 电话 骚扰 我   他管 我 什么 事
能不能别打我电话,不愿配合,109,能 不能 别打我 电话
没事挂了,不愿配合,109,没事 挂 了
没时间,不愿配合,109,没 时间
给我发红包就告诉你,不愿配合,109,给 我 发红包 就 告诉 你
搞什么呢,不愿配合,101,搞 什么 呢
搞不醒活。,不愿配合,109,搞 不醒活 。
干嘛告诉你,不愿配合,109,干嘛 告诉 你
烦死了，天天打电话,不愿配合,109,烦死 了   天天 打电话
烦死了,不愿配合,109,烦死 了
烦不烦,不愿配合,109,烦不烦
打我电话干嘛的,不愿配合,109,打 我 电话 干嘛 的
打她电话，打我电话干嘛,不愿配合,109,打 她 电话   打 我 电话 干嘛
不知道呢,不愿配合,109,不 知道 呢
不知道了,不愿配合,109,不 知道 了
不知道啊,不愿配合,109,不 知道 啊
不知道，你哪里,不愿配合,109,不 知道   你 哪里
不知道,不愿配合,109,不 知道
不正面回答,不愿配合,109,不 正面 回答
不在,不愿配合,109,不 在
不要骚扰我,不愿配合,109,不要 骚扰 我
不要骚扰了,不愿配合,109,不要 骚扰 了
不要老打我电话,不愿配合,109,不要 老打 我 电话
不要烦我,不愿配合,109,不要 烦 我
不要打我电话,不愿配合,109,不要 打 我 电话
不要打过来,不愿配合,109,不要 打 过来
不要打电话了,不愿配合,109,不要 打电话 了
不想说话,不愿配合,109,不想 说话
不想理你,不愿配合,109,不想 理 你
不想告诉你,不愿配合,109,不想 告诉 你
不太懂,不愿配合,109,不太懂
不说话,不愿配合,109,不 说话
不说的,不愿配合,109,不 说 的
不说,不愿配合,109,不说
不管我的事,不愿配合,109,不管 我 的 事
不关我事,不愿配合,109,不关我事
不关我的事,不愿配合,109,不关 我 的 事
不发红包不说,不愿配合,109,不 发红包 不说
别骚扰我,不愿配合,109,别 骚扰 我
别烦我我知道,不愿配合,109,别烦 我 我 知道
别烦我,不愿配合,109,别烦 我
别打我电话了,不愿配合,109,别打我 电话 了
别打我电话，烦不烦？,不愿配合,109,别打我 电话   烦不烦 ？
别打我电话,不愿配合,109,别打我 电话
别打了烦死了,不愿配合,109,别 打 了 烦死 了
别打了烦死,不愿配合,109,别 打 了 烦死
别打了,不愿配合,109,别 打 了
别打电话了,不愿配合,109,别 打电话 了
啊你猜我是不是,不愿配合,109,啊 你 猜 我 是不是
早干嘛去了,不愿配合,109,早 干嘛 去 了
咋又是我呢？,不愿配合,109,咋 又 是 我 呢 ？
又是你个瓜娃子,不愿配合,109,又 是 你 个 瓜 娃子
又是卖保险的,不愿配合,109,又 是 卖 保险 的
有完没完呢,不愿配合,109,有完没完 呢
有毛病嗯,不愿配合,109,有 毛病 嗯
有毛病,不愿配合,109,有 毛病
有病,不愿配合,109,有病
呦,不愿配合,109,呦
唷,不愿配合,109,唷
我这里不是你要找的人,不愿配合,109,我 这里 不是 你 要 找 的 人
我怎么知道,不愿配合,109,我 怎么 知道
我怎么不记得了,不愿配合,109,我 怎么 不 记得 了
我又没欠你钱,不愿配合,109,我 又 没 欠 你 钱
我也不知道我是谁,不愿配合,109,我 也 不 知道 我 是 谁
我要去举报你们啦,不愿配合,109,我要 去 举报 你们 啦
我要去举报你们哈哈哈,不愿配合,109,我要 去 举报 你们 哈哈哈
我要去举报你们哈,不愿配合,109,我要 去 举报 你们 哈
我要去举报你们啊,不愿配合,109,我要 去 举报 你们 啊
我要去举报你们阿,不愿配合,109,我要 去 举报 你们 阿
我要去举报你们,不愿配合,109,我要 去 举报 你们
我想吐槽,不愿配合,109,我 想 吐 槽
我完全不懂你的意思,不愿配合,109,我 完全 不 懂 你 的 意思
我听不懂,不愿配合,109,我 听不懂
我觉得你有毛病没意思,不愿配合,109,我 觉得 你 有 毛病 没意思
我觉得你有毛病了,不愿配合,109,我 觉得 你 有 毛病 了
我觉得你有毛病嗯,不愿配合,109,我 觉得 你 有 毛病 嗯
我觉得你有毛病阿,不愿配合,109,我 觉得 你 有 毛病 阿
我觉得你有毛病，没意思,不愿配合,109,我 觉得 你 有 毛病   没意思
我觉得你有毛病,不愿配合,109,我 觉得 你 有 毛病
我还说些啥呢,不愿配合,109,我 还 说些 啥 呢
我都无语了,不愿配合,109,我 都 无语 了
我不知道你在想什么,不愿配合,109,我 不 知道 你 在 想 什么
我不知道你在说什么,不愿配合,109,我 不 知道 你 在 说 什么
我不知道你再说什么,不愿配合,109,我 不 知道 你 再说 什么
我不知道呢～啥？,不愿配合,109,我 不 知道 呢 ～ 啥 ？
我不知道该说什么好,不愿配合,109,我 不 知道 该 说 什么 好
我不知道,不愿配合,109,我 不 知道
我不想说,不愿配合,109,我 不想 说
我不听,不愿配合,109,我 不 听
我不认识你吧,不愿配合,109,我 不 认识 你 吧
我不清楚你说的什么,不愿配合,109,我 不 清楚 你 说 的 什么
我不明白你说的啥,不愿配合,109,我 不 明白 你 说 的 啥
我不明白你的意思,不愿配合,109,我 不 明白 你 的 意思
我不还你们打算怎么办,不愿配合,109,我 不 还 你们 打算 怎么办
我不感兴趣哈。,不愿配合,109,我 不感兴趣 哈 。
我不懂你在说什么,不愿配合,109,我 不 懂 你 在 说 什么
我报警了,不愿配合,109,我 报警 了
我报警,不愿配合,109,我 报警
为什么你们要逼我者,不愿配合,109,为什么 你们 要 逼 我者
为什么你们要逼我呢,不愿配合,109,为什么 你们 要 逼 我 呢
为什么你们要逼我没意思,不愿配合,109,为什么 你们 要 逼 我 没意思
为什么你们要逼我嗯,不愿配合,109,为什么 你们 要 逼 我 嗯
为什么你们要逼我，没意思,不愿配合,109,为什么 你们 要 逼 我   没意思
听不见,不愿配合,109,听不见
听不懂你说啥子呢？,不愿配合,109,听不懂 你 说 啥子 呢 ？
听不懂你说啥子,不愿配合,109,听不懂 你 说 啥子
听不懂，找谁？,不愿配合,109,听不懂   找 谁 ？
死翘翘,不愿配合,109,死翘翘
死得帮翠,不愿配合,109,死得 帮翠
神经病哇,不愿配合,109,神经病 哇
神经病没意思,不愿配合,109,神经病 没意思
神经病了,不愿配合,109,神经病 了
神经病哈,不愿配合,109,神经病 哈
神经病阿,不愿配合,109,神经病 阿
神经病,不愿配合,109,神经病
神经,不愿配合,109,神经
傻逼,不愿配合,109,傻 逼
骚包,不愿配合,109,骚包
爬远点,不愿配合,109,爬 远点
爬哟,不愿配合,109,爬 哟
你走开,不愿配合,109,你 走开
你找骂是不是,不愿配合,109,你 找 骂 是不是
你找错人了,不愿配合,109,你 找 错 人 了
你再打骚扰电话，我要把你加入黑名单,不愿配合,109,你 再 打 骚扰电话   我要 把 你 加入 黑名单
你有毛病哦,不愿配合,109,你 有 毛病 哦
你有病哇,不愿配合,109,你 有 病 哇
你有病啊,不愿配合,109,你 有 病 啊
你听我声音像不像呢？,不愿配合,109,你 听 我 声音 像不像 呢 ？
你他妈谁呀，瞎几把打,不愿配合,107,你 他 妈 谁 呀   瞎 几把 打
你他妈是谁啊，我欠不欠钱关你屁事,不愿配合,107,你 他 妈 是 谁 啊   我 欠 不 欠钱 关 你 屁事
你说我是不是？,不愿配合,109,你 说 我 是不是 ？
你说我认不认识,不愿配合,109,你 说 我认 不 认识
你说啥,不愿配合,103,你 说 啥
你说呢？,不愿配合,109,你 说 呢 ？
你说的我不明白,不愿配合,109,你 说 的 我 不 明白
你说的我不懂,不愿配合,109,你 说 的 我 不 懂
你是不是找错人了,不愿配合,109,你 是不是 找错 人 了
你是不是有病呀者,不愿配合,109,你 是不是 有病 呀 者
你是不是有病呀没意思,不愿配合,109,你 是不是 有病 呀 没意思
你是不是有病呀哈哈哈,不愿配合,109,你 是不是 有病 呀 哈哈哈
你是不是有病呀嗯,不愿配合,109,你 是不是 有病 呀 嗯
你是不是有病呀吧,不愿配合,109,你 是不是 有病 呀 吧
你是不是有病呀阿,不愿配合,109,你 是不是 有病 呀 阿
你是不是有病呀，没意思,不愿配合,109,你 是不是 有病 呀   没意思
你是不是有病呀,不愿配合,109,你 是不是 有病 呀
你是不是打错了哦,不愿配合,109,你 是不是 打错 了 哦
你是不是吃饱了没事干,不愿配合,109,你 是不是 吃饱 了 没事干
你脑子进水了,不愿配合,109,你 脑子 进水 了
你脑子被驴踢了吧,不愿配合,109,你 脑子 被 驴 踢 了 吧
你脑残啊,不愿配合,109,你 脑残 啊
你们慢慢说，我先撤了。,不愿配合,109,你们 慢慢说   我 先 撤 了 。
你们还有点歪哦呀,不愿配合,109,你们 还 有点 歪 哦 呀
你们还有点歪哦没意思,不愿配合,109,你们 还 有点 歪 哦 没意思
你们还有点歪哦啦,不愿配合,109,你们 还 有点 歪 哦 啦
你们还有点歪哦哈,不愿配合,109,你们 还 有点 歪 哦 哈
你们还有点歪哦，没意思,不愿配合,109,你们 还 有点 歪 哦   没意思
你妹啊，搞错了哇,不愿配合,109,你妹 啊   搞错 了 哇
你觉得我是不是呢？,不愿配合,109,你 觉得 我 是不是 呢 ？
你觉得我是，我就是呗,不愿配合,109,你 觉得 我 是   我 就是 呗
你觉得啦。,不愿配合,109,你 觉得 啦 。
你管我是不是者,不愿配合,109,你 管 我 是不是 者
你管我是不是没意思,不愿配合,109,你 管 我 是不是 没意思
你管我是不是了,不愿配合,109,你 管 我 是不是 了
你管我是不是哈哈哈,不愿配合,109,你 管 我 是不是 哈哈哈
你管我是不是哈,不愿配合,109,你 管 我 是不是 哈
你管我是不是嗯,不愿配合,109,你 管 我 是不是 嗯
你管我是不是吧,不愿配合,109,你 管 我 是不是 吧
你管我是不是啊,不愿配合,109,你 管 我 是不是 啊
你管我是不是阿,不愿配合,109,你 管 我 是不是 阿
你管我是不是，没意思,不愿配合,109,你 管 我 是不是   没意思
你管我是不是,不愿配合,109,你 管 我 是不是
你管我啥子原因矣,不愿配合,109,你 管 我 啥子 原因 矣
你管我啥子原因没意思,不愿配合,109,你 管 我 啥子 原因 没意思
你管我啥子原因了,不愿配合,109,你 管 我 啥子 原因 了
你管我啥子原因哈,不愿配合,109,你 管 我 啥子 原因 哈
你管我啥子原因阿,不愿配合,109,你 管 我 啥子 原因 阿
你管我啥子原因,不愿配合,109,你 管 我 啥子 原因
你给我发红包我就告诉你,不愿配合,109,你 给 我 发红包 我 就 告诉 你
你个瓜娃子，咋个又在打我电话,不愿配合,109,你 个 瓜 娃子   咋个 又 在 打 我 电话
你个瓜娃子，咋个又再打我电话,不愿配合,109,你 个 瓜 娃子   咋个 又 再 打 我 电话
你个瓜娃子,不愿配合,109,你 个 瓜 娃子
你大爷,不愿配合,109,你 大爷
你打电话，你神经病哦,不愿配合,109,你 打电话   你 神经病 哦
你猜我是不是呀矣,不愿配合,109,你 猜 我 是不是 呀 矣
你猜我是不是呀没意思,不愿配合,109,你 猜 我 是不是 呀 没意思
