original_text,from,original_label,split_text
在山上，等下山处理,请求等下打来,104,在 山上   等 下山 处理
在山上,请求等下打来,104,在 山上
在山里,请求等下打来,104,在 山里
在培训,请求等下打来,104,在 培训
在忙你加下我微信吧,请求等下打来,105,在 忙 你 加下 我 微信 吧
在忙等会再说,请求等下打来,104,在 忙 等 会 再说
在忙等会再打来,请求等下打来,104,在 忙 等 会 再 打来
在忙不方便跟你说,请求等下打来,104,在 忙 不 方便 跟 你 说
在忙，你发个信息给我,请求等下打来,104,在 忙   你 发个 信息 给 我
在忙，等会再说,请求等下打来,104,在 忙   等 会 再说
在忙，等会联系你,请求等下打来,104,在 忙   等 会 联系 你
在忙，待会回你电话,请求等下打来,104,在 忙   待会 回 你 电话
在忙,请求等下打来,104,在 忙
在路上不方便接电话,请求等下打来,104,在 路上 不 方便 接电话
在路上。再联系,请求等下打来,104,在 路上 。 再 联系
在路上,请求等下打来,104,在 路上
在开会在,请求等下打来,104,在 开会 在
在开会你等会打来,请求等下打来,104,在 开会 你 等 会 打来
在开会呢,请求等下打来,104,在 开会 呢
在开会·,请求等下打来,104,在 开会  
在开会，我等一下回电话给你,请求等下打来,104,在 开会   我 等 一下 回 电话 给 你
在开会，晚点联系你,请求等下打来,104,在 开会   晚点 联系 你
在开会，稍后联系你,请求等下打来,104,在 开会   稍后 联系 你
在开会，你等会,请求等下打来,104,在 开会   你 等 会
在开会，等会再说,请求等下打来,104,在 开会   等 会 再说
在开会，等会打过来,请求等下打来,104,在 开会   等 会 打 过来
在开会，待会联系你,请求等下打来,104,在 开会   待 会 联系 你
在开会，待会打给你,请求等下打来,104,在 开会   待会 打 给 你
在开会,请求等下打来,104,在 开会
在开车，等会再打过来,请求等下打来,104,在 开车   等 会 再 打 过来
在开车，等会打过来,请求等下打来,104,在 开车   等 会 打 过来
在开车，不方便接电话,请求等下打来,104,在 开车   不 方便 接电话
在开车,请求等下打来,104,在 开车
在见客户等会再打过来,请求等下打来,104,在 见 客户 等 会 再 打 过来
在海里,请求等下打来,109,在 海里
在公司,请求等下打来,104,在 公司
在高速上回家才能处理,请求等下打来,104,在 高速 上 回家 才能 处理
在高速上,请求等下打来,104,在 高速 上
在高速,请求等下打来,104,在 高速
在干活在干活,请求等下打来,104,在 干活 在 干活
在干活,请求等下打来,104,在 干活
在飞机上,请求等下打来,104,在 飞机 上
在放牧,请求等下打来,109,在 放牧
在地下室,请求等下打来,104,在 地下室
在打猎,请求等下打来,109,在 打猎
在船上,请求等下打来,104,在 船上
在吃饭，等会再打过来,请求等下打来,104,在 吃饭   等 会 再 打 过来
在吃饭,请求等下打来,104,在 吃饭
在车上,请求等下打来,104,在 车上
在草原,请求等下打来,104,在 草原
在参加节目,请求等下打来,104,在 参加 节目
再医院,请求等下打来,104,再 医院
再开会,请求等下打来,104,再 开会
再开车,请求等下打来,104,再 开车
雨下太大，没法去处理,请求等下打来,109,雨下 太大   没法 去 处理
雨太大了,请求等下打来,109,雨太大 了
雨太大,请求等下打来,109,雨太大
有事先挂了,请求等下打来,104,有 事先 挂 了
有事等会说,请求等下打来,104,有事 等 会 说
有事，现在忙,请求等下打来,104,有事   现在 忙
有时间找我,请求等下打来,104,有 时间 找 我
有时间再联系吧,请求等下打来,104,有 时间 再 联系 吧
有时间联系你,请求等下打来,104,有 时间 联系 你
有朋友,请求等下打来,109,有 朋友
有女友,请求等下打来,109,有 女友
有空再说,请求等下打来,104,有空 再说
有空再联系。我现在忙,请求等下打来,104,有空 再 联系 。 我 现在 忙
有个电话打进来了下次再说吧,请求等下打来,104,有个 电话 打 进来 了 下次 再说 吧
有电话,请求等下打来,104,有 电话
一会在说,请求等下打来,104,一会 在 说
一会在打来,请求等下打来,104,一会 在 打来
一会我再联系你吧,请求等下打来,104,一会 我 再 联系 你 吧
一会说,请求等下打来,104,一会 说
一会联系,请求等下打来,104,一会 联系
一会给你回电,请求等下打来,104,一会 给 你 回电
一会儿说,请求等下打来,104,一会儿 说
一会打过来,请求等下打来,104,一会 打 过来
要不你等会再打，我现在有事,请求等下打来,104,要 不 你 等 会 再 打   我 现在 有事
线路问题,请求等下打来,103,线路 问题
现在在忙,请求等下打来,104,现在 在 忙
现在在开会,请求等下打来,104,现在 在 开会
现在在开车不方便接电话,请求等下打来,104,现在 在 开车 不 方便 接电话
现在在开车,请求等下打来,104,现在 在 开车
现在在吃饭一家人都在等等联系你,请求等下打来,104,现在 在 吃饭 一家人 都 在 等等 联系 你
现在在吃饭,请求等下打来,104,现在 在 吃饭
现在有事等会再打我电话,请求等下打来,104,现在 有事 等 会 再 打 我 电话
现在有事，晚上联系,请求等下打来,104,现在 有事   晚上 联系
现在有事，没办法处理,请求等下打来,104,现在 有事   没 办法 处理
现在有事，等会再打，,请求等下打来,104,现在 有事   等 会 再 打  
现在有事,请求等下打来,104,现在 有事
现在有点事,请求等下打来,104,现在 有点 事
现在我点忙,请求等下打来,104,现在 我点 忙
现在上飞机了,请求等下打来,104,现在 上 飞机 了
现在没时间,请求等下打来,104,现在 没 时间
现在没空,请求等下打来,104,现在 没空
现在没得空。,请求等下打来,104,现在 没 得空 。
现在忙没时间,请求等下打来,104,现在 忙 没 时间
现在忙没空,请求等下打来,104,现在 忙 没空
现在忙,请求等下打来,104,现在 忙
现在接一下,请求等下打来,104,现在 接 一下
现在很忙，下午打给我,请求等下打来,104,现在 很 忙   下午 打 给 我
现在很忙,请求等下打来,104,现在 很 忙
现在不方便接听,请求等下打来,104,现在 不 方便 接听
现在不方便接电话,请求等下打来,104,现在 不 方便 接电话
现在不方便,请求等下打来,104,现在 不 方便
先挂了忙,请求等下打来,104,先挂 了 忙
下雨呢,请求等下打来,109,下雨 呢
下雨了,请求等下打来,109,下雨 了
下午联系我,请求等下打来,104,下午 联系 我
下午联系你,请求等下打来,104,下午 联系 你
下午给我联系吧,请求等下打来,104,下午 给 我 联系 吧
下午打给我,请求等下打来,104,下午 打 给 我
下高速,请求等下打来,109,下 高速
下次再说,请求等下打来,109,下次 再说
下班再说,请求等下打来,104,下班 再说
下班再聊吧,请求等下打来,104,下班 再聊 吧
下班以后再联系，,请求等下打来,104,下班 以后 再 联系  
下班说,请求等下打来,104,下班 说
下班联系你,请求等下打来,104,下班 联系 你
下班联系,请求等下打来,104,下班 联系
我知道了，等忙完再说,请求等下打来,104,我 知道 了   等 忙 完 再说
我正在看比赛，完了再说,请求等下打来,104,我 正在 看 比赛   完 了 再说
我正在开车了，等会联系你,请求等下打来,104,我 正在 开车 了   等 会 联系 你
我正开会,请求等下打来,104,我 正 开会
我真的很忙,请求等下打来,104,我 真的 很 忙
我这几天比较忙。过几天联系我,请求等下打来,104,我 这 几天 比较忙 。 过 几天 联系 我
我这边信号不好，等下再联系,请求等下打来,104,我 这边 信号 不好   等 下 再 联系
我这边打雷了等会打来,请求等下打来,104,我 这边 打雷 了 等 会 打来
我这边不方便说话,请求等下打来,104,我 这边 不 方便 说话
我这边不方便回答,请求等下打来,104,我 这边 不 方便 回答
我在游泳,请求等下打来,104,我 在 游泳
我在医院我母亲生病,请求等下打来,104,我 在 医院 我 母亲 生病
我在医院,请求等下打来,104,我 在 医院
我在学校,请求等下打来,104,我 在 学校
我在学习,请求等下打来,104,我 在 学习
我在外面呢等会再打我电话,请求等下打来,104,我 在 外面 呢 等 会 再 打 我 电话
我在外面不放便,请求等下打来,104,我 在 外面 不放 便
我在外面，有事等我回去的,请求等下打来,104,我 在 外面   有事 等 我 回去 的
我在外面,请求等下打来,104,我 在 外面
我在外地出差,请求等下打来,104,我 在 外地 出差
我在外地,请求等下打来,104,我 在 外地
我在睡觉我在做梦,请求等下打来,109,我 在 睡觉 我 在 做梦
我在睡觉太累了,请求等下打来,104,我 在 睡觉 太累 了
我在睡觉,请求等下打来,104,我 在 睡觉
我在水里,请求等下打来,109,我 在 水里
我在上山,请求等下打来,109,我 在 上山
我在上课,请求等下打来,104,我 在 上课
我在上厕所,请求等下打来,104,我 在 上 厕所
我在上班下班聊,请求等下打来,104,我 在 上班 下班 聊
我在上班等等再说,请求等下打来,104,我 在 上班 等等 再说
我在上班的路上,请求等下打来,104,我 在 上班 的 路上
我在上班，下班再说,请求等下打来,104,我 在 上班   下班 再说
我在上班，下班以后给你回电话,请求等下打来,104,我 在 上班   下班 以后 给 你 回 电话
我在上班，下班说,请求等下打来,104,我 在 上班   下班 说
我在上班,请求等下打来,104,我 在 上班
我在山上,请求等下打来,104,我 在 山上
我在山区,请求等下打来,104,我 在 山区
我在山里,请求等下打来,104,我 在 山里
我在山洞里,请求等下打来,104,我 在 山洞 里
我在山顶上,请求等下打来,104,我 在 山顶 上
我在汽车站，都是喇叭,请求等下打来,104,我 在 汽车站   都 是 喇叭
我在骑车不方便听电话,请求等下打来,104,我 在 骑车 不 方便 听 电话
我在骑车,请求等下打来,104,我 在 骑车
我在跑步,请求等下打来,104,我 在 跑步
我在面试,请求等下打来,104,我 在 面试
我在忙现在没时间,请求等下打来,104,我 在 忙 现在 没 时间
我在忙稍后联系,请求等下打来,104,我 在 忙 稍后 联系
我在忙呢等会打吧,请求等下打来,104,我 在 忙 呢 等 会 打 吧
我在忙呢,请求等下打来,104,我 在 忙 呢
我在忙等会回你,请求等下打来,104,我 在 忙 等 会 回 你
我在忙，稍后联系。,请求等下打来,104,我 在 忙   稍后 联系 。
我在忙，稍后回电话,请求等下打来,104,我 在 忙   稍后 回 电话
我在忙，你下周再打来,请求等下打来,104,我 在 忙   你 下周 再 打来
我在忙，你明天再打来,请求等下打来,104,我 在 忙   你   再 打来
我在忙，你后天再打来,请求等下打来,104,我 在 忙   你   再 打来
我在忙，你过一小时再打来,请求等下打来,104,我 在 忙   你 过 一 小时 再 打来
我在忙，你过会儿再打来,请求等下打来,104,我 在 忙   你 过会儿 再 打来
我在忙，你等下再打来,请求等下打来,104,我 在 忙   你 等 下 再 打来
我在忙，等会再说,请求等下打来,104,我 在 忙   等 会 再说
我在忙，等会打给你,请求等下打来,104,我 在 忙   等 会 打 给 你
我在忙，,请求等下打来,104,我 在 忙  
我在忙,请求等下打来,104,我 在 忙
我在路上,请求等下打来,104,我 在 路上
我在联系你,请求等下打来,107,我 在 联系 你
我在看演唱会,请求等下打来,104,我 在 看 演唱会
我在开会一会再说,请求等下打来,104,我 在 开会 一会 再说
我在开会你等会打=打来,请求等下打来,104,我 在 开会 你 等 会 打   打 来
我在开会呢,请求等下打来,104,我 在 开会 呢
我在开会等等再打来,请求等下打来,104,我 在 开会 等等 再 打来
我在开会，等下再说吧,请求等下打来,104,我 在 开会   等 下 再说 吧
我在开会，等下再说,请求等下打来,104,我 在 开会   等 下 再说
我在开会，等下再联系,请求等下打来,104,我 在 开会   等 下 再 联系
我在开会，等会再说,请求等下打来,104,我 在 开会   等 会 再说
我在开会，等会的,请求等下打来,104,我 在 开会   等 会 的
我在开会，不能接电话！,请求等下打来,104,我 在 开会   不能 接电话 ！
我在开会,请求等下打来,104,我 在 开会
我在开车一会再说,请求等下打来,104,我 在 开车 一会 再说
我在开车稍后联系吧,请求等下打来,104,我 在 开车 稍后 联系 吧
我在开车稍后联系,请求等下打来,104,我 在 开车 稍后 联系
我在开车等会说,请求等下打来,104,我 在 开车 等 会 说
我在开车，有事等等说,请求等下打来,104,我 在 开车   有事 等等 说
我在开车，晚上你在打过来,请求等下打来,104,我 在 开车   晚上 你 在 打 过来
我在开车，稍后再打。,请求等下打来,104,我 在 开车   稍后 再 打 。
我在开车，稍后联系。,请求等下打来,104,我 在 开车   稍后 联系 。
我在开车，等我停好车的,请求等下打来,104,我 在 开车   等 我 停 好车 的
我在开车，等会再说,请求等下打来,104,我 在 开车   等 会 再说
我在开车，等会我打电话给你,请求等下打来,104,我 在 开车   等 会 我 打电话 给 你
我在开车，等会打过来,请求等下打来,104,我 在 开车   等 会 打 过来
我在开车，到家说,请求等下打来,104,我 在 开车   到家 说
我在开车，不方便接电话,请求等下打来,104,我 在 开车   不 方便 接电话
我在开车,请求等下打来,104,我 在 开车
我在火车,请求等下打来,104,我 在 火车
我在逛街,请求等下打来,104,我 在 逛街
我在工作,请求等下打来,104,我 在 工作
我在工地不方便接听,请求等下打来,104,我 在 工地 不 方便 接听
我在高速上开车,请求等下打来,104,我 在 高速 上 开车
我在高速上，先挂了,请求等下打来,104,我 在 高速 上   先挂 了
我在高速上，下高速再打,请求等下打来,104,我 在 高速 上   下 高速 再 打
我在高速上，下高速就还,请求等下打来,104,我 在 高速 上   下 高速 就 还
我在高速上，挂了啊,请求等下打来,104,我 在 高速 上   挂 了 啊
我在高速上，等会说,请求等下打来,104,我 在 高速 上   等 会 说
我在高速上,请求等下打来,104,我 在 高速 上
我在高速,请求等下打来,104,我 在 高速
我在飞机上，不让打电话,请求等下打来,104,我 在 飞机 上   不让 打电话
我在地下室没信号,请求等下打来,104,我 在 地下室 没 信号
我在打lol,请求等下打来,109,我 在 打 lol
我在船上信号不好,请求等下打来,104,我 在 船上 信号 不好
我在处理一些事情稍等,请求等下打来,104,我 在 处理 一些 事情 稍 等
我在吃饭太吵了餐厅,请求等下打来,103,我 在 吃饭 太吵 了 餐厅
我在吃饭，吃完饭就弄,请求等下打来,104,我 在 吃饭   吃完饭 就 弄
我在吃饭,请求等下打来,104,我 在 吃饭
我在超市,请求等下打来,104,我 在 超市
我在办理信用卡,请求等下打来,104,我 在 办理 信用卡
我在办理身份证,请求等下打来,104,我 在 办理 身份证
我在班上,请求等下打来,104,我 在 班上
我再休息,请求等下打来,109,我 再 休息
我再上班，下班再说,请求等下打来,104,我 再 上班   下班 再说
我再上班,请求等下打来,104,我 再 上班
我再山上,请求等下打来,104,我 再 山上
我再开会,请求等下打来,104,我 再 开会
我再开车，等会打我电话,请求等下打来,104,我 再 开车   等 会 打 我 电话
我再开车,请求等下打来,104,我 再 开车
我有事了,请求等下打来,104,我 有事 了
我有事,请求等下打来,104,我 有事
我有时间再说,请求等下打来,104,我 有 时间 再说
我有电话进来了，一会再说吧,请求等下打来,104,我 有 电话 进来 了   一会 再说 吧
我有点急事改天再说吧,请求等下打来,104,我 有点 急事 改天 再说 吧
我一会联系你,请求等下打来,104,我 一会 联系 你
我一会给你打过去，这是你的电话吗,请求等下打来,104,我 一会 给 你 打 过去   这 是 你 的 电话 吗
我一会打给你,请求等下打来,104,我 一会 打 给 你
我要睡觉了,请求等下打来,109,我要 睡觉 了
我要上班了,请求等下打来,104,我要 上班 了
我要去开会了，晚点再说,请求等下打来,104,我要 去 开会 了   晚点 再说
我要去开会了,请求等下打来,104,我要 去 开会 了
我要工作了,请求等下打来,104,我要 工作 了
我要吃饭去了,请求等下打来,104,我要 吃饭 去 了
我要吃饭,请求等下打来,104,我要 吃饭
我想睡觉,请求等下打来,104,我 想 睡觉
我现在在医院，没空,请求等下打来,104,我 现在 在 医院   没空
我现在在睡觉,请求等下打来,109,我 现在 在 睡觉
我现在在上班下班回电话给你,请求等下打来,104,我 现在 在 上班 下班 回 电话 给 你
我现在在上班不方便接电话,请求等下打来,104,我 现在 在 上班 不 方便 接电话
我现在在上班不方便,请求等下打来,104,我 现在 在 上班 不 方便
我现在在上班，等一下联系你,请求等下打来,104,我 现在 在 上班   等 一下 联系 你
我现在在上班，等下班再说！,请求等下打来,104,我 现在 在 上班   等 下班 再说 ！
我现在在上班,请求等下打来,104,我 现在 在 上班
我现在在忙能等半小时吗，,请求等下打来,104,我 现在 在 忙 能 等 半小时 吗  
我现在在忙，你以后再联系我,请求等下打来,104,我 现在 在 忙   你 以后 再 联系 我
我现在在路上。待会联系你,请求等下打来,104,我 现在 在 路上 。 待 会 联系 你
我现在在开会,请求等下打来,104,我 现在 在 开会
我现在在开车,请求等下打来,104,我 现在 在 开车
我现在在高速，等下高速,请求等下打来,104,我 现在 在 高速   等 下 高速
我现在再忙，等会打过来,请求等下打来,104,我 现在 再 忙   等 会 打 过来
我现在有事啊我待会回给你,请求等下打来,104,我 现在 有事 啊 我 待 会 回 给 你
我现在有事,请求等下打来,104,我 现在 有事
我现在有点事,请求等下打来,104,我 现在 有点 事
我现在睡觉，没空。,请求等下打来,109,我 现在 睡觉   没空 。
我现在上班。,请求等下打来,104,我 现在 上班 。
我现在上班,请求等下打来,104,我 现在 上班
我现在没时间,请求等下打来,104,我 现在 没 时间
我现在没空你改天再打吧,请求等下打来,104,我 现在 没空 你 改天 再 打 吧
我现在没空,请求等下打来,104,我 现在 没空
我现在忙待会回你电话,请求等下打来,104,我 现在 忙待会 回 你 电话
我现在忙，没时间。,请求等下打来,104,我 现在 忙   没 时间 。
我现在忙，等会再说,请求等下打来,104,我 现在 忙   等 会 再说
我现在忙，等会联系我！,请求等下打来,104,我 现在 忙   等 会 联系 我 ！
我现在忙，等会联系！,请求等下打来,104,我 现在 忙   等 会 联系 ！
我现在忙，不方便接电话,请求等下打来,104,我 现在 忙   不 方便 接电话
我现在开车，等会再说吧,请求等下打来,104,我 现在 开车   等 会 再说 吧
我现在开车,请求等下打来,104,我 现在 开车
我现在很忙,请求等下打来,104,我 现在 很 忙
我现在不方便说话,请求等下打来,104,我 现在 不 方便 说话
我现在不方便你一会儿再打来,请求等下打来,104,我 现在 不 方便 你 一会儿 再 打来
我现在不方便接电话,请求等下打来,104,我 现在 不 方便 接电话
我现在不方便接,请求等下打来,104,我 现在 不 方便 接
我现在不方便，过会转过去,请求等下打来,104,我 现在 不 方便   过会 转过 去
我现在不方便,请求等下打来,104,我 现在 不 方便
我先洗个澡,请求等下打来,109,我 先洗 个澡
我先看看我还有多少钱，，等会打你电话,请求等下打来,104,我先 看看 我 还有 多少 钱     等 会 打 你 电话
我先接个电话,请求等下打来,104,我先 接个 电话
我先核实一下,请求等下打来,104,我先 核实 一下
我先查看下,请求等下打来,104,我先 查看 下
我下班联系你,请求等下打来,104,我 下班 联系 你
我问问财务，你一会再联系我,请求等下打来,104,我 问问 财务   你 一会 再 联系 我
我晚上在给你打电话,请求等下打来,104,我 晚上 在 给 你 打电话
我晚上联系你,请求等下打来,104,我 晚上 联系 你
我听不见；在开车；能等会打吗,请求等下打来,104,我 听不见 ； 在 开车 ； 能 等 会 打 吗
我睡觉了,请求等下打来,104,我 睡觉 了
我手机没电了。先充电了,请求等下打来,104,我 手机 没电 了 。 先 充电 了
我手机没电了，明天再说,请求等下打来,104,我 手机 没电 了     再说
我手机没电了,请求等下打来,104,我 手机 没电 了
我手机快没电了，再见,请求等下打来,104,我 手机 快 没电 了   再见
我稍后再联系你,请求等下打来,104,我 稍后 再 联系 你
我稍后联系你吧,请求等下打来,104,我 稍后 联系 你 吧
我稍后回给你,请求等下打来,104,我 稍后 回给 你
我上夜班在休息，晚上联系我,请求等下打来,104,我 上 夜班 在 休息   晚上 联系 我
我上夜班在休息,请求等下打来,104,我 上 夜班 在 休息
我骑车呢，不方便接电话,请求等下打来,104,我 骑车 呢   不 方便 接电话
我朋友在,请求等下打来,104,我 朋友 在
我陪领导吃饭,请求等下打来,104,我 陪 领导 吃饭
我旁边有人,请求等下打来,104,我 旁边 有人
我目前在开会，待会再说，,请求等下打来,104,我 目前 在 开会   待 会 再说  
我明天找你,请求等下打来,104,我   找 你
我明天给你答复,请求等下打来,104,我   给 你 答复
我们老板来了，我挂了,请求等下打来,104,我们 老板 来 了   我 挂 了
我没时间跟你聊,请求等下打来,104,我 没 时间 跟 你 聊
我没时间,请求等下打来,104,我 没 时间
我没空现在,请求等下打来,104,我 没空 现在
我没话费了，再见,请求等下打来,104,我 没 话费 了   再见
我忙完了给你回电话,请求等下打来,104,我 忙 完 了 给 你 回 电话
我忙了,请求等下打来,104,我 忙 了
我马上要开会了,请求等下打来,104,我 马上 要 开会 了
我马上要出差，你过几天给我打吧,请求等下打来,104,我 马上 要 出差   你 过 几天 给 我 打 吧
我马上上飞机了,请求等下打来,104,我 马上 上 飞机 了
我马上吃饭了,请求等下打来,104,我 马上 吃饭 了
我六点下班你在打电话,请求等下打来,104,我 六点 下班 你 在 打电话
我困了,请求等下打来,109,我困 了
我空了联系,请求等下打来,104,我空 了 联系
我开会呢,请求等下打来,104,我 开会 呢
我开车呢,请求等下打来,104,我 开车 呢
我家里来人了，先挂了,请求等下打来,104,我 家里 来 人 了   先挂 了
我很忙,请求等下打来,109,我 很 忙
我和朋友在一起谈事情,请求等下打来,104,我 和 朋友 在 一起 谈 事情
我过一个小时给你回电话,请求等下打来,104,我过 一个 小时 给 你 回 电话
我改天再联系你,请求等下打来,104,我 改天 再 联系 你
我饿了,请求等下打来,109,我 饿 了
我等下联系你,请求等下打来,104,我 等 下 联系 你
我等会找你,请求等下打来,104,我 等 会 找 你
我等会再联系你；这里信号不好；稍后联系,请求等下打来,104,我 等 会 再 联系 你 ； 这里 信号 不好 ； 稍后 联系
我等会再联系你！,请求等下打来,104,我 等 会 再 联系 你 ！
我等会去看下,请求等下打来,104,我 等 会 去 看 下
我等会联系你,请求等下打来,104,我 等 会 联系 你
我等会联系,请求等下打来,104,我 等 会 联系
我等会就去,请求等下打来,104,我 等 会 就 去
我等会给你过去,请求等下打来,104,我 等 会 给 你 过去
我的电话没电了，再联系,请求等下打来,104,我 的 电话 没电 了   再 联系
我到时候联系你把,请求等下打来,109,我 到时候 联系 你 把
我待会再联系你,请求等下打来,104,我待会 再 联系 你
我待会联系你,请求等下打来,104,我待会 联系 你
我待会看看吧,请求等下打来,106,我待会 看看 吧
我待会打给你,请求等下打来,104,我待会 打 给 你
我待还联系你,请求等下打来,104,我待 还 联系 你
我打麻将呢，等我结束的！,请求等下打来,109,我 打麻将 呢   等 我 结束 的 ！
我出去一趟,请求等下打来,104,我 出去 一趟
我吃饭了,请求等下打来,104,我 吃饭 了
我参加聚会呢,请求等下打来,104,我 参加 聚会 呢
我不方便接,请求等下打来,104,我 不 方便 接
我不方便,请求等下打来,104,我 不 方便
微信联系我现在忙,请求等下打来,105,微信 联系 我 现在 忙
微信联系,请求等下打来,105,微信 联系
晚上再说,请求等下打来,104,晚上 再说
晚上我打你电话,请求等下打来,104,晚上 我 打 你 电话
晚上说,请求等下打来,104,晚上 说
晚上联系你,请求等下打来,104,晚上 联系 你
晚上联系,请求等下打来,104,晚上 联系
晚上给你答复,请求等下打来,104,晚上 给 你 答复
晚点说行吗,请求等下打来,104,晚点 说行 吗
晚点联系可以吗,请求等下打来,104,晚点 联系 可以 吗
晚点联系,请求等下打来,104,晚点 联系
天黑了,请求等下打来,104,天黑 了
他在忙，你一会在打过来,请求等下打来,104,他 在 忙   你 一会 在 打 过来
他在忙,请求等下打来,104,他 在 忙
他在开会,请求等下打来,104,他 在 开会
他在开车等会再说,请求等下打来,104,他 在 开车 等 会 再说
他在开车,请求等下打来,104,他 在 开车
他有事出去了,请求等下打来,104,他 有事 出去 了
他现在不在，你有事吗,请求等下打来,104,他 现在 不 在   你 有事吗
他等会就回来,请求等下打来,104,他 等 会 就 回来
他本人不在我帮你问一下吧,请求等下打来,104,他 本人 不 在 我 帮 你 问 一下 吧
说什么，晚点说,请求等下打来,104,说 什么   晚点 说
睡觉,请求等下打来,109,睡觉
手机有点坏了,请求等下打来,109,手机 有点 坏 了
手机没电了,请求等下打来,104,手机 没电 了
手机坏了,请求等下打来,109,手机 坏 了
手机放在宿舍了,请求等下打来,109,手机 放在 宿舍 了
稍后联系,请求等下打来,104,稍后 联系
稍后给你回复,请求等下打来,104,稍后 给 你 回复
稍等一下,请求等下打来,104,稍等一下
上夜班，在睡觉。等有空联系,请求等下打来,104,上 夜班   在 睡觉 。 等 有空 联系
上班呢,请求等下打来,104,上班 呢
上班不能玩手机,请求等下打来,104,上班 不能 玩 手机
上班不方便接电话,请求等下打来,104,上班 不 方便 接电话
上班,请求等下打来,104,上班
