文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
不太懂,故意岔开话题,0,0,0,0,0,0
不用干活你也没时间回家吗,故意岔开话题,0,0,0,0,0,0
不在,故意岔开话题,0,1,0,0,0,0
不知,故意岔开话题,0,0,0,0,1,0
不知道,故意岔开话题,0,0,0,0,1,0
不知道，你哪里,故意岔开话题,0,0,0,0,1,0
不知道啊,故意岔开话题,0,0,0,0,1,0
不知道了,故意岔开话题,0,0,0,0,1,0
不知道呢,故意岔开话题,0,0,0,0,1,0
擦,故意岔开话题,0,0,0,0,0,0
操,故意岔开话题,0,0,0,0,0,0
操阿,故意岔开话题,0,0,0,0,0,0
操嗯,故意岔开话题,0,0,0,0,0,0
操没意思,故意岔开话题,0,0,0,0,0,0
操你大爷,故意岔开话题,0,0,0,0,0,0
操呀,故意岔开话题,0,0,0,0,0,0
草好绿,故意岔开话题,0,0,0,0,0,0
侧酒自倾上重霄,故意岔开话题,0,0,0,0,0,0
查户口的啊,故意岔开话题,0,0,0,0,0,0
车速太快,故意岔开话题,0,0,0,0,0,0
趁着夜还未央,故意岔开话题,0,0,0,0,0,0
成都欢迎您,故意岔开话题,0,0,0,0,0,0
吃错药了吧,故意岔开话题,0,0,0,0,0,0
吃饭,故意岔开话题,0,0,0,0,0,0
吃饭了,故意岔开话题,0,0,0,0,0,0
吃饭了没,故意岔开话题,0,0,0,0,0,0
吃饭呢,故意岔开话题,0,0,0,0,0,0
吃过饭,故意岔开话题,0,0,0,0,0,0
吃了,故意岔开话题,0,0,0,0,0,0
吃了吗,故意岔开话题,0,0,0,0,0,0
出差呢,故意岔开话题,0,0,0,0,0,0
出车祸了,故意岔开话题,0,0,0,0,0,0
出门独占车马道,故意岔开话题,0,0,0,0,0,0
出去 happy,故意岔开话题,0,0,0,0,0,0
出去了,故意岔开话题,0,0,0,0,0,0
出太阳了,故意岔开话题,0,0,0,0,0,0
出问题经过大脑,故意岔开话题,0,0,0,0,0,0
出问题经过大脑，没意思,故意岔开话题,0,0,0,0,0,0
出问题经过大脑吧,故意岔开话题,0,0,0,0,0,0
出问题经过大脑嗯,故意岔开话题,0,0,0,0,0,0
出问题经过大脑哈哈哈,故意岔开话题,0,0,0,0,0,0
触动我的,故意岔开话题,0,0,0,0,0,0
春暖花开,故意岔开话题,0,0,0,0,0,0
此人已死，有事烧纸！,故意岔开话题,0,1,1,0,0,0
答案想得头疼,故意岔开话题,0,0,0,0,0,0
答对有奖励,故意岔开话题,0,0,0,0,0,0
答非所问,故意岔开话题,0,0,0,0,0,0
打得来电话吗！,故意岔开话题,0,0,0,0,0,0
打滴,故意岔开话题,0,0,0,0,0,0
打豆豆了,故意岔开话题,0,0,0,0,0,0
打雷了,故意岔开话题,0,0,0,0,0,0
打雷了哇？,故意岔开话题,0,0,0,0,0,0
打死我嘛,故意岔开话题,1,0,0,1,1,1
打她电话，打我电话干嘛,故意岔开话题,0,1,1,0,0,0
大大大大后天天气很好,故意岔开话题,0,0,0,0,0,0
大大大后天天气很好,故意岔开话题,0,0,0,0,0,0
大大后天天气很好,故意岔开话题,0,0,0,0,0,0
大后天天气很好,故意岔开话题,0,0,0,0,0,0
大家都是靠运气吃饭，你们就去找下一个倒霉鬼吧,故意岔开话题,0,0,0,0,0,0
大家联系,故意岔开话题,0,0,0,0,0,0
大雁飞过去,故意岔开话题,0,0,0,0,0,0
大雨即将来临,故意岔开话题,0,0,0,0,0,0
贷款我不要,故意岔开话题,0,0,0,0,0,0
但为康乐解酒刨,故意岔开话题,0,0,0,0,0,0
德国,故意岔开话题,0,0,0,0,0,0
德国输了,故意岔开话题,0,0,0,0,0,0
德国赢了,故意岔开话题,0,0,0,0,0,0
德国赢球了,故意岔开话题,0,0,0,0,0,0
的份张三额,故意岔开话题,0,0,0,0,0,0
等我躲过了这场洪水再说吧,故意岔开话题,0,0,0,0,0,0
等我跟老板商量能预支工资不,故意岔开话题,1,0,0,1,1,1
地震得好厉害，好厉害，好晃动！,故意岔开话题,0,0,0,0,0,0
地震了,故意岔开话题,0,0,0,0,0,0
点都不乖,故意岔开话题,0,0,0,0,0,0
电话费不要钱啊？天天乱打。,故意岔开话题,0,1,1,0,0,0
电脑好卡,故意岔开话题,0,0,0,0,0,0
都吃饭了,故意岔开话题,0,0,0,0,0,0
都给你说了，别再打了，你听不懂吗？,故意岔开话题,0,1,1,0,0,0
独自品尝,故意岔开话题,0,0,0,0,0,0
赌博,故意岔开话题,0,0,0,0,0,0
对不起，你拨打的号码把你拉入了黑名单,故意岔开话题,0,0,0,0,0,0
对不起，你拨打的号码不在服务区,故意岔开话题,0,0,0,0,0,0
对不起，你拨打的号码已关机,故意岔开话题,0,0,0,0,0,0
对不起，我不方便这么做,故意岔开话题,1,0,0,1,1,1
对不起，我不方便这么做啊,故意岔开话题,1,0,0,1,1,1
对不起，我不方便这么做按,故意岔开话题,1,0,0,1,1,1
对不起，我不方便这么做呗,故意岔开话题,1,0,0,1,1,1
对不起，我不方便这么做呀,故意岔开话题,1,0,0,1,1,1
多摆一盘？,故意岔开话题,0,0,0,0,0,0
发给我也没用,故意岔开话题,0,0,0,0,0,0
法国输了,故意岔开话题,0,0,0,0,0,0
法国赢了,故意岔开话题,0,0,0,0,0,0
分批的哇？,故意岔开话题,0,0,0,1,0,0
分太大,故意岔开话题,0,0,0,0,0,0
丰年意,故意岔开话题,0,0,0,0,0,0
风吹雨打愿山河依旧,故意岔开话题,0,0,0,0,0,0
风大,故意岔开话题,0,0,0,0,0,0
风来了,故意岔开话题,0,0,0,0,0,0
风起的时候,故意岔开话题,0,0,0,0,0,0
风太大,故意岔开话题,0,0,0,0,0,0
风太大，没听清,故意岔开话题,0,0,0,0,0,0
风太大了,故意岔开话题,0,0,0,0,0,0
父母的干劲儿会一年更比一年大,故意岔开话题,0,0,0,0,0,0
干你们这行工资高不,故意岔开话题,0,0,0,0,0,0
干你娘,故意岔开话题,0,0,0,0,0,0
刚吃过,故意岔开话题,0,0,0,0,0,0
刚上班,故意岔开话题,0,0,0,0,0,0
高利贷吧,故意岔开话题,1,0,0,1,1,1
搞不醒活。（不知道的意思）,故意岔开话题,0,0,0,0,0,0
搞错了,故意岔开话题,0,1,1,0,1,0
搞什么搞,故意岔开话题,0,0,0,0,0,0
哥们儿，吃午饭没,故意岔开话题,0,0,0,0,0,0
哥在不,故意岔开话题,0,0,0,0,0,0
给我发红包就告诉你,故意岔开话题,0,0,0,0,0,0
跟你去到遥远的梦里,故意岔开话题,0,0,0,0,0,0
跟着我摇摆,故意岔开话题,0,0,0,0,0,0
哏哏,故意岔开话题,0,0,0,0,0,0
工作人员态度不好,故意岔开话题,0,1,1,0,0,0
股民朋友吗,故意岔开话题,0,0,0,0,0,0
官人进来坐坐好吗,故意岔开话题,0,0,0,0,0,0
管不到了,故意岔开话题,0,0,0,0,0,0
光脚的不怕穿鞋的,故意岔开话题,0,0,0,0,0,0
过来喝茶哈,故意岔开话题,0,0,0,0,0,0
过来坐下不嘛,故意岔开话题,0,0,0,0,0,0
过去了,故意岔开话题,0,0,0,0,0,0
哈哈,故意岔开话题,0,0,0,0,0,0
哈哈，打错了,故意岔开话题,0,1,1,0,0,0
哈哈，你菜,故意岔开话题,0,0,0,0,0,0
哈哈，你好搞笑,故意岔开话题,0,0,0,0,0,0
哈哈？,故意岔开话题,0,0,0,0,0,0
哈哈阿,故意岔开话题,0,0,0,0,0,0
哈哈嗯,故意岔开话题,0,0,0,0,0,0
哈哈哈,故意岔开话题,0,0,0,0,0,0
哈哈哈哈哈,故意岔开话题,0,0,0,0,0,0
哈哈哈哈哈你们真搞笑,故意岔开话题,0,0,0,0,0,0
哈哈了,故意岔开话题,0,0,0,0,0,0
哈哈呢,故意岔开话题,0,0,0,0,0,0
哈哈哇,故意岔开话题,0,0,0,0,0,0
还不起你又能把我怎样,故意岔开话题,1,0,0,1,1,1
还个屁,故意岔开话题,1,0,0,1,1,1
还你妹,故意岔开话题,1,0,0,1,1,1
还要什么自行车,故意岔开话题,0,0,0,0,0,0
还有那满满的心意,故意岔开话题,0,0,0,0,0,0
还有谁比我帅,故意岔开话题,0,0,0,0,0,0
孩子不能不吃啊,故意岔开话题,0,0,0,0,1,0
孩子生病了,故意岔开话题,0,0,0,0,1,0
害怕这美丽的瞬间遗忘,故意岔开话题,0,0,0,0,0,0
韩国赢了,故意岔开话题,0,0,0,0,0,0
好大的风,故意岔开话题,0,0,0,0,0,0
好大的太阳,故意岔开话题,0,0,0,0,0,0
好大的雾,故意岔开话题,0,0,0,0,0,0
好大的雾霾,故意岔开话题,0,0,0,0,0,0
好大的雨,故意岔开话题,0,0,0,0,0,0
好恶心，想吐，没意思,故意岔开话题,0,0,0,0,0,0
好恶心，想吐嗯,故意岔开话题,0,0,0,0,0,0
好恶心，想吐啦,故意岔开话题,0,0,0,0,0,0
好恶心，想吐没意思,故意岔开话题,0,0,0,0,0,0
好恶心，想吐呢,故意岔开话题,0,0,0,0,0,0
好了，不说了,故意岔开话题,0,0,0,0,0,0
好累,故意岔开话题,0,0,0,0,0,0
好冷,故意岔开话题,0,0,0,0,0,0
好冷咯,故意岔开话题,0,0,0,0,0,0
好忙,故意岔开话题,0,0,0,0,0,0
好美丽,故意岔开话题,0,0,0,0,0,0
好牌,故意岔开话题,0,0,0,0,0,0
好漂亮,故意岔开话题,0,0,0,0,0,0
呵呵,故意岔开话题,0,0,0,0,0,0
呵呵，没意思,故意岔开话题,0,0,0,0,0,0
呵呵吧,故意岔开话题,0,0,0,0,0,0
呵呵哈,故意岔开话题,0,0,0,0,0,0
呵呵呵呵,故意岔开话题,0,0,0,0,0,0
呵呵没意思,故意岔开话题,0,0,0,0,0,0
呵呵哇,故意岔开话题,0,0,0,0,0,0
和你有些不搭,故意岔开话题,0,0,0,0,0,0
和我前女友差一个字,故意岔开话题,0,0,0,0,0,0
荷兰输了,故意岔开话题,0,0,0,0,0,0
嘿嘿,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿，没意思,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿啊,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿吧,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿嗯,故意岔开话题,0,0,0,0,0,0
嘿嘿嘿哈哈哈,故意岔开话题,0,0,0,0,0,0
哼,故意岔开话题,0,0,0,0,0,0
哼，你别扰我,故意岔开话题,0,0,0,0,0,0
哼哼,故意岔开话题,0,0,0,0,0,0
哼哼，没意思,故意岔开话题,0,0,0,0,0,0
哼哼阿,故意岔开话题,0,0,0,0,0,0
哼哼唉,故意岔开话题,0,0,0,0,0,0
哼哼嗯,故意岔开话题,0,0,0,0,0,0
哼哼哈哈哈,故意岔开话题,0,0,0,0,0,0
哼哼啦,故意岔开话题,0,0,0,0,0,0
哼哼了,故意岔开话题,0,0,0,0,0,0
哼哼呢,故意岔开话题,0,0,0,0,0,0
后年再说,故意岔开话题,1,0,0,1,1,1
后天,故意岔开话题,1,0,0,1,1,1
后天天气很好,故意岔开话题,0,0,0,0,0,0
花儿、花儿、慢慢落下,故意岔开话题,0,0,0,0,0,0
划落的万千情丝,故意岔开话题,0,0,0,0,0,0
唤取红巾翠袖,故意岔开话题,0,0,0,0,0,0
回忆总想哭，一个人太孤独呢,故意岔开话题,0,0,0,0,0,0
会不会改变模样,故意岔开话题,0,0,0,0,0,0
会不会惊扰梦乡,故意岔开话题,0,0,0,0,0,0
会叹息有多少眷恋,故意岔开话题,0,0,0,0,0,0
即便这功劳尽舍弃,故意岔开话题,0,0,0,0,0,0
几多离愁  花间朦胧把酒,故意岔开话题,0,0,0,0,0,0
几多浓烈的相思,故意岔开话题,0,0,0,0,0,0
记得吃饭,故意岔开话题,0,0,0,0,0,0
记得冲水费,故意岔开话题,0,0,0,0,0,0
家里没没粮食了,故意岔开话题,0,0,0,0,1,0
家里人可以还吧,故意岔开话题,1,0,0,1,1,1
家哪里的啊,故意岔开话题,0,0,0,0,0,0
家人接本人去世,故意岔开话题,0,0,0,0,0,0
假的,故意岔开话题,0,0,0,0,0,0
驾一叶扁舟,故意岔开话题,0,0,0,0,0,0
捡破烂,故意岔开话题,0,0,0,0,0,0
简直不知道你在说什么,故意岔开话题,0,0,0,0,0,0
讲真的,故意岔开话题,0,0,0,0,0,0
借楚天千里清秋,故意岔开话题,0,0,0,0,0,0
借给朋友用的,故意岔开话题,0,0,0,0,1,0
今生无缘，来世再见,故意岔开话题,0,0,0,0,0,0
今天不吃饭,故意岔开话题,0,0,0,0,0,0
今天出去吃,故意岔开话题,0,0,0,0,0,0
今天出太阳了,故意岔开话题,0,0,0,0,0,0
今天的球赛特别精彩,故意岔开话题,0,0,0,0,0,0
今天风大哈～,故意岔开话题,0,0,0,0,0,0
今天风太大了,故意岔开话题,0,0,0,0,0,0
今天没得空,故意岔开话题,0,1,1,0,0,0
今天热不热呀,故意岔开话题,0,0,0,0,0,0
今天适合旅游,故意岔开话题,0,0,0,0,0,0
今天天不错,故意岔开话题,0,0,0,0,0,0
今天天公不作美,故意岔开话题,0,0,0,0,0,0
今天天公不作美，唉,故意岔开话题,0,0,0,0,0,0
今天天公不作美，心情不好,故意岔开话题,0,0,0,0,0,0
今天天公不作美，郁闷,故意岔开话题,0,0,0,0,0,0
今天天气不错,故意岔开话题,0,0,0,0,0,0
今天天气不错啊,故意岔开话题,0,0,0,0,0,0
今天天气不好不想说话,故意岔开话题,0,0,0,0,0,0
今天天气好,故意岔开话题,0,0,0,0,0,0
今天天气好啊,故意岔开话题,0,0,0,0,0,0
今天天气好安逸,故意岔开话题,0,0,0,0,0,0
今天天气好棒,故意岔开话题,0,0,0,0,0,0
今天天气好差,故意岔开话题,0,0,0,0,0,0
今天天气好的很,故意岔开话题,0,0,0,0,0,0
今天天气好好,故意岔开话题,0,0,0,0,0,0
今天天气好晴朗，处处好风光,故意岔开话题,0,0,0,0,0,0
今天天气好爽,故意岔开话题,0,0,0,0,0,0
今天天气好爽啊,故意岔开话题,0,0,0,0,0,0
今天天气好爽啊哈哈哈,故意岔开话题,0,0,0,0,0,0
今天天气好爽啊真的,故意岔开话题,0,0,0,0,0,0
今天天气好爽哈哈,故意岔开话题,0,0,0,0,0,0
今天天气很好,故意岔开话题,0,0,0,0,0,0
今天天气很好，没意思,故意岔开话题,0,0,0,0,0,0
今天天气很好阿,故意岔开话题,0,0,0,0,0,0
今天天气很好吧,故意岔开话题,0,0,0,0,0,0
今天天气很好嗯,故意岔开话题,0,0,0,0,0,0
今天天气很好哈,故意岔开话题,0,0,0,0,0,0
今天天气很好哈哈哈,故意岔开话题,0,0,0,0,0,0
今天天气很好没意思,故意岔开话题,0,0,0,0,0,0
今天天气很好哇,故意岔开话题,0,0,0,0,0,0
今天天气很好者,故意岔开话题,0,0,0,0,0,0
今天天气挺好,故意岔开话题,0,0,0,0,0,0
今天天气真好,故意岔开话题,0,0,0,0,0,0
今天天气真好阿,故意岔开话题,0,0,0,0,0,0
今天天气真好哈,故意岔开话题,0,0,0,0,0,0
今天天气真好哈哈哈,故意岔开话题,0,0,0,0,0,0
今天天气真好也,故意岔开话题,0,0,0,0,0,0
今天天气真晴朗,故意岔开话题,0,0,0,0,0,0
今天外面居然下雨了,故意岔开话题,0,0,0,0,0,0
今天晚上不吃饭,故意岔开话题,0,0,0,0,0,0
今天晚上没吃饭,故意岔开话题,0,0,0,0,0,0
今天我还不了,故意岔开话题,1,0,0,1,1,1
今天我很帅,故意岔开话题,0,0,0,0,0,0
今天下雨了,故意岔开话题,0,0,0,0,0,0
今天心情不好哈,故意岔开话题,0,0,0,0,0,0
今天一分不处理的，是不可能的。,故意岔开话题,1,0,0,1,0,1
今天有点冷,故意岔开话题,0,0,0,0,0,0
今天有点热,故意岔开话题,0,0,0,0,0,0
今天有点热，你们有空调吗,故意岔开话题,0,0,0,0,0,0
今天早上吃馒头,故意岔开话题,0,0,0,0,0,0
今天早上没吃饭,故意岔开话题,0,0,0,0,0,0
今天真是好天气呀,故意岔开话题,0,0,0,0,0,0
今天中午喝稀饭,故意岔开话题,0,0,0,0,0,0
今天中午没吃饭,故意岔开话题,0,0,0,0,0,0
进传销了,故意岔开话题,0,0,0,0,1,0
竟如此融洽,故意岔开话题,0,0,0,0,0,0
就是死,故意岔开话题,0,0,0,0,0,0
开玩笑,故意岔开话题,1,1,0,1,1,1
看不到,故意岔开话题,0,0,0,0,1,0
看不尽江水东流,故意岔开话题,0,0,0,0,0,0
看此生应是有志难酬,故意岔开话题,0,0,0,0,0,0
看到、看到、最高的云里,故意岔开话题,0,0,0,0,0,0
看到到电视,故意岔开话题,0,0,0,0,0,0
看来还是很年轻了,故意岔开话题,0,0,0,0,0,0
看燕来 看花艳,故意岔开话题,0,0,0,0,0,0
可不可以请我吃饭,故意岔开话题,0,0,0,0,0,0
可能啊,故意岔开话题,0,0,0,0,0,0
可能回答内容,故意岔开话题,0,0,0,0,0,0
可能是我在做梦吧,故意岔开话题,0,0,0,0,0,0
可是一粒粮食是父母的希望啊,故意岔开话题,0,0,0,0,0,0
可惜不是你,故意岔开话题,0,0,0,0,0,0
可以不还吗,故意岔开话题,1,0,0,1,1,1
可以吗？,故意岔开话题,0,0,0,0,0,0
可以相信,故意岔开话题,0,0,0,0,0,0
可以用其他东西抵押不,故意岔开话题,1,0,0,1,1,1
克罗地亚大败阿根廷,故意岔开话题,0,0,0,0,0,0
空了打麻将哈,故意岔开话题,0,0,0,0,0,0
空调好冷,故意岔开话题,0,0,0,0,0,0
快结束了,故意岔开话题,0,0,0,0,0,0
快收衣服了,故意岔开话题,0,0,0,0,0,0
快涨工资,故意岔开话题,0,0,0,0,0,0
宽容宽容哈～,故意岔开话题,1,0,0,1,1,1
宽恕我的平凡阿,故意岔开话题,0,0,0,0,0,0
宽恕我的平凡啊,故意岔开话题,0,0,0,0,0,0
宽恕我的平凡哈,故意岔开话题,0,0,0,0,0,0
宽恕我的平凡哈哈哈,故意岔开话题,0,0,0,0,0,0
宽恕我的平凡了,故意岔开话题,0,0,0,0,0,0
拉黑,故意岔开话题,0,0,0,0,0,0
啦啦,故意岔开话题,0,0,0,0,0,0
啦啦啦,故意岔开话题,0,0,0,0,0,0
来赋词几首,故意岔开话题,0,0,0,0,0,0
来撒,故意岔开话题,0,0,0,0,0,0
来我家拿,故意岔开话题,0,0,0,0,0,0
老板拖欠N个月工资，后天就发了，肯定还！,故意岔开话题,1,0,0,1,1,1
了解,故意岔开话题,1,0,0,1,1,1
丽丽，咋是你呢？,故意岔开话题,0,0,0,0,0,0
莉莉，咋是你呢？,故意岔开话题,0,0,0,0,0,0
凉风有信没意思,故意岔开话题,0,0,0,0,0,0
凉凉天意,故意岔开话题,0,0,0,0,0,0
料峭清风正轻奏   伊人瘦,故意岔开话题,0,0,0,0,0,0
六一儿童节快乐,故意岔开话题,0,0,0,0,0,0
落入凡尘,故意岔开话题,0,0,0,0,0,0
马作的卢弓如霹雳征战沙场,故意岔开话题,0,0,0,0,0,0
麦子熟了,故意岔开话题,0,0,0,0,0,0
卖保险,故意岔开话题,0,0,0,0,0,0
卖房子,故意岔开话题,0,0,0,0,0,0
满满的月光,故意岔开话题,0,0,0,0,0,0
没办法,故意岔开话题,1,0,0,1,1,1
没得电了！,故意岔开话题,0,0,0,0,0,0
没得什么好说的,故意岔开话题,1,0,0,1,1,1
没电了,故意岔开话题,0,0,0,0,0,0
没空,故意岔开话题,1,0,0,1,1,1
没毛病666,故意岔开话题,0,0,0,0,0,0
没能力,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻，没意思,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻阿,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻哈,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻哈哈哈,故意岔开话题,1,0,0,1,1,1
没求得钱啥，你是不是傻哇,故意岔开话题,1,0,0,1,1,1
没时间,故意岔开话题,1,0,0,1,1,1
没时间扯,故意岔开话题,0,0,0,0,0,0
没听他说过么～,故意岔开话题,0,0,0,0,0,0
没有人联系,故意岔开话题,0,0,0,0,1,0
美女，帮帮忙楼,故意岔开话题,1,0,0,1,1,1
美女，你年纪轻轻干啥不好啊，别给高利贷打工了！,故意岔开话题,0,0,0,0,0,0
美芹心意,故意岔开话题,0,0,0,0,0,0
咩理个浪,故意岔开话题,0,0,0,0,0,0
明天出去玩,故意岔开话题,0,0,0,0,0,0
明天朋友就换我钱了,故意岔开话题,1,1,0,0,1,1
明天天气很好,故意岔开话题,0,0,0,0,0,0
命吧,故意岔开话题,0,0,0,0,0,0
摩托,故意岔开话题,0,0,0,0,0,0
莫名其妙的,故意岔开话题,0,0,0,0,0,0
墨西哥赢了,故意岔开话题,0,0,0,0,0,0
哪个来帮哈我嘛,故意岔开话题,0,0,0,0,0,0
哪来这么多骚扰电话。,故意岔开话题,0,0,0,0,0,0
那么多XXX，你说的是哪一个,故意岔开话题,0,1,1,0,0,0
难回首,故意岔开话题,0,0,0,0,0,0
能不能换个女的来,故意岔开话题,0,0,0,0,0,0
能请我看一场电影吗,故意岔开话题,0,0,0,0,0,0
你爱人上班了吗？,故意岔开话题,0,0,0,0,0,0
你爸爸咋样啦？,故意岔开话题,0,0,0,0,0,0
你帮我处理,故意岔开话题,1,0,0,1,1,1
你帮我带一句话给他,故意岔开话题,0,0,0,0,0,0
你被逮捕了,故意岔开话题,0,0,0,0,0,0
你不认识我？,故意岔开话题,0,0,0,0,0,0
你不晓得老子是谁给我打什么电话,故意岔开话题,0,0,0,0,0,0
你不要打电话过来了,故意岔开话题,0,0,0,0,0,0
你不知道你打电话给我干什么？,故意岔开话题,0,0,0,0,0,0
你不知道你找谁哇,故意岔开话题,0,0,0,0,0,0
你不知道我认不认识，你打我电话干嘛,故意岔开话题,0,0,0,0,0,0
你不知道我是谁你打我电话？,故意岔开话题,0,0,0,0,0,0
你测试下,故意岔开话题,0,0,0,0,0,0
你吃**了吗,故意岔开话题,0,0,0,0,0,0
你吃粑粑了吗,故意岔开话题,0,0,0,0,0,0
你吃饱了吗,故意岔开话题,0,0,0,0,0,0
你吃臭臭了吗,故意岔开话题,0,0,0,0,0,0
你吃大了吗,故意岔开话题,0,0,0,0,0,0
你吃的多吗,故意岔开话题,0,0,0,0,0,0
你吃东西了吗,故意岔开话题,0,0,0,0,0,0
你吃多了,故意岔开话题,0,0,0,0,0,0
你吃饭了吗,故意岔开话题,0,0,0,0,0,0
你吃饭了吗；w,故意岔开话题,0,0,0,0,0,0
你吃饭了么,故意岔开话题,0,0,0,0,0,0
你吃饭了没,故意岔开话题,0,0,0,0,0,0
你吃饭没嘛,故意岔开话题,0,0,0,0,0,0
你吃饭没有,故意岔开话题,0,0,0,0,0,0
你吃够了吗,故意岔开话题,0,0,0,0,0,0
你吃嗨了吗,故意岔开话题,0,0,0,0,0,0
你吃了吗,故意岔开话题,0,0,0,0,0,0
你吃了没,故意岔开话题,0,0,0,0,0,0
你吃爽了吗,故意岔开话题,0,0,0,0,0,0
你打错了,故意岔开话题,0,1,1,0,0,0
你打电话你不知道我是谁吗,故意岔开话题,0,0,0,0,0,0
你打谁电话你不知道啊,故意岔开话题,0,0,0,0,0,0
你打我电话不知道我是谁？,故意岔开话题,0,0,0,0,0,0
你打我电话还问我是谁？？,故意岔开话题,0,0,0,0,0,0
你打我孙，我打你爸,故意岔开话题,0,0,0,0,0,0
你大舅妈咋样？,故意岔开话题,0,0,0,0,0,0
