文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
朋友都接了,故意岔开话题,0,0,0,0,0,0
再逼我，老子就还了,故意岔开话题,1,0,0,1,0,1
尽量快点,故意岔开话题,1,0,0,1,1,1
我生病了,故意岔开话题,0,0,0,0,1,0
家里人都联系不到,故意岔开话题,0,0,0,0,1,0
给你发点红包,故意岔开话题,0,0,0,0,0,0
身份证挂失还没拿来,故意岔开话题,0,0,0,0,1,0
小妹，帮帮忙楼,故意岔开话题,0,0,0,0,0,0
对公还款,故意岔开话题,1,0,0,1,0,1
我刚在看守所出来,故意岔开话题,0,0,0,0,1,0
我身份证银行卡都丢了,故意岔开话题,0,0,0,0,1,0
我吃了,故意岔开话题,0,0,0,0,0,0
你不是已经说过了吗肯定会还的,故意岔开话题,1,0,0,1,1,1
帅哥，帮帮忙楼,故意岔开话题,0,0,0,0,0,0
在办理离婚手续,故意岔开话题,0,1,1,0,1,0
我从拘留所刚出来,故意岔开话题,0,0,0,0,1,0
快活不下去了,故意岔开话题,0,0,0,0,1,0
昨天抢银行没成功,故意岔开话题,0,0,0,0,0,0
我在住院,故意岔开话题,0,0,0,0,1,0
朋友说借我,故意岔开话题,1,0,0,1,1,1
别人借我钱,故意岔开话题,1,0,0,1,1,1
哥是土豪，不差钱,故意岔开话题,1,0,0,1,0,1
我现在两手空空,故意岔开话题,1,0,0,1,0,1
哥不差钱,故意岔开话题,1,0,0,1,0,1
偷吗,故意岔开话题,1,0,0,1,1,1
我的七大姑八大姨天天追债，我已经山穷水尽了,故意岔开话题,1,0,0,1,1,1
我不差钱,故意岔开话题,1,0,0,1,0,1
已经有人联系过我了,故意岔开话题,0,1,1,0,0,0
你看我应该拿衣服还是裤子去抵押,故意岔开话题,1,0,0,1,1,1
已经好几天没吃饭了,故意岔开话题,1,0,0,1,1,1
忘记了,故意岔开话题,0,0,0,0,1,0
都是骗你的,故意岔开话题,0,0,0,0,0,0
在领工资,故意岔开话题,1,0,0,1,1,1
我不懂,故意岔开话题,0,0,0,0,1,0
我前一顿时间出车祸了,故意岔开话题,0,0,0,0,1,0
不是说了吗,故意岔开话题,0,0,0,0,1,0
你们干嘛给我爸联系,故意岔开话题,0,0,1,0,0,0
视屏吧，我看看你长啥样,故意岔开话题,0,0,0,0,0,0
混不起走了,故意岔开话题,0,0,0,0,0,0
他坐牢了,故意岔开话题,0,1,1,0,0,0
之前手机号不用了,故意岔开话题,0,1,1,0,0,0
万籁俱寂,故意岔开话题,0,0,0,0,0,0
回不去,故意岔开话题,0,0,0,0,1,0
套股票里了,故意岔开话题,0,0,0,0,1,0
你说拨打的用户，他人呢,故意岔开话题,0,0,0,0,0,0
老板跑了,故意岔开话题,0,0,0,0,1,0
我刚从拘留所出来,故意岔开话题,0,0,0,0,1,0
确认负责人,故意岔开话题,0,0,0,0,0,0
刚从牢里出来,故意岔开话题,0,0,0,0,1,0
你说拨打的用户，已经裸奔出服务区,故意岔开话题,0,0,0,0,0,0
之前有人骚扰，道歉就还,故意岔开话题,1,0,0,1,1,1
上个工作人员骂人,故意岔开话题,0,0,0,0,1,0
我在医院我母亲生病,故意岔开话题,0,0,0,0,1,0
我在新疆没回家,故意岔开话题,0,0,0,0,0,0
土豪,故意岔开话题,0,0,0,0,0,0
为什么骚扰我家人,故意岔开话题,0,0,1,0,0,0
我的银行卡被冻结了,故意岔开话题,1,0,0,1,1,1
我忘记了没处理！,故意岔开话题,0,0,0,0,1,0
我之前被抓了,故意岔开话题,0,0,0,0,1,0
你说拨打的用户，正在裸奔,故意岔开话题,0,0,0,0,0,0
放狗咬你,故意岔开话题,0,0,0,0,0,0
之前联系我的骂我了,故意岔开话题,0,1,1,0,0,0
我忘了,故意岔开话题,0,0,0,0,1,0
公司倒闭,故意岔开话题,0,0,0,0,1,0
逾期多久了,故意岔开话题,1,0,0,1,1,1
被人坑,故意岔开话题,0,0,0,0,1,0
哎呀，我忘了,故意岔开话题,0,0,0,0,1,0
我不知道朋友钱给不给我,故意岔开话题,1,0,0,1,0,1
父母生病了，花了好多钱,故意岔开话题,0,0,0,0,1,0
你嗯呢给我道歉,故意岔开话题,0,0,0,0,0,0
进监狱了,故意岔开话题,0,1,1,0,1,0
诚意,故意岔开话题,0,0,0,0,0,0
你最近遇到什么事情了,故意岔开话题,0,0,0,0,0,0
在打官司,故意岔开话题,0,0,0,0,1,0
等他还了我就还,故意岔开话题,1,0,0,1,1,1
坐牢刚出来,故意岔开话题,0,0,0,0,1,0
家人生病,故意岔开话题,0,0,0,0,1,0
