文本,类别,Idclassfier,ifknowdebtor,causedebt,willingtopay,cutdebt,installation,setdueday,对策
我也想还，但我现在真的很困难,讨价还价,1,1,0,0,0,0,0,willingtopay
我也很想还,讨价还价,1,1,0,0,0,0,0,willingtopay
我也不知道朋友钱今天能不能到,讨价还价,1,1,0,0,0,0,0,willingtopay
我也不知道，钱还没到账,讨价还价,1,1,0,0,0,0,0,willingtopay
我要和家人商量一下！,讨价还价,1,1,0,0,0,0,0,willingtopay
我想想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我想想吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我想想,讨价还价,1,1,0,0,0,0,0,willingtopay
我想还只是现在没钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我想还没有钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我想法子,讨价还价,1,1,0,0,0,0,0,willingtopay
我想办法看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我想办法发筹钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我相信,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在资金有点周转不开啊,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在没能力,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在没那么多钱。,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在没那么多钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在没那么多,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在没工作,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在卡没在身边记不得卡号,讨价还价,1,1,0,0,0,0,0,willingtopay
我现在借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我先确认一下我卡上钱够不够,讨价还价,1,1,0,0,0,0,0,willingtopay
我先去想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我先去借钱看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我下班还,讨价还价,1,1,0,0,0,0,0,willingtopay
我问一下我朋友,讨价还价,1,1,0,0,0,0,0,willingtopay
我问一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我问问看,讨价还价,1,1,0,0,0,0,0,willingtopay
我问问家里,讨价还价,1,1,0,0,0,0,0,willingtopay
我提现到账就处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我试试看！,讨价还价,1,1,0,0,0,0,0,willingtopay
我试试看,讨价还价,1,1,0,0,0,0,0,willingtopay
我试试吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我生病了,讨价还价,1,1,0,0,0,0,0,willingtopay
我商量一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我去周转一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我去找朋友借钱处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我去找朋友借看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我去找你吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我去银行,讨价还价,1,1,0,0,0,0,0,willingtopay
我去想想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我去想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我去问一下有没有人愿意借给我！,讨价还价,1,1,0,0,0,0,0,willingtopay
我去问问他,讨价还价,1,1,0,0,0,0,0,willingtopay
我去问问朋友,讨价还价,1,1,0,0,0,0,0,willingtopay
我去问问,讨价还价,1,1,0,0,0,0,0,willingtopay
我去看看我能不能借到再说吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我去看看能不能借到,讨价还价,1,1,0,0,0,0,0,willingtopay
我去借一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我去借钱看看，借到就处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我去借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我去借看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我去跟父母要一点,讨价还价,1,1,0,0,0,0,0,willingtopay
我去凑,讨价还价,1,1,0,0,0,0,0,willingtopay
我去筹备一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我去财务支,讨价还价,1,1,0,0,0,0,0,willingtopay
我欠钱太多了,讨价还价,1,1,0,0,0,0,0,willingtopay
我欠的太多了,讨价还价,1,1,0,0,0,0,0,willingtopay
我钱包忘带了,讨价还价,1,1,0,0,0,0,0,willingtopay
我钱包丢了,讨价还价,1,1,0,0,0,0,0,willingtopay
我朋友说今天钱还我,讨价还价,1,1,0,0,0,0,0,willingtopay
我朋友钱没还给我,讨价还价,1,1,0,0,0,0,0,willingtopay
我没有工作,讨价还价,1,1,0,0,0,0,0,willingtopay
我没有带银行卡,讨价还价,1,1,0,0,0,0,0,willingtopay
我没那么多钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我联系我朋友看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我老考虑下,讨价还价,1,1,0,0,0,0,0,willingtopay
我可以延期吗,讨价还价,1,1,0,0,0,0,0,willingtopay
我考虑一下再给你答复！,讨价还价,1,1,0,0,0,0,0,willingtopay
我考虑一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我考虑下,讨价还价,1,1,0,0,0,0,0,willingtopay
我考虑考虑,讨价还价,1,1,0,0,0,0,0,willingtopay
我看一下钱够不够！,讨价还价,1,1,0,0,0,0,0,willingtopay
我看一下啊！,讨价还价,1,1,0,0,0,0,0,willingtopay
我看一下！,讨价还价,1,1,0,0,0,0,0,willingtopay
我看一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我看下,讨价还价,1,1,0,0,0,0,0,willingtopay
我看情况,讨价还价,1,1,0,0,0,0,0,willingtopay
我看能不能借到钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我看能不能凑到在回复你,讨价还价,1,1,0,0,0,0,0,willingtopay
我看能不能凑到再回你,讨价还价,1,1,0,0,0,0,0,willingtopay
我看老板能不能支点出来,讨价还价,1,1,0,0,0,0,0,willingtopay
我看看能不能借到,讨价还价,1,1,0,0,0,0,0,willingtopay
我看看家里有多少,讨价还价,1,1,0,0,0,0,0,willingtopay
我看看吧不能保证,讨价还价,1,1,0,0,0,0,0,willingtopay
我看看吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽最大努力,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量在这之前还上,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量在..时间处理部分！,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量试试吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量哈,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽量,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽力去凑吧。,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽力吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽力,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽快处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我尽快,讨价还价,1,1,0,0,0,0,0,willingtopay
我今天没时间啊,讨价还价,1,1,0,0,0,0,0,willingtopay
我今天没借到钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我借一下看看！,讨价还价,1,1,0,0,0,0,0,willingtopay
我觉得太高了,讨价还价,1,1,0,0,0,0,0,willingtopay
我觉得今天不一定有钱啊,讨价还价,1,1,0,0,0,0,0,willingtopay
我会尽快的,讨价还价,1,1,0,0,0,0,0,willingtopay
我会还的，现在很忙的,讨价还价,1,1,0,0,0,0,0,willingtopay
我会还的，你放心,讨价还价,1,1,0,0,0,0,0,willingtopay
我会还的，等我有钱了,讨价还价,1,1,0,0,0,0,0,willingtopay
我会还的,讨价还价,1,1,0,0,0,0,0,willingtopay
我会还,讨价还价,1,1,0,0,0,0,0,willingtopay
我会处理的,讨价还价,1,1,0,0,0,0,0,willingtopay
我会筹到钱联系你,讨价还价,1,1,0,0,0,0,0,willingtopay
我回头问问我朋友,讨价还价,1,1,0,0,0,0,0,willingtopay
我回去和家人商量一下！,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家商量一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家商量下,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家商量,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家就处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我回家湊,讨价还价,1,1,0,0,0,0,0,willingtopay
我和朋友借一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我和家人商量下,讨价还价,1,1,0,0,0,0,0,willingtopay
我和家里说说,讨价还价,1,1,0,0,0,0,0,willingtopay
我还在找,讨价还价,1,1,0,0,0,0,0,willingtopay
我还在借,讨价还价,1,1,0,0,0,0,0,willingtopay
我还款时候联系你,讨价还价,1,1,0,0,0,0,0,willingtopay
我还差点，,讨价还价,1,1,0,0,0,0,0,willingtopay
我工资要等一段时间，等发工资再说,讨价还价,1,1,0,0,0,0,0,willingtopay
我工资发了就处理！,讨价还价,1,1,0,0,0,0,0,willingtopay
我工程款下来处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我跟老板预支看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我跟借一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我得问问朋友有没有,讨价还价,1,1,0,0,0,0,0,willingtopay
我得回家商量一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我打电话借一下！,讨价还价,1,1,0,0,0,0,0,willingtopay
我凑看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我不知道朋友钱给不给我,讨价还价,1,1,0,0,0,0,0,willingtopay
我不知道明天工资能不能发,讨价还价,1,1,0,0,0,0,0,willingtopay
我不是不想还，只是需要点时间,讨价还价,1,1,0,0,0,0,0,willingtopay
问问老婆同不同意,讨价还价,1,1,0,0,0,0,0,willingtopay
问问家人,讨价还价,1,1,0,0,0,0,0,willingtopay
违约金太多了,讨价还价,1,1,0,0,0,0,0,willingtopay
听说本金也可以减免啊,讨价还价,1,1,0,0,0,0,0,willingtopay
天气不好，没法去银行,讨价还价,1,1,0,0,0,0,0,willingtopay
身上没这么钱,讨价还价,1,1,0,0,0,0,0,willingtopay
身份证挂失还没拿来,讨价还价,1,1,0,0,0,0,0,willingtopay
如果老板不拖欠马上还,讨价还价,1,1,0,0,0,0,0,willingtopay
人家不一定借给我,讨价还价,1,1,0,0,0,0,0,willingtopay
全都免了？,讨价还价,1,1,0,0,0,0,0,willingtopay
去借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
去贷点款处理,讨价还价,1,1,0,0,0,0,0,willingtopay
钱太多了,讨价还价,1,1,0,0,0,0,0,willingtopay
钱太多,讨价还价,1,1,0,0,0,0,0,willingtopay
钱是借给别人用的，等他钱还我了再还。,讨价还价,1,1,0,0,0,0,0,willingtopay
钱没有到账,讨价还价,1,1,0,0,0,0,0,willingtopay
钱没有到位,讨价还价,1,1,0,0,0,0,0,willingtopay
钱没到账,讨价还价,1,1,0,0,0,0,0,willingtopay
钱没到位,讨价还价,1,1,0,0,0,0,0,willingtopay
钱借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
钱还没借到，我在找别人借！,讨价还价,1,1,0,0,0,0,0,willingtopay
钱还没到账,讨价还价,1,1,0,0,0,0,0,willingtopay
钱还没到位,讨价还价,1,1,0,0,0,0,0,willingtopay
钱还没到,讨价还价,1,1,0,0,0,0,0,willingtopay
钱到账还,讨价还价,1,1,0,0,0,0,0,willingtopay
钱到位了我就还了,讨价还价,1,1,0,0,0,0,0,willingtopay
钱到位了联系你,讨价还价,1,1,0,0,0,0,0,willingtopay
钱到了立马给你打电话,讨价还价,1,1,0,0,0,0,0,willingtopay
钱到就还,讨价还价,1,1,0,0,0,0,0,willingtopay
钱凑好了联系你,讨价还价,1,1,0,0,0,0,0,willingtopay
钱不一定能凑齐,讨价还价,1,1,0,0,0,0,0,willingtopay
钱不确定什么时候到,讨价还价,1,1,0,0,0,0,0,willingtopay
钱不够,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友转过来就还上,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友也没给答复,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友说借我,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友钱还没转过来。,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友钱还没给我,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友钱到了就还,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友没给我,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友还没有答复,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友还没回复我，现在不知道！,讨价还价,1,1,0,0,0,0,0,willingtopay
朋友的朋友,讨价还价,1,1,0,0,0,0,0,willingtopay
你这能减免，我就还,讨价还价,1,1,0,0,0,0,0,willingtopay
你先等等我回家商量下,讨价还价,1,1,0,0,0,0,0,willingtopay
你申请下,讨价还价,1,1,0,0,0,0,0,willingtopay
你让我考虑,讨价还价,1,1,0,0,0,0,0,willingtopay
你们利息也太高了,讨价还价,1,1,0,0,0,0,0,willingtopay
你们几点下班最迟能帮我再拖多少天,讨价还价,1,1,0,0,0,0,0,willingtopay
你减免了我看看,讨价还价,1,1,0,0,0,0,0,willingtopay
你给什么好处给我啊,讨价还价,1,1,0,0,0,0,0,willingtopay
你放心,讨价还价,1,1,0,0,0,0,0,willingtopay
你等我想想,讨价还价,1,1,0,0,0,0,0,willingtopay
你帮我想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
能减免多少在看看,讨价还价,1,1,0,0,0,0,0,willingtopay
能减本金就好了,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能在少点,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能在给点时间,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能再减掉点啊,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能少点啊,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能少点,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能借到,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能减免点,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能减免,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能分期还,讨价还价,1,1,0,0,0,0,0,willingtopay
能不能多给点时间,讨价还价,1,1,0,0,0,0,0,willingtopay
那我先凑,讨价还价,1,1,0,0,0,0,0,willingtopay
那我看看,讨价还价,1,1,0,0,0,0,0,willingtopay
明天可以吗,讨价还价,1,1,0,0,0,0,0,willingtopay
明天看看怎么还,讨价还价,1,1,0,0,0,0,0,willingtopay
没什么问题但是要5天,讨价还价,1,1,0,0,0,0,0,willingtopay
利息太高了，能不能只还本金,讨价还价,1,1,0,0,0,0,0,willingtopay
利息太高了,讨价还价,1,1,0,0,0,0,0,willingtopay
利息太高,讨价还价,1,1,0,0,0,0,0,willingtopay
利息太多,讨价还价,1,1,0,0,0,0,0,willingtopay
可以少还一点,讨价还价,1,1,0,0,0,0,0,willingtopay
可以吗,讨价还价,1,1,0,0,0,0,0,willingtopay
可以分期不,讨价还价,1,1,0,0,0,0,0,willingtopay
可以吧,讨价还价,1,1,0,0,0,0,0,willingtopay
可以，但是要等到下个月,讨价还价,1,1,0,0,0,0,0,willingtopay
可以,讨价还价,1,1,0,0,0,0,0,willingtopay
尽量吧,讨价还价,1,1,0,0,0,0,0,willingtopay
尽量,讨价还价,1,1,0,0,0,0,0,willingtopay
尽力,讨价还价,1,1,0,0,0,0,0,willingtopay
金额太高，我想想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
金额太高，我想想办,讨价还价,1,1,0,0,0,0,0,willingtopay
金额高了,讨价还价,1,1,0,0,0,0,0,willingtopay
今天一概能处理部分吧,讨价还价,1,1,0,0,0,0,0,willingtopay
今天可能还不上,讨价还价,1,1,0,0,0,0,0,willingtopay
今天看看,讨价还价,1,1,0,0,0,0,0,willingtopay
减了以后还吧,讨价还价,1,1,0,0,0,0,0,willingtopay
家人正在帮忙筹钱,讨价还价,1,1,0,0,0,0,0,willingtopay
会还的,讨价还价,1,1,0,0,0,0,0,willingtopay
会还,讨价还价,1,1,0,0,0,0,0,willingtopay
会处理的,讨价还价,1,1,0,0,0,0,0,willingtopay
会处理,讨价还价,1,1,0,0,0,0,0,willingtopay
后天再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
好的你申请吧,讨价还价,1,1,0,0,0,0,0,willingtopay
还是太多,讨价还价,1,1,0,0,0,0,0,willingtopay
还是多,讨价还价,1,1,0,0,0,0,0,willingtopay
还能不能再少一点了,讨价还价,1,1,0,0,0,0,0,willingtopay
父母正在周转。,讨价还价,1,1,0,0,0,0,0,willingtopay
父母能不能帮忙,讨价还价,1,1,0,0,0,0,0,willingtopay
等月底,讨价还价,1,1,0,0,0,0,0,willingtopay
等几天吧,讨价还价,1,1,0,0,0,0,0,willingtopay
等会去银行存,讨价还价,1,1,0,0,0,0,0,willingtopay
到时候我自己还进去,讨价还价,1,1,0,0,0,0,0,willingtopay
大后天再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
处理好了联系你,讨价还价,1,1,0,0,0,0,0,willingtopay
车子卖了还,讨价还价,1,1,0,0,0,0,0,willingtopay
不知道过两天发不发工资,讨价还价,1,1,0,0,0,0,0,willingtopay
本金,讨价还价,1,1,0,0,0,0,0,willingtopay
绑定的卡丢了我会重新办张卡的,讨价还价,1,1,0,0,0,0,0,willingtopay
半个月,讨价还价,1,1,0,0,0,0,0,willingtopay
办理不了转账,讨价还价,1,1,0,0,0,0,0,willingtopay
把APP金额减了我等下自己还,讨价还价,1,1,0,0,0,0,0,willingtopay
5号可能发工资,讨价还价,1,1,0,0,0,0,0,willingtopay
5好吧,讨价还价,1,1,0,0,0,0,0,willingtopay
3点之前,讨价还价,1,1,0,0,0,0,0,willingtopay
20号,讨价还价,1,1,0,0,0,0,0,willingtopay
15号,讨价还价,1,1,0,0,0,0,0,willingtopay
12点之前处理进去就行,讨价还价,1,1,0,0,0,0,0,willingtopay
现在总共需要处理多少,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我要搞清楚再说,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我要查一下卡上余额,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我现在也不确定,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我下载APP看看,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我忘记了,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我忘记还有这欠款了！,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我晚上回去下载看看,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我什么借的,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我上APP看一下啊！,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我去核实一下,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我去查查借款记录,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我欠了好多,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我明天去查银行流水,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我核实好了再说,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我打客服问问,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不知道这笔欠款,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不知道有没有这么多钱,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不知道啊,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不知道，忘记了,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不知道,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不晓得,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不确定,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不清楚我要跟他本人核实,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不清楚！,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不清楚,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
我不明白,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
忘了,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
说说怎么回事,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
全欠很多钱,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
欠多少钱,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
你自己不会查啊,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
那我还掉是不是就能结清啊,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
明天之前,确认数额,0,0,0,0,0,0,0,欠款信息在app可查，重复问题
