text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
分期咋算安啊,确认数额,102,0,1,1,0,1,0
分期咋算安嗯,确认数额,102,0,1,1,0,1,0
感觉不对啦,确认数额,102,0,1,1,0,1,0
搞什么，还有滞纳金，我觉得你们算的有问题吧,确认数额,102,0,1,1,1,1,0
搞什么啊，哪里有这么多,确认数额,102,0,1,1,0,1,0
还多少,确认数额,102,0,1,1,0,1,0
还多少啊,确认数额,102,0,1,1,0,1,0
还好多呢？,确认数额,102,0,1,1,0,1,0
还了可以继续分期么,确认数额,102,0,1,1,0,1,0
还了可以继续分期么,确认数额,102,0,1,1,0,1,0
还了那么多，还有这么多,确认数额,102,0,1,1,0,1,0
还了之后剩下的呢,确认数额,102,0,1,1,0,1,0
还了之后剩下的呢,确认数额,102,0,1,1,0,1,0
还有没有其他的费用,确认数额,102,0,1,1,0,1,0
还有滞纳金？有没有搞错啊,确认数额,102,1,1,1,1,1,0
好多？,确认数额,102,0,1,1,0,1,0
好多利息嘛,确认数额,102,0,1,1,1,1,0
好多嘛,确认数额,102,0,1,1,0,1,0
好多喃？,确认数额,102,0,1,1,0,1,0
好多呢？,确认数额,102,0,1,1,0,1,0
好多钱？,确认数额,102,0,1,1,0,1,0
好像只逾期了几天呀,确认数额,102,0,1,1,0,1,0
好要还多少,确认数额,102,0,1,1,0,1,0
换多少啊,确认数额,102,0,1,1,0,1,0
回头我算算再说,确认数额,102,0,1,1,0,1,0
减多少利息？,确认数额,102,0,1,1,0,1,0
减免多少,确认数额,102,0,1,1,0,1,0
减免之后我需要还多少钱呢？,确认数额,102,0,1,1,0,1,0
借了你们好多？,确认数额,102,0,1,1,0,1,0
今天你必须给我讲清楚了，这些金额是怎么算出来的,确认数额,102,0,1,1,0,1,0
金额数目你是不是看错啦,确认数额,102,0,1,1,0,1,0
具体还多少,确认数额,102,0,1,1,0,1,0
具体是怎么计算出来的，你给我说说,确认数额,102,0,1,1,0,1,0
利息，滞纳金咋个这么高？你们是咋个算的？,确认数额,102,1,1,1,1,1,0
利息，滞纳金咋个这么高？你们是怎么算的？,确认数额,102,1,1,1,1,1,0
利息本金一共好多,确认数额,102,0,1,1,0,1,0
利息不可能那么多哦，你们算错没有呢？,确认数额,102,1,1,1,1,1,0
利息多少,确认数额,102,1,1,1,1,1,0
利息多少？,确认数额,102,1,1,1,1,1,0
利息多少啊,确认数额,102,1,1,1,1,1,0
利息给我算一遍,确认数额,102,1,1,1,1,1,0
利息好多？,确认数额,102,1,1,1,1,1,0
利息好多？本金好多？,确认数额,102,1,1,1,1,1,0
利息哪里要得到这么高哦？你们利息是怎么算的？,确认数额,102,1,1,1,1,1,0
利息你们是怎么给我算的？,确认数额,102,1,1,1,1,1,0
利息是多少？,确认数额,102,1,1,1,1,1,0
利息是多少啊,确认数额,102,1,1,1,1,1,0
利息是怎么算的,确认数额,102,1,1,1,1,1,0
利息是怎么算的阿,确认数额,102,1,1,1,1,1,0
利息是怎么算的哈,确认数额,102,1,1,1,1,1,0
利息是怎么算的哈哈哈,确认数额,102,1,1,1,1,1,0
利息是怎么算的啦,确认数额,102,1,1,1,1,1,0
利息是怎么算的呢,确认数额,102,1,1,1,1,1,0
利息一共多少钱,确认数额,102,1,1,1,1,1,0
利息有点高哦,确认数额,102,1,1,1,1,1,0
利息有多少呢,确认数额,102,1,1,1,1,1,0
利息咋个会这么高法子哦？利息是咋个子计算的也？,确认数额,102,1,1,1,1,1,0
利息咋个这么高？你们利息是怎么算的？,确认数额,102,1,1,1,1,1,0
利息怎么算,确认数额,102,1,1,1,1,1,0
利息怎么算的？,确认数额,102,1,1,1,1,1,0
利息这么多，你们一定弄错了,确认数额,102,1,1,1,1,1,0
拢共一哈好多嘛,确认数额,102,0,1,1,0,1,0
没那么多啊,确认数额,102,0,1,1,0,1,0
没欠这么多钱吧,确认数额,102,1,1,1,1,0,1
没有那么多吧,确认数额,102,0,1,1,0,0,0
免多少,确认数额,102,0,1,1,0,1,0
哪里欠了这么多钱哦，我查查借款记录,确认数额,102,0,1,1,0,0,0
哪有这么多哦,确认数额,102,0,1,1,0,0,0
那减免了多少钱呢？,确认数额,102,0,1,1,0,1,0
那你直接说我要还多少吧,确认数额,102,0,1,1,0,1,0
那我到底需要还好多啊？,确认数额,102,0,1,1,0,1,0
那我还掉是不是就能结清啊,确认数额,102,0,1,1,0,1,0
那我还需要还多少？,确认数额,102,0,1,1,0,1,0
那我看看，合计合计,确认数额,102,0,1,1,0,1,0
那我总共欠了多少钱，你给算算,确认数额,102,0,1,1,0,1,0
那现在总共欠款就是这么多么？,确认数额,102,0,1,1,0,1,0
纳闷算的？,确认数额,102,0,1,1,0,1,0
能给我多久的时间,确认数额,102,0,1,1,0,1,0
你帮我查下我总共需要还多少钱,确认数额,102,0,1,1,0,1,0
你帮我看下还欠多少,确认数额,102,0,1,1,0,1,0
你帮我算一下，再拖两个月我要还多少？,确认数额,102,0,1,1,0,1,0
你发个账单到我手机短信上吧。,确认数额,102,0,1,1,0,1,0
你给我发个账单，我确认一下,确认数额,102,0,1,1,0,1,0
你给我说说利息计算公式,确认数额,102,0,1,1,0,1,0
你给我算哈一哈好多钱,确认数额,102,0,1,1,0,1,0
你给我算哈一哈拢共好多钱,确认数额,102,0,1,1,0,1,0
你给我一项一项解释清楚，为什么会有这么多钱的？,确认数额,102,0,1,1,0,1,0
你还了你又来找我怎么办,确认数额,102,1,1,1,1,0,1
你妹利息是不是算错了,确认数额,102,1,1,1,1,1,0
你们得利息算法合法么？,确认数额,102,1,1,1,1,1,0
你们的利息太高了吧，还有滞纳金又是什么鬼,确认数额,102,1,1,1,1,1,0
你们的利息怎么这么高,确认数额,102,0,1,1,0,1,0
你们搞错了，没有那么多，真的,确认数额,102,1,1,1,1,0,1
你们搞错了吧,确认数额,102,1,1,1,1,0,1
你们搞错没有，还有滞纳金啊,确认数额,102,1,1,1,1,1,0
你们利息怎么算的？,确认数额,102,1,1,1,1,1,0
你们利息这么高吗？收了我多少利息？,确认数额,102,1,1,1,1,1,0
你们没算错,确认数额,102,0,1,1,0,1,0
你们是什么公司，滞纳金要这么多，你们有合同吗？给我看下,确认数额,102,0,1,1,1,1,0
你们要钱，这个利息、滞纳金是咋个子算出来的也？,确认数额,102,0,1,1,0,1,0
你们这个每个月利息是多少啊,确认数额,102,0,1,1,0,1,0
你们这个是不是高利贷，我要举报你们,确认数额,102,0,1,1,0,1,0
你们这个滞纳金是怎么算的哦,确认数额,102,1,1,1,1,1,0
你们这利息和之前告诉我的不对,确认数额,102,1,1,1,1,1,0
你们这么算利息，不怕我去告你们么,确认数额,102,1,1,1,1,1,0
你们这是怎么收取利息,确认数额,102,1,1,1,1,1,0
你们这样算不违法么？,确认数额,102,0,1,1,0,1,0
你确定没算错,确认数额,102,0,1,1,0,0,0
你确定没算错哇,确认数额,102,0,1,1,0,0,0
你确定我欠了那么多嘛,确认数额,102,0,1,1,0,0,0
你是说我欠了xx元吗？,确认数额,102,0,1,1,0,0,0
你说的部分是多少,确认数额,102,0,1,1,0,1,0
你说的我怎么觉得不对啊,确认数额,102,0,1,1,0,0,0
你说还有多少,确认数额,102,0,1,1,0,1,0
你说啥，哪有那么多,确认数额,102,0,1,1,0,0,0
你说要还多少钱,确认数额,102,0,1,1,0,1,0
你再合适一下金额呢，怎么感觉不对啊,确认数额,102,0,1,1,0,0,0
你再说一遍我欠了多少？,确认数额,102,0,1,1,0,0,0
你怎么没跟我说过有利息？,确认数额,102,0,1,1,0,1,0
你怎么算的啊,确认数额,102,0,1,1,0,1,0
你这个金额怕是有点问题，我还得再确认下,确认数额,102,0,1,1,0,1,0
你这个金额怕是有点问题，我还得再确认下,确认数额,102,0,1,1,0,1,0
你这个数额不对,确认数额,102,0,1,1,0,1,0
你这利息怎么算的哦,确认数额,102,1,1,1,1,1,0
你自己不会查啊,确认数额,102,1,0,0,1,1,1
您刚才说的是哪笔贷款啊，多少钱的,确认数额,102,0,1,1,0,0,0
哦这样啊，那总共是多少钱,确认数额,102,0,1,1,0,1,0
欠多少,确认数额,102,1,1,1,1,0,1
欠多少你们说了算？根本就没那么多,确认数额,102,1,1,1,1,0,1
欠款很正常的事情，但是你至少要给我算清楚吧,确认数额,102,1,1,1,1,0,1
欠款金额我是知道的，现在总共有多少？,确认数额,102,1,1,1,1,0,1
欠了有好多？,确认数额,102,1,1,1,1,0,1
请给我一个详细的利息清单,确认数额,102,0,1,1,0,1,0
请说出金额？,确认数额,102,0,1,1,0,0,0
请问利息是多少？,确认数额,102,1,1,1,1,0,0
请问什么是滞纳金,确认数额,102,1,1,1,1,1,0
请问一共减掉了多少利息,确认数额,102,0,1,1,0,1,0
请问滞纳金是多少？,确认数额,102,1,1,1,1,1,0
确定没有算错,确认数额,102,0,1,1,0,1,0
确定逾期这么多天了,确认数额,102,1,1,1,1,0,1
确认金额,确认数额,102,0,1,1,0,1,0
确认金额,确认数额,102,0,1,1,0,1,0
啥玩意儿，这么多钱？,确认数额,102,0,1,1,0,0,0
上次和我说的是***元,确认数额,102,0,1,1,0,0,0
上次那个人也跟我这样说,确认数额,102,0,1,1,0,1,0
什么？你们这是利滚利啊,确认数额,102,0,1,1,0,1,0
什么情况那么多？,确认数额,102,1,1,1,1,0,1
什么时候的事,确认数额,102,1,1,1,1,0,1
什么时候借的，,确认数额,102,1,1,1,1,0,1
什么时候欠的,确认数额,102,1,1,1,1,0,1
什么时候欠了这么多钱的?等我去查一下再说,确认数额,102,1,1,1,1,0,1
剩下的什么时候处理,确认数额,102,0,1,1,0,1,0
剩下的什么时候处理,确认数额,102,0,1,1,0,1,0
是怎么算的,确认数额,102,0,1,1,0,1,0
数目不对,确认数额,102,0,1,1,0,0,0
说个总数,确认数额,102,0,1,1,0,1,0
为什么有利息这么高,确认数额,102,0,1,1,0,1,0
为什么越来越多了,确认数额,102,1,1,1,1,1,1
我不记得有这么多,确认数额,102,0,1,1,0,0,0
我不欠钱，你打错了,确认数额,102,1,1,1,1,0,1
我不清楚我要跟他本人核实,确认数额,102,1,1,1,1,0,1
我不认可你们的算法，我需要再查一下,确认数额,102,0,1,1,0,0,0
我不晓得，你们这个账是咋个子算出来的，你算给我听下子也,确认数额,102,0,1,1,0,1,0
我不知道多少钱,确认数额,102,0,1,1,0,0,0
我不知道有没哦,确认数额,102,0,1,1,0,0,0
我不知道有没有这么多钱,确认数额,102,0,1,1,0,1,0
我才借了2万，利息滞纳金就有几千，疯了吧,确认数额,102,0,1,1,0,1,0
我查查借款记录，哪里欠了这么多钱哦？,确认数额,102,1,1,1,1,0,1
我查哈,确认数额,102,1,1,1,1,0,1
我打电话问一下哆。,确认数额,102,0,1,1,0,1,0
我打客服问问,确认数额,102,0,1,1,0,1,0
我到底借了多少钱,确认数额,102,0,1,1,0,0,0
我到底借了你们多少钱,确认数额,102,0,1,1,0,0,0
我到底欠了多少？,确认数额,102,0,1,1,0,0,0
我的账单找不到了，你发我一份看看。,确认数额,102,0,1,1,0,0,0
我都不晓得，你们这个钱是咋个算出来的？,确认数额,102,0,1,1,0,0,0
我都不晓得我欠了多少钱了,确认数额,102,0,1,1,0,0,0
我都不晓得也，我到底欠了好多钱？,确认数额,102,0,1,1,0,0,0
我都不知道我欠了你们好多钱,确认数额,102,0,1,1,0,0,0
我都还了那么多了，为什么还没那么多,确认数额,102,0,1,1,0,0,0
我都还那么多了怎么还有那么多啊,确认数额,102,0,1,1,0,0,0
我根本就没有借那么多,确认数额,102,0,1,1,0,0,0
我还了一部分了，没有多少了,确认数额,102,0,1,1,0,0,0
我还欠多少,确认数额,102,0,1,1,0,0,0
我还欠你多少,确认数额,102,0,1,1,0,0,0
我好想没有签那么多钱哦，我要先查查借款记录,确认数额,102,0,1,1,0,0,0
我好像没借这么多钱哦，你把详细记录给我看看,确认数额,102,0,1,1,0,0,0
我核实好了再说,确认数额,102,0,1,1,0,0,0
我回去看下,确认数额,102,0,1,1,0,0,0
我记得莫得这么多哦,确认数额,102,0,1,1,0,0,0
我记得我没有欠那么多呢,确认数额,102,0,1,1,0,0,0
我记得已经还了一部分了啊，怎么还有这么多,确认数额,102,0,1,1,0,1,0
我觉得你的利息算得有问题吧,确认数额,102,0,1,1,0,1,0
我借多少还多少,确认数额,102,0,1,1,0,1,0
我借了多少？,确认数额,102,1,1,1,1,0,1
我借了多少钱？,确认数额,102,1,1,1,1,0,1
我借了你们多少钱,确认数额,102,1,1,1,1,0,1
我今天还了，下月怎么办,确认数额,102,1,1,1,0,1,1
我看哈,确认数额,102,0,1,1,0,1,0
我看看我现在还有多少钱？,确认数额,102,0,1,1,0,1,0
我没借过啊,确认数额,102,1,1,1,1,0,1
我没有借过这么多钱,确认数额,102,1,1,1,1,0,1
我没有借这么多样，等我去查一下记录再说,确认数额,102,1,1,1,1,0,1
我没有欠款,确认数额,102,1,1,1,1,0,1
我欠了多少,确认数额,102,1,1,1,1,0,1
我欠了多少？,确认数额,102,1,1,1,1,0,1
我欠了多少钱？,确认数额,102,1,1,1,1,0,1
我欠了好多,确认数额,102,1,1,1,1,0,1
我欠了好多钱来着？,确认数额,102,1,1,1,1,0,1
我欠你们多少钱,确认数额,102,1,1,1,1,0,1
我去查查借款记,确认数额,102,1,1,1,1,0,1
我去查查借款记录,确认数额,102,1,1,1,1,0,1
我去核实,确认数额,102,1,1,1,1,0,1
我去核实一下,确认数额,102,1,1,1,1,0,1
我去看看,确认数额,102,0,1,1,0,0,0
我去看看我差多少,确认数额,102,0,1,1,0,1,0
我去看看详细合同,确认数额,102,0,1,1,0,1,0
我确认下我这边欠款是多少？,确认数额,102,0,1,1,0,1,0
我确认一下我现在是要还多少钱,确认数额,102,0,1,1,0,1,0
我上APP看一下啊！,确认数额,102,0,1,1,0,1,0
我身份证丢了，我不知道,确认数额,102,1,1,1,1,0,1
我什么借的,确认数额,102,1,1,1,1,0,1
我什么时候欠你钱了,确认数额,102,1,1,1,1,0,1
我数学不好,确认数额,102,0,1,1,0,1,0
我数学不好,确认数额,102,0,1,1,0,1,0
我数学不好,确认数额,102,0,1,1,0,1,0
我算下利息,确认数额,102,0,1,1,0,1,0
我算一哈钱,确认数额,102,0,1,1,0,1,0
我算一哈钱阿,确认数额,102,0,1,1,0,1,0
我算一哈钱吧,确认数额,102,0,1,1,0,1,0
我算一哈钱哈,确认数额,102,0,1,1,0,1,0
我算一哈钱哈哈哈,确认数额,102,0,1,1,0,1,0
我晚上回去下载看看,确认数额,102,0,1,1,0,1,0
我下载APP看看,确认数额,102,0,1,1,0,1,0
我先看看我是不是欠了这么多。,确认数额,102,0,1,1,0,1,0
我现在欠多少啊！,确认数额,102,0,1,1,0,1,0
我想知道，分期的话，最长能分几期？,确认数额,102,0,1,1,0,1,0
我需要处理多少钱？,确认数额,102,0,1,1,0,1,0
我需要还多少,确认数额,102,0,1,1,0,1,0
我需要还你们多少,确认数额,102,0,1,1,0,1,0
我需要核实一下我是否欠了xx元钱,确认数额,102,0,1,1,0,1,0
我需要看一下合同,确认数额,102,0,1,1,0,1,0
我需要确认一下滞纳金的算法,确认数额,102,1,1,1,1,1,0
我要查询一下是否有这个欠款,确认数额,102,0,1,1,0,1,0
我要查一下卡上余额,确认数额,102,0,1,1,0,1,0
我要搞清楚再说,确认数额,102,0,1,1,0,1,0
我要还多少钱给你们,确认数额,102,0,1,1,0,1,0
我要还几位数？,确认数额,102,0,1,1,0,1,0
我要先查查借款记录，我好想没有签那么多钱哦，,确认数额,102,0,1,1,0,0,0
我要先去核对下。,确认数额,102,0,1,1,0,1,0
我要在什么时间之前还清呢,确认数额,102,0,1,1,0,1,0
我有欠那么多吗,确认数额,102,0,1,1,0,0,0
我有欠那么多么？,确认数额,102,0,1,1,0,0,0
我有欠你们多少钱？,确认数额,102,0,1,1,0,0,0
我又没欠你钱,确认数额,102,1,1,1,1,0,1
我逾期只有两个月，怎么会有那么多钱啊,确认数额,102,0,1,1,0,0,0
我再看看我之前的欠款记录，看看正确不,确认数额,102,0,1,1,0,1,0
我怎么不知道有那么多，怎么算的,确认数额,102,0,1,1,0,0,0
我怎么欠了怎么多,确认数额,102,0,1,1,0,0,0
我之前没看清合同，怎么有这么高的利息,确认数额,102,0,1,1,0,0,0
我总共要给好多？,确认数额,102,0,1,1,0,0,0
先出我就看看账单,确认数额,102,0,1,1,0,0,0
现在多少钱,确认数额,102,0,1,1,0,1,0
现在还欠多少,确认数额,102,0,1,1,0,0,0
现在还有多少,确认数额,102,0,1,1,0,0,0
现在欠了好多，总共欠了好多，我心里没得谱的,确认数额,102,0,1,1,0,0,0
现在算一算我要还多少,确认数额,102,0,1,1,0,0,0
现在要还多少才行,确认数额,102,0,1,1,0,0,0
现在总共欠了好多，我要还好多,确认数额,102,0,1,1,0,0,0
现在总共需要处理多少,确认数额,102,0,1,1,0,0,0
现在总共需要还多少,确认数额,102,0,1,1,0,0,0
要还多少钱,确认数额,102,0,1,1,0,0,0
要算哈账哦,确认数额,102,0,1,1,0,0,0
一共多少,确认数额,102,0,1,1,0,0,0
一共好多嘛,确认数额,102,0,1,1,0,0,0
一共是多少钱？,确认数额,102,0,1,1,0,0,0
一哈多少,确认数额,102,0,1,1,0,0,0
一会儿再打给我吧，在开会呢,确认数额,102,0,1,1,0,0,0
已经这么多了？,确认数额,102,1,1,1,1,1,0
以前都还过了，怎么还这么高啊,确认数额,102,0,1,1,0,0,0
应该没有这么多吧,确认数额,102,0,1,1,0,0,0
有好多钱呢？你给我说下,确认数额,102,0,1,1,0,0,0
有没得1万？,确认数额,102,0,1,1,0,0,0
有没得单子哦,确认数额,102,0,1,1,0,0,0
有那么多嘛，我查查啊,确认数额,102,0,1,1,0,0,0
有这么多啊,确认数额,102,0,1,1,0,0,0
有这么多利息？咋个算的,确认数额,102,0,1,1,0,0,0
有这么多么，发过来吧,确认数额,102,0,1,1,0,0,0
有这么多钱么？,确认数额,102,0,1,1,0,0,0
逾期是从那天开始算,确认数额,102,0,1,1,0,1,0
咋个两个月的利息，滞纳金这么多哦？高的离谱了，都搞不清楚你们咋个子在弄,确认数额,102,1,1,1,1,1,0
咋个两个月的利息，滞纳金这么高哦？都搞不清楚你们咋个子在弄,确认数额,102,1,1,1,1,1,0
咋个两个月的利息，滞纳金这么高哦？咋个算的哦？,确认数额,102,1,1,1,1,1,0
咋个两个月的利息，滞纳金这么高哦？怎么算的哦？,确认数额,102,0,1,1,1,1,0
咋个算的,确认数额,102,0,1,1,0,0,0
咋个算起得,确认数额,102,0,1,1,0,0,0
在没有别的了吧,确认数额,102,0,1,1,0,1,0
怎么比当时高那么多,确认数额,102,1,1,1,1,0,1
怎么都2个月了？,确认数额,102,1,1,1,1,1,1
怎么分期了每期还是这么多啊,确认数额,102,1,1,1,0,1,1
怎么还要滞纳金，你确定是正确的啊，我不记得有这么多钱了,确认数额,102,1,1,1,1,1,0
怎么还有这么多,确认数额,102,0,1,1,0,1,0
怎么会有那么多钱，我已经分期还了一部分了,确认数额,102,0,1,1,0,1,0
怎么会这么多？,确认数额,102,0,1,1,0,1,0
怎么可能,确认数额,102,0,1,1,0,1,0
怎么算？,确认数额,102,0,1,1,0,1,0
怎么算出来的哦,确认数额,102,0,1,1,0,1,0
怎么算的？,确认数额,102,0,1,1,0,1,0
怎么这么多,确认数额,102,0,1,1,0,1,0
怎么这么多？滞纳金怎么算？,确认数额,102,1,1,1,1,1,0
怎么这么多啊,确认数额,102,0,1,1,0,1,0
这部分可以，延期到好久阿,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久阿,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久哈,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久哈,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久了,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久没意思,确认数额,102,1,1,1,0,1,1
这部分可以，延期到好久呀,确认数额,102,1,1,1,0,1,1
这个利息、滞纳金是怎么算出来的也？,确认数额,102,1,1,1,1,1,0
这个利息是怎么算的呢,确认数额,102,1,1,1,1,1,0
这个利息是怎么算的呢？,确认数额,102,1,1,1,1,1,0
这个利息是怎么算的哦？,确认数额,102,1,1,1,1,1,0
这个欠款是咋个算出来的哦？,确认数额,102,0,1,1,0,1,0
这个是固定利息么,确认数额,102,1,1,1,1,1,0
这个滞纳金是怎么算的哦？,确认数额,102,0,1,1,0,1,0
这可以，延期好久,确认数额,102,1,1,1,0,1,1
这可以，延期好久阿,确认数额,102,1,1,1,0,1,1
这可以，延期好久吧,确认数额,102,1,1,1,0,1,1
这可以，延期好久嗯?,确认数额,102,1,1,1,0,1,1
这可以，延期好久嗯?,确认数额,102,1,1,1,0,1,1
这可以，延期好久哈哈哈,确认数额,102,1,1,1,0,1,1
这可以，延期好久乎,确认数额,102,1,1,1,0,1,1
这可以，延期好久乎,确认数额,102,1,1,1,0,1,1
这么多利息，算错了吧？,确认数额,102,1,1,1,1,1,0
这么多利息啊,确认数额,102,0,1,1,0,1,0
这钱怎么不对啊,确认数额,102,0,1,1,0,1,0
真假的,确认数额,102,0,1,1,0,0,0
只借了你们2万吗？你搞对没有哦,确认数额,102,1,1,1,1,0,1
直接说金额,确认数额,102,0,1,1,0,1,0
滞纳金哪里要得到这么高哦？你们滞纳金是怎么算的？,确认数额,102,1,1,1,1,1,0
滞纳金是什么？,确认数额,102,1,1,1,1,1,0
滞纳金是什么意思,确认数额,102,1,1,1,1,1,0
滞纳金是怎么计算的？,确认数额,102,1,1,1,1,1,0
滞纳金是怎么算出来的,确认数额,102,1,1,1,1,1,0
滞纳金是怎么算的哦？,确认数额,102,1,1,1,1,1,0
滞纳金咋个会这么高法子哦？滞纳金是咋个子计算的也？,确认数额,102,1,1,1,1,1,0
滞纳金咋个这么高？你们滞纳金是怎么算的？,确认数额,102,1,1,1,1,1,0
滞纳金这么多，你们一定弄错了,确认数额,102,1,1,1,1,1,0
滞纳金这么高啊,确认数额,102,1,1,1,1,1,0
总共多少钱,确认数额,102,0,1,1,0,0,0
总共好多喃,确认数额,102,0,1,1,0,0,0
总共就这么多吗，还有没有其他的金额项,确认数额,102,0,1,1,0,1,0
最多可以延期多长时间,确认数额,102,1,1,1,0,1,1
最少还多少,确认数额,102,0,1,1,0,1,0
最少还多少,确认数额,102,0,1,1,0,1,0
