split_text,classifier,new_label
果断时间可以,CutDebt,106
过2天就还,CutDebt,106
过段时间,CutDebt,106
过两天,CutDebt,106
过一段时间,CutDebt,106
还得起,CutDebt,106
还了就行了吧,CutDebt,106
还了就没事了是吧,CutDebt,106
还钱还是可以耍哈,CutDebt,106
还是借钱,CutDebt,106
还要些时间,CutDebt,106
还要再等等,CutDebt,106
行，我想想办法,CutDebt,106
行，也行吧,CutDebt,106
行吧，想办法,CutDebt,106
行嘛，那我去借点来先还到嘛,CutDebt,106
好，我知道了,CutDebt,106
好，知道了,CutDebt,106
好的，什么时候可以还,CutDebt,106
好的，我知道了,CutDebt,106
好的，知道了,CutDebt,106
好的可以了吧,CutDebt,106
好的我知道了,CutDebt,106
好好，我听到起在,CutDebt,106
好了好了,CutDebt,106
好嘛，我知道了,CutDebt,106
后天,CutDebt,106
后天就去,CutDebt,106
回来就还,CutDebt,106
家里车房子正在拍卖,CutDebt,106
家人在帮忙周转，不确定时间,CutDebt,106
家人正在帮忙筹钱,CutDebt,106
借钱,CutDebt,106
借钱再去还,CutDebt,106
今天工程款可能下来,CutDebt,106
今天下午,CutDebt,106
今晚10点之前,CutDebt,106
金额高，我再想想办法,CutDebt,106
金额高金额高想想办法想想办法,CutDebt,106
金额太高了，我再想想,CutDebt,106
就今天来哈，明天没有机会了,CutDebt,106
具体我要等答复,CutDebt,106
考虑考虑,CutDebt,106
可以，尽量想办法,CutDebt,106
可以结清吧？,CutDebt,106
可以结清吗,CutDebt,106
可以可以，我现在就去借钱,CutDebt,106
肯定,CutDebt,106
老板钱没拿到，不确定什么发工资,CutDebt,106
老板拖欠工资，说下个月一起发,CutDebt,106
立即,CutDebt,106
立刻,CutDebt,106
麻烦了,CutDebt,106
麻烦你了,CutDebt,106
马上,CutDebt,106
马上换那个就还,CutDebt,106
没有这么多钱，我在想想办法,CutDebt,106
明天看看有没有钱,CutDebt,106
明天可以还是啊吧,CutDebt,106
明天上午,CutDebt,106
明天上午11点前,CutDebt,106
明天下午5点前,CutDebt,106
那敢情好，没意思,CutDebt,106
那敢情好唉,CutDebt,106
那敢情好嗯,CutDebt,106
那敢情好哈哈哈,CutDebt,106
那就这样吧,CutDebt,106
那你好好帮帮我,CutDebt,106
那天不一定发工资,CutDebt,106
那我问朋友借借看,CutDebt,106
那谢谢你,CutDebt,106
能多给几天吗，我月底才发工资,CutDebt,106
你真好,CutDebt,106
年底之前,CutDebt,106
朋友还没有答复,CutDebt,106
朋友借我钱还了我就还,CutDebt,106
朋友转了去存,CutDebt,106
钱不一定能凑齐,CutDebt,106
钱到了立马还,CutDebt,106
钱到位，马上还,CutDebt,106
钱到账就能处理,CutDebt,106
钱借到了就还,CutDebt,106
钱拿到就去存,CutDebt,106
钱以到位,CutDebt,106
去凑钱,CutDebt,106
去存钱,CutDebt,106
去存钱了,CutDebt,106
去贷点款处理,CutDebt,106
去到银行存钱,CutDebt,106
去借钱,CutDebt,106
去银行路上,CutDebt,106
确定,CutDebt,106
让我想想办法不一定能还,CutDebt,106
三天内,CutDebt,106
三天内哈,CutDebt,106
三天之内,CutDebt,106
十二点之前,CutDebt,106
十天内,CutDebt,106
他说去银行了,CutDebt,106
太感谢了,CutDebt,106
太好了,CutDebt,106
晚上下班之前,CutDebt,106
我XX才发工资啊,CutDebt,106
我保证,CutDebt,106
我不一定能凑到钱,CutDebt,106
我筹到钱马上联系你,CutDebt,106
我得等发工资,CutDebt,106
我等会就去,CutDebt,106
我等会就去银行存,CutDebt,106
我房子卖了处理,CutDebt,106
我给老板打个电话,CutDebt,106
我跟借一下,CutDebt,106
我跟老板预支看看,CutDebt,106
我跟朋友借,CutDebt,106
我还得再想想哦。,CutDebt,106
我还没发工资等等,CutDebt,106
我还没有发工资啊,CutDebt,106
我还在借,CutDebt,106
我和朋友借一下,CutDebt,106
我回款就先还你嘛,CutDebt,106
我会还,CutDebt,106
我会还的,CutDebt,106
我觉得没问题吧,CutDebt,106
我尽快筹钱,CutDebt,106
我尽快处理,CutDebt,106
我尽快在这时间内处理,CutDebt,106
我尽量催一下某某朋友！,CutDebt,106
我尽量找亲戚借吧,CutDebt,106
我联系我朋友,CutDebt,106
我马上就去借钱，借到立马还,CutDebt,106
我没有带银行卡,CutDebt,106
我去筹钱,CutDebt,106
我去跟父母要一点,CutDebt,106
我去借借看,CutDebt,106
我去借看看,CutDebt,106
我去借钱,CutDebt,106
我去借一下,CutDebt,106
我去想想办法,CutDebt,106
我去银行存钱,CutDebt,106
我去银行存钱了，还有十分钟！,CutDebt,106
我去银路上,CutDebt,106
我是有事耽搁了,CutDebt,106
我问朋友借,CutDebt,106
我问朋友借一遍,CutDebt,106
我问一下家里能不能凑到,CutDebt,106
我现在借钱,CutDebt,106
我现在卡没在身边记不得卡号,CutDebt,106
我现在去银行,CutDebt,106
我现在去银行存钱,CutDebt,106
我现在去银行了,CutDebt,106
我想办法发筹钱,CutDebt,106
我想办法借钱,CutDebt,106
我想想办法处理,CutDebt,106
我要发工资才可以,CutDebt,106
我也不知道，钱还没到账,CutDebt,106
我也不知道朋友钱今天能不能到,CutDebt,106
我再凑凑,CutDebt,106
我再看看,CutDebt,106
我再去凑凑,CutDebt,106
我再算算,CutDebt,106
我再想办法筹点,CutDebt,106
我再想想办法吧,CutDebt,106
我再想想办法吧。,CutDebt,106
我在筹钱,CutDebt,106
我在凑,CutDebt,106
我在凑钱,CutDebt,106
我在跟朋友借,CutDebt,106
我在考虑考虑,CutDebt,106
我在卖房子，等我房子卖了的,CutDebt,106
我在排队,CutDebt,106
我在日本，这两天回去就还,CutDebt,106
我在银行了,CutDebt,106
我找家人拿点,CutDebt,106
我找人帮帮忙,CutDebt,106
我真的不能确定什么时候能还，只能说在半个月以内！,CutDebt,106
我正在筹钱，你催个毛线啊,CutDebt,106
我周转一下！,CutDebt,106
五分钟,CutDebt,106
下高速去存,CutDebt,106
下个月吧,CutDebt,106
下午,CutDebt,106
下午就存,CutDebt,106
下午三点,CutDebt,106
下月可以吧,CutDebt,106
下周吧,CutDebt,106
现在存钱,CutDebt,106
现在就存款,CutDebt,106
现在就去跟家里说,CutDebt,106
现在没钱我去去借,CutDebt,106
现在去存钱,CutDebt,106
现在我就去银行,CutDebt,106
现在想办法,CutDebt,106
现在找朋友借,CutDebt,106
想办法,CutDebt,106
想办法呢,CutDebt,106
谢谢,CutDebt,106
谢谢啊,CutDebt,106
谢谢啦,CutDebt,106
谢谢了,CutDebt,106
谢谢你,CutDebt,106
谢谢你！,CutDebt,106
谢谢你帮我,CutDebt,106
谢谢你的帮助,CutDebt,106
星期一,CutDebt,106
呀，嫩是好人呢,CutDebt,106
呀，嫩真好呀,CutDebt,106
呀，谢谢嫩,CutDebt,106
要得，我知道,CutDebt,106
要去借钱,CutDebt,106
一个礼拜内,CutDebt,106
一个星期以后,CutDebt,106
一个星期之内,CutDebt,106
一个月之内,CutDebt,106
咦，嫩真好,CutDebt,106
银行卡被冻结了过几天解封就还,CutDebt,106
应该可以吧,CutDebt,106
应该没问题,CutDebt,106
应该能还,CutDebt,106
哟，嫩真好,CutDebt,106
哟，谢谢嫩,CutDebt,106
唷，谢谢嫩,CutDebt,106
有一个工程款要结有钱了立马还,CutDebt,106
月底,CutDebt,106
月底前,CutDebt,106
月中,CutDebt,106
允许,CutDebt,106
再筹钱了,CutDebt,106
再等父母打钱,CutDebt,106
再协商,CutDebt,106
在等几天可以吗。我在想办法。,CutDebt,106
在借钱,CutDebt,106
在领工资,CutDebt,106
在路上,CutDebt,106
在路上了,CutDebt,106
在排队,CutDebt,106
在排队了,CutDebt,106
在去银行,CutDebt,106
在想想办法吧,CutDebt,106
在要钱的路上,CutDebt,106
在银行,CutDebt,106
在银行路上,CutDebt,106
在银行排队,CutDebt,106
在银行排队存钱呢,CutDebt,106
在找父母要,CutDebt,106
早点减免就好了,CutDebt,106
早知道可以免利息，我就多借点了，明天就还你们,CutDebt,106
找家里人借一下,CutDebt,106
找老板先支一点还,CutDebt,106
找朋友借不确定什么时候到,CutDebt,106
这个月底行不行,CutDebt,106
这金额太高了，我在想想办法,CutDebt,106
这样就好办了晒,CutDebt,106
这样我想想办法,CutDebt,106
这样子我马上想办法,CutDebt,106
真的是万分感谢,CutDebt,106
正在筹钱,CutDebt,106
正在银行,CutDebt,106
之前没钱,CutDebt,106
周边没银行,CutDebt,106
周末,CutDebt,106
自己在工地，工资一年结一次,CutDebt,106
最迟3天后,CutDebt,106
阿拉小得了，谢啦,CutDebt,106
阿拉小得了，谢谢,CutDebt,106
阿拉小得了，谢谢你,CutDebt,106
巴适得板。,CutDebt,106
处理好联系你,CutDebt,106
处理好这边给你说,CutDebt,106
到时候联系你,CutDebt,106
到时间就还了,CutDebt,106
非常感谢,CutDebt,106
感谢,CutDebt,106
还的起,CutDebt,106
还了就结清了,CutDebt,106
很感谢,CutDebt,106
几天之内可以处理,CutDebt,106
满意,CutDebt,106
那敢情好了,CutDebt,106
那感情好,CutDebt,106
你要我,CutDebt,106
随时随地,CutDebt,106
我还得起,CutDebt,106
我同意你的说法,CutDebt,106
谢谢你，,CutDebt,106
谢谢你啊,CutDebt,106
谢谢你的帮忙,CutDebt,106
应该可以,CutDebt,106
这个巴适。,CutDebt,106
1000元，我可以先还,Installment,106
10天,Installment,106
13号,Installment,106
15号,Installment,106
15号前,Installment,106
20号,Installment,106
22号,Installment,106
28号才能发工资,Installment,106
2天,Installment,106
30号,Installment,106
3点之前,Installment,106
3天,Installment,106
4天,Installment,106
5号可能发工资,Installment,106
5天,Installment,106
6天,Installment,106
7天,Installment,106
8天,Installment,106
9天,Installment,106
xx款，我可以还先还哇,Installment,106
俺会还,Installment,106
半个月,Installment,106
半夜还,Installment,106
帮我延期吧,Installment,106
保证会处理,Installment,106
别人钱我钱，正在要钱,Installment,106
别人欠我钱在要,Installment,106
不存在任何问题。,Installment,106
不要打电话了，会还的,Installment,106
不用，你在**天和我联系就可以了,Installment,106
不用到那天我就联系你还款,Installment,106
不用你说,Installment,106
不用说太多,Installment,106
部分还的起,Installment,106
财务说马上发工资,Installment,106
处理好了联系你,Installment,106
处理好联系你,Installment,106
处理好这边给你说,Installment,106
凑到钱了，就先处理一部分,Installment,106
贷款2天之后肯定能下来,Installment,106
贷款还没下来,Installment,106
到时候尽量处理点,Installment,106
到时候联系一定还,Installment,106
到时候你联系我就行,Installment,106
到时间我一定还上,Installment,106
到时一起还,Installment,106
到银行了,Installment,106
等查到账了再还剩下的,Installment,106
等等，我下班去存,Installment,106
等等会处理,Installment,106
等等加还,Installment,106
等等解决,Installment,106
等等就处理,Installment,106
等会就好,Installment,106
等几天可以拿,Installment,106
等老婆发工资的,Installment,106
等朋友打钱给我,Installment,106
等朋友钱到账还,Installment,106
等他还了我就还,Installment,106
等我电话，我自己处理,Installment,106
等我电话，我自己处理,Installment,106
等我发工资,Installment,106
等我有钱了肯定立马还,Installment,106
等我这批货卖出去的,Installment,106
等下马上去借,Installment,106
等下去银行,Installment,106
等一下去银行,Installment,106
等有空还,Installment,106
等月底,Installment,106
懂了,Installment,106
多少处理一部分,Installment,106
恩,Installment,106
嗯,Installment,106
发工资,Installment,106
发工资处理,Installment,106
发工资地吧,Installment,106
发工资就处理,Installment,106
发工资了，就先处理一部分,Installment,106
发奖金我就还,Installment,106
发了工资还,Installment,106
发了工资就还上,Installment,106
放心，我会还的,Installment,106
放心肯定还上,Installment,106
父母还没给答复,Installment,106
父母正在周转。,Installment,106
感谢,Installment,106
感谢啊,Installment,106
给我两个月吧,Installment,106
根据自己能力，先处理,Installment,106
跟我爸妈马上要钱,Installment,106
跟着就还,Installment,106
工程款还没下来,Installment,106
工程款没到手了。,Installment,106
工程款拿到就还。,Installment,106
工地几个月才发工资,Installment,106
工资马上到账,Installment,106
工资没法,Installment,106
工资延迟发了。,Installment,106
果断时间可以,Installment,106
过2天就还,Installment,106
过段时间在处理。,Installment,106
过几天就处理.,Installment,106
过两天,Installment,106
过两天才发工资,Installment,106
过年我才有钱,Installment,106
还,Installment,106
还吧,Installment,106
还的,Installment,106
还的了,Installment,106
还的起,Installment,106
还钱,Installment,106
还上就别联系我家人了,Installment,106
行，我知道了，你等我联系你,Installment,106
行嘛，那我去借点来先还到嘛,Installment,106
好，知道了,Installment,106
好的，我尽量,Installment,106
好的，我先去看看还一点,Installment,106
好的，我想想,Installment,106
好的，我再想想,Installment,106
好的，我知道了,Installment,106
好的，我知道了！,Installment,106
好的，知道了,Installment,106
好的好的，这个可以，没意思,Installment,106
好的明白了,Installment,106
好的谢谢提醒,Installment,106
好嘛，我知道了,Installment,106
好嘛好嘛，看你天天打，我就先还到点嘛,Installment,106
好像能,Installment,106
好像能把,Installment,106
后天,Installment,106
后天,Installment,106
后天吧,Installment,106
后天处理一部分,Installment,106
换一部分,Installment,106
回来就还,Installment,106
几天之内可以处理,Installment,106
家人处理,Installment,106
今天必须处理一部分,Installment,106
今天多少处理一点,Installment,106
今天多少都要处理一点。,Installment,106
今天工程款可能下来,Installment,106
今天可以处理1000剩下的下个月处理,Installment,106
今天可以还xxx,Installment,106
今天我再找人想想办法,Installment,106
今天下午,Installment,106
今天一分不处理的，是不可能的。,Installment,106
金额太高拿不出来，我只能先还一点,Installment,106
尽快,Installment,106
尽量全部处理的,Installment,106
就按照你说的,Installment,106
就这样吧,Installment,106
卡里有一点,Installment,106
可以，但是要等到下个月,Installment,106
可以，尽量想办法,Installment,106
可以，我凑,Installment,106
可以，我会行办法的,Installment,106
可以，我马上去借钱,Installment,106
可以啊,Installment,106
可以先还部分,Installment,106
可以选择,Installment,106
可以在**时间内,Installment,106
可以在短时间在还吗？,Installment,106
肯定还,Installment,106
老板钱没拿到，不确定什么发工资,Installment,106
立即,Installment,106
立刻,Installment,106
立刻，立刻。,Installment,106
马上,Installment,106
马上处理一部分,Installment,106
马上存钱,Installment,106
马上哈,Installment,106
马上换那个就还,Installment,106
马上马上哈。,Installment,106
马上去借钱,Installment,106
马上去银行,Installment,106
马上在银行,Installment,106
麦子卖了先还,Installment,106
没得多么大问题,Installment,106
没事，你放心吧,Installment,106
没问题，今天就能先处理一部分,Installment,106
明天,Installment,106
明天处理一点,Installment,106
明天的,Installment,106
明天就先处理一部分,Installment,106
明天可以还是啊吧,Installment,106
明天上午,Installment,106
明天上午11点前,Installment,106
明天我就有钱了,Installment,106
明天我就有钱了,Installment,106
目前只有5000,Installment,106
那就这样吧,Installment,106
那我办卡还,Installment,106
那我凑下钱,Installment,106
那我等下让朋友帮我处理,Installment,106
那我明天就先还部分,Installment,106
那我先还一点,Installment,106
那我先换一部分吧,Installment,106
那我月底发工资处理部分,Installment,106
能筹到钱吧,Installment,106
能到年底么,Installment,106
能减免，我就先还一点,Installment,106
你得等我先借点啊,Installment,106
你等着看好了,Installment,106
你放心,Installment,106
你放心说还就还,Installment,106
你跟某某某联系，我跟他说好了,Installment,106
你记一下这个电话，如果联系不到我，找他也可以,Installment,106
你说的我可以处理,Installment,106
年底之前,Installment,106
哦，好吧，就这样决定,Installment,106
哦，好吧，明天OK?,Installment,106
哦，好吧，月底给你交钱,Installment,106
朋友还没给答复,Installment,106
朋友还没给的答复,Installment,106
朋友还没有答复,Installment,106
朋友没给我,Installment,106
朋友说帮我凑点的,Installment,106
朋友转的还没到,Installment,106
朋友转过来就还上,Installment,106
钱凑好了联系你,Installment,106
钱到位，马上还,Installment,106
钱还没到位,Installment,106
钱马上到账了，你急什么！,Installment,106
钱已经在卡里了。,Installment,106
欠钱一定要还的,Installment,106
去存钱,Installment,106
去到银行存钱,Installment,106
去借下,Installment,106
去银行路上,Installment,106
让家里人去还,Installment,106
让朋友处理,Installment,106
三天,Installment,106
三天还,Installment,106
三天后,Installment,106
三天内,Installment,106
三天内哈,Installment,106
三天内呀,Installment,106
三天这样,Installment,106
稍等后,Installment,106
身上就2000,Installment,106
剩下明天,Installment,106
十五号,Installment,106
是的,Installment,106
是的吧,Installment,106
帅哥，帮帮忙喽，明天可以,Installment,106
随时都可以,Installment,106
随时随地,Installment,106
太好了,Installment,106
同事处理,Installment,106
晚上找朋友再去凑点,Installment,106
问家里人要把钱还上,Installment,106
问题？没有哈。,Installment,106
我把现有的先还了,Installment,106
我爸只给了500元,Installment,106
我到时候还全款,Installment,106
我的钱在外还没要回来,Installment,106
我等会就去,Installment,106
我等朋友打钱,Installment,106
我给老板打个电话,Installment,106
我跟朋友借,Installment,106
我跟朋友周转看看,Installment,106
我还的起,Installment,106
我还上联系你',Installment,106
我会处理的,Installment,106
我会尽快处理,Installment,106
我觉得可以,Installment,106
我姐只给我500元,Installment,106
我借点先还点,Installment,106
我借借看,Installment,106
我今天可以先还100元,Installment,106
我今天先还几百,Installment,106
我尽快处理,Installment,106
我尽快在这时间内处理,Installment,106
我尽量凑钱,Installment,106
我尽量在..时间处理部分！,Installment,106
我看能不能预支工资,Installment,106
我看一下金额，够的话马上处理,Installment,106
我可以还这一部分,Installment,106
我可以先处理一部分,Installment,106
我可以先处理一部分。,Installment,106
我可以先还100,Installment,106
我可以先还1000,Installment,106
我可以先还200,Installment,106
我可以先还346362,Installment,106
我可以先还3523,Installment,106
我可以先还356346,Installment,106
我可以先还364563,Installment,106
我可以先还400,Installment,106
我可以先还500,Installment,106
我可以先还600,Installment,106
我可以先还700,Installment,106
我可以先还800,Installment,106
我可以先还900,Installment,106
我可以先还xx，后面的在还,Installment,106
我可以先还xx元,Installment,106
我可以先还点,Installment,106
我可以先还一部分,Installment,106
我可以先还一部分，但是后期，我的欠款会不会变多,Installment,106
我可以先还一点,Installment,106
我马上就去借钱，借到立马还,Installment,106
我马上去借,Installment,106
我马上让别人转钱给我,Installment,106
我明天先还点,Installment,106
我明天先还几百,Installment,106
我能不能，今天先处理一部分明天在处理点,Installment,106
我能承受了,Installment,106
我能还100元，你们要不？,Installment,106
我能先还一部分,Installment,106
我能做到,Installment,106
我朋友只借给我1000元,Installment,106
我去凑,Installment,106
我去家里想办法先处理一点,Installment,106
我去借点钱,Installment,106
我去借点钱先处理一点,Installment,106
我去借借看,Installment,106
我去借看看,Installment,106
我去银行存钱,Installment,106
我去银行路上,Installment,106
我去预支工资处理一点,Installment,106
我去找朋友借看看,Installment,106
我让朋友处理,Installment,106
我实在是借不到了，等我发工资好吗,Installment,106
我说了十号你别打电话了！,Installment,106
我同意,Installment,106
我先处理一部分,Installment,106
我先处理一部分，剩下的帮我延期,Installment,106
我先给点,Installment,106
我先还1200,Installment,106
我先还1600,Installment,106
我先还2000,Installment,106
我先还2230,Installment,106
我先还3200,Installment,106
我先还4000,Installment,106
我先还5000,Installment,106
我先还900,Installment,106
我先还本金,Installment,106
我先还一部分,Installment,106
我先还一点,Installment,106
我先还一点进去,Installment,106
我现在存钱,Installment,106
我现在就去借款,Installment,106
我现在钱不够，先还一点，剩余的过几天处理,Installment,106
我现在去银行,Installment,106
我现在去银行了,Installment,106
我现在只能还200，不要的话就等等！,Installment,106
我想办法借钱,Installment,106
我要一次性还本金,Installment,106
我一定处理,Installment,106
我已经让财务打给我了，还没到呢,Installment,106
我月底先还点,Installment,106
我再凑凑,Installment,106
我再想想吧,Installment,106
我再想想法子,Installment,106
我在凑,Installment,106
我在打官司，工程款拿来就还,Installment,106
我在跟朋友借,Installment,106
我在排队,Installment,106
我在去银行的路上,Installment,106
我在日本，这两天回去就还,Installment,106
我在银行了,Installment,106
我找哥哥借钱还上,Installment,106
我找姐姐借钱还上,Installment,106
我找朋友借看看,Installment,106
我找朋友借一下不一定够,Installment,106
我这个月工资只剩2000，可以先还一部分,Installment,106
我正在想办法,Installment,106
我只能还几百,Installment,106
我周末先还点,Installment,106
我周转一下,Installment,106
我自己先处理一点,Installment,106
五天内还,Installment,106
下个星期,Installment,106
下个月,Installment,106
下个月吧,Installment,106
下个月一起,Installment,106
下午,Installment,106
下午吧,Installment,106
下午就先处理一部分,Installment,106
先处理500点，还要留点生活费,Installment,106
先处理几期,Installment,106
先处理一部分,Installment,106
先处理一部分还能,Installment,106
先还,Installment,106
先还部分,Installment,106
先还部分可以,Installment,106
先还点,Installment,106
先还那部分嘛，剩下的不行啊,Installment,106
先还那部分嘛，剩下的不行嗯,Installment,106
先还一部分,Installment,106
先还这些可以,Installment,106
先换一部分,Installment,106
现在,Installment,106
现在存钱,Installment,106
现在没钱先处理部分,Installment,106
现在没有钱，等发工资再说,Installment,106
现在我就去银行,Installment,106
想想,Installment,106
谢谢,Installment,106
谢谢你,Installment,106
星期一,Installment,106
要20天,Installment,106
要2天,Installment,106
要得，我知道,Installment,106
要得嘛，先还,Installment,106
要等发工资才可以处理部分,Installment,106
一个礼拜内,Installment,106
一个月,Installment,106
一个月处理500,Installment,106
一个月以后可以,Installment,106
一个月之内,Installment,106
一周,Installment,106
医疗保险下来就还,Installment,106
应该可以,Installment,106
应该可以，我争取还,Installment,106
应该可以吧,Installment,106
应该没问题,Installment,106
有点困难，我下个月才发工资,Installment,106
有多少处理多少,Installment,106
有钱就还了,Installment,106
有一个工程款要结有钱了立马还,Installment,106
预支工资,Installment,106
月底,Installment,106
月底·,Installment,106
月底处理一部分,Installment,106
月底发工资,Installment,106
月底发工资,Installment,106
月底能处理一部分,Installment,106
月底前,Installment,106
月末,Installment,106
月中,Installment,106
再等等等吧,Installment,106
再给几天吧,Installment,106
再过几个月,Installment,106
再想办法了,Installment,106
再想想,Installment,106
在存钱,Installment,106
在领工资,Installment,106
在明天12点之前处理一半,Installment,106
在排队,Installment,106
在去银行,Installment,106
在提现,Installment,106
在银行,Installment,106
在银行路上,Installment,106
在银行排队,Installment,106
在银行排队存钱呢,Installment,106
这部分，没有问题,Installment,106
这部分可以，延期到好久,Installment,106
这部分我还的起哈,Installment,106
这点钱我还的起,Installment,106
这点钱我可以还,Installment,106
这点钱我能还,Installment,106
这点我还是还得起,Installment,106
这点小钱我还是可以还的,Installment,106
这个号码我才换的,Installment,106
这个可以,Installment,106
这个可以的,Installment,106
这个可以有。,Installment,106
这个时间很合适,Installment,106
这还是可以的,Installment,106
这几天就行,Installment,106
这就对了,Installment,106
这些我还内个还得起,Installment,106
这样啊，我想办法,Installment,106
这样啊；这么短时间肯定没钱还；我再想想办法,Installment,106
这样勉强接受,Installment,106
这样子我就还的起了,Installment,106
这一点我还是有的,Installment,106
正在银行,Installment,106
只能还一点,Installment,106
只能每月还500,Installment,106
只有一部分,Installment,106
周末,Installment,106
资金到位就先处理一部分,Installment,106
最迟明天,Installment,106
最迟月底,Installment,106
最多先还五百,Installment,106
10号发工资,WillingToPay,106
13号,WillingToPay,106
15号发工资,WillingToPay,106
15号前,WillingToPay,106
20号发工资,WillingToPay,106
22号,WillingToPay,106
25号,WillingToPay,106
28号才能发工资,WillingToPay,106
2小时之内,WillingToPay,106
30号,WillingToPay,106
3天后,WillingToPay,106
5号发工资,WillingToPay,106
6号发工资,WillingToPay,106
7月份工程款下来还,WillingToPay,106
X号是吧，没问题,WillingToPay,106
保证,WillingToPay,106
保证还款,WillingToPay,106
别人欠我钱在要,WillingToPay,106
不超过八点,WillingToPay,106
不得赊账,WillingToPay,106
不行，这钱我需要我的工资和家人的工资，他们那时候不能发工资,WillingToPay,106
不忙了在处理。可好,WillingToPay,106
不缺钱,WillingToPay,106
不着急，这两天就还,WillingToPay,106
不知道过两天发不发工资,WillingToPay,106
财务说马上发工资,WillingToPay,106
差不多吧,WillingToPay,106
凑看看,WillingToPay,106
大后天,WillingToPay,106
大后天的,WillingToPay,106
贷款不知道什么时候下来。,WillingToPay,106
到过年的吧,WillingToPay,106
到时候发工资就处理,WillingToPay,106
到时候尽量处理点,WillingToPay,106
到时候可能不行，我找朋友再借一下吧,WillingToPay,106
到时候联系一定还,WillingToPay,106
到时候马上还,WillingToPay,106
到银行了,WillingToPay,106
等等处理,WillingToPay,106
等等会处理,WillingToPay,106
等等加还,WillingToPay,106
等等就处理,WillingToPay,106
等发工资,WillingToPay,106
等发工资处理,WillingToPay,106
等发工资的,WillingToPay,106
等发工资就处理,WillingToPay,106
等发工资就还上了,WillingToPay,106
等发工资了就还,WillingToPay,106
等发工资再说,WillingToPay,106
等父母给钱的,WillingToPay,106
等工程款结了就还,WillingToPay,106
等工程款下来还,WillingToPay,106
等工程款下来就会处理,WillingToPay,106
等过几天发工资,WillingToPay,106
等会处理,WillingToPay,106
等会的啊，就处理,WillingToPay,106
等会还,WillingToPay,106
等会就处理,WillingToPay,106
等会就存,WillingToPay,106
等会就去处理,WillingToPay,106
等借朋友的钱到账了,WillingToPay,106
