from,label,original_label,original_text,,
请求等下打来,2,104,我有事,104,
回问身份,2,107,再打就报警了,109,
IDClassifier,0,,现在忙不方便,104,
请求等下打来,2,104,你好，我在忙,2,
IDClassifier,1,,不然我要去报警,1,
IDClassifier,0,,2天,109,
IDClassifier,0,,斗是,0,
请求等下打来,2,104,我在吃饭,104,
请求等下打来,2,104,在高速上回家才能处理,2,
IDClassifier,1,,你找他有什么事,1,
IDClassifier,1,,等会再打,104,
IDClassifier,1,,发错了,1,
IDClassifier,1,,我是你大爷,109,
IDClassifier,1,,你在讲什么,103,
IDClassifier,0,,是我，别天天打电话烦不烦，再打报警了。挂机,0,
IDClassifier,1,,你是哪位,107,
故意岔开话题,2,109,家里人可以还吧,2,
IDClassifier,1,,干什么,101,
说出目的,2,101,什么事情啊,101,
IDClassifier,0,,现在忙,104,
IDClassifier,0,,你怎么有我号码的,107,
IDClassifier,1,,是你妈,1,
IDClassifier,0,,在开会,104,
回问身份,2,107,你是谁,2,
IDClassifier,1,,你睡觉没睡醒吧,109,
IDClassifier,0,,去一班玩去,109,
请求等下打来,2,104,我在班上,2,
IDClassifier,0,,good,0,
IDClassifier,0,,现在不空等会聊,104,
说出目的,2,101,就什么事情,2,
IDClassifier,1,,没听清，再说一遍,103,
说出目的,2,101,干嘛有什么事说,2,
不愿配合,2,110,烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,109,
IDClassifier,0,,怎么打都不接,109,
IDClassifier,0,,我现在在忙,104,
IDClassifier,1,,就不告诉你,109,
说出目的,2,101,你找这个人做什么？,2,
IDClassifier,1,,说,0,
IDClassifier,0,,我现在有事待会回你,104,
回问身份,2,107,你干嘛的啊,2,
请求等下打来,2,104,上班不能玩手机,2,
IDClassifier,1,,现在不方便,104,
IDClassifier,1,,是，哪位什么事,0,
IDClassifier,1,,手机号码刚刚办的,1,
说出目的,2,101,咦，咋个还有人找他也？你找他咋个事情？,101,
故意岔开话题,2,109,我好帅,2,
IDClassifier,0,,啥事,101,
IDClassifier,0,,啊我不认识你你要干什么,0,
请求等下打来,2,104,今天不行，明天吧,2,
请求重复,2,103,有,109,
IDClassifier,0,,后天,109,
IDClassifier,0,,等会我打给你,104,
IDClassifier,0,,你是干什么的,107,
IDClassifier,1,,我在打游戏不要骚扰我,0,
IDClassifier,0,,等一会嘛,104,
IDClassifier,0,,我不方便等下打给你,104,
请求等下打来,2,104,我在开会，不能接电话！,2,
IDClassifier,0,,你管我是谁,109,
IDClassifier,1,,再打报警,109,
IDClassifier,1,,坐牢了,1,
IDClassifier,1,,你们报警吧,109,
IDClassifier,1,,神经病,109,
说出目的,2,101,直接说事,2,
IDClassifier,0,,家里有人生病,109,
IDClassifier,1,,刚刚才换的电话,1,
IDClassifier,0,,别烦我,0,
请求等下打来,2,104,他等会就回来,2,
不愿配合,2,110,不知道,1,
说出目的,2,101,咋啦,101,
IDClassifier,0,,现在没时间,104,
说出目的,2,101,有事情就说,2,
IDClassifier,0,,现在不方便,104,
IDClassifier,0,,滚蛋,109,1
说出目的,2,101,有什么事吗，说,2,
不愿配合,2,110,我是你姥姥。,1,
IDClassifier,0,,忙哈～,104,
请求等下打来,2,104,等等会处理,2,
IDClassifier,0,,不要打过来了,0,1
说出目的,2,101,找他爪子事情？,2,
IDClassifier,0,,什么事说,101,
IDClassifier,0,,你是哪个哦,107,
IDClassifier,1,,上次不是跟你说过了，怎么又给我打电话,1,
请求重复,2,103,你找谁啊,2,
IDClassifier,1,,现在没有时间,104,
IDClassifier,1,,我是张亮,1,1
IDClassifier,0,,随你们吧,109,
IDClassifier,0,,关我什么事,1,1
IDClassifier,0,,我现在不方便接电话,104,
请求等下打来,2,104,在开车,2,
回问身份,2,107,嗯嗯，你谁啊,2,
IDClassifier,0,,说，什么事？,101,
请求等下打来,2,104,我现在忙，等会联系！,104,
IDClassifier,0,,在开车等等,104,
请求等下打来,2,104,等等就处理,2,
请求等下打来,2,104,他本人不在我帮你问一下吧,1,
故意岔开话题,2,109,可惜不是你,2,
说出目的,2,101,他不在，你找他什么事情？,2,
请求等下打来,2,104,我在学校,2,
IDClassifier,0,,我这边在山上,109,
IDClassifier,0,,十天内,109,
IDClassifier,0,,生病了,109,
说出目的,2,101,干什么？,2,
请求等下打来,2,104,晚点联系可以吗,2,
IDClassifier,1,,我是李四,1,1
IDClassifier,0,,我在山里,0,
IDClassifier,0,,有问题吗,101,
IDClassifier,0,,一会联系,104,
故意岔开话题,2,109,今天我很帅,2,
不愿配合,2,110,就是死,109,
IDClassifier,0,,等下再说，我现在忙,104,
IDClassifier,0,,你有什么事情吗,101,
回问身份,2,107,你是哪里啊,2,
IDClassifier,1,,跟我没关系,1,
回问身份,2,107,你是哪位,2,
请求等下打来,2,104,在开会在,2,
IDClassifier,0,,我就是你大哥，怎么先想起给我打电话了,0,
请求重复,2,103,怎么回事啊？,101,
IDClassifier,1,,你谁啊？,107,
请求重复,2,103,你找谁,2,
故意岔开话题,2,109,你好,0,
IDClassifier,0,,我在上课,104,
说出目的,2,101,有什么事直说,2,
IDClassifier,0,,正在上班，下班说,104,
IDClassifier,0,,我什么都不知道！,1,
IDClassifier,0,,yes,0,
回问身份,2,107,你是哪位？,2,
IDClassifier,1,,有毛病，没意思,1,
IDClassifier,1,,谁,107,
请求等下打来,2,104,他有事出去了,2,
说出目的,2,101,他正好不在，找他么子个事情？,2,
不愿配合,2,110,认识与否，我就在这里，你还能那我咋地,109,
IDClassifier,0,,晚上打给我,104,
说出目的,2,101,你找他干什么？,2,
IDClassifier,0,,我现在没空,104,
IDClassifier,1,,烦不烦,1,
IDClassifier,0,,我在收麦子,104,
IDClassifier,0,,等会联系,104,
IDClassifier,1,,你确定没打错？,1,
IDClassifier,1,,一会我转告给她,1,
请求等下打来,2,104,现在在忙,2,
IDClassifier,1,,在开车,104,
请求重复,2,103,张三？,1,
IDClassifier,1,,别打我电话,1,
IDClassifier,1,,再见,1,
IDClassifier,1,,的份张三额,109,
IDClassifier,0,,你们起诉，不要再打电话了,0,
IDClassifier,0,,你管我啊,1,
IDClassifier,0,,不要烦我,0,
故意岔开话题,2,109,我不开心,2,
请求等下打来,2,104,我在开会等等再打来,2,
IDClassifier,0,,我正在开会,104,
IDClassifier,0,,在开车不方便,104,
IDClassifier,0,,似的似的,0,
IDClassifier,1,,沉默不说话等你挂电话,1,
不愿配合,2,110,你认识他啊,1,
IDClassifier,0,,我才用的号,1,
IDClassifier,1,,又是找张三的,1,
请求等下打来,2,104,我在上班，下班说,2,
请求等下打来,2,104,我在开会哈～,2,
请求等下打来,2,104,待还再打,2,
请求等下打来,2,104,现在有事,2,
IDClassifier,1,,我是二大爷,1,
IDClassifier,0,,我现在在上班,104,
IDClassifier,0,,我不方便接你电话,104,
IDClassifier,0,,不好意思我还有事,104,
IDClassifier,1,,是你爸,1,
IDClassifier,1,,有病,1,
IDClassifier,0,,我现在不方便接听,104,
IDClassifier,0,,有什么事等会说，打游戏呢,104,
IDClassifier,0,,天天打电话来干嘛,0,
请求等下打来,2,104,我在忙现在没时间,2,
IDClassifier,0,,对但我不认识你呀,0,
IDClassifier,0,,等下打过来，在忙,104,
IDClassifier,0,,有什么事情快说,0,
IDClassifier,1,,是你妹,1,
请求等下打来,2,104,我在高速上,104,
请求等下打来,2,104,在开会·,104,
IDClassifier,0,,等会再回你电话，,104,
IDClassifier,0,,晚上联系,104,
IDClassifier,1,,老打电话干嘛,0,
IDClassifier,1,,你自己联系他,1,
请求等下打来,2,104,我在开车，有事等等说,2,
故意岔开话题,2,109,我是天下无敌超级无敌非常帅,2,
说出目的,2,101,有啥子事,2,
请求等下打来,2,104,手机放在宿舍了,109,
请求等下打来,2,104,后天打给我,104,
IDClassifier,1,,不知道，你哪里,107,
IDClassifier,0,,你说,0,
IDClassifier,1,,你管我是不是,109,
回问身份,2,107,你哪位？哪里凉快去哪里,2,
IDClassifier,0,,啥事,101,
回问身份,2,107,谁,2,
IDClassifier,0,,我在外面,104,
IDClassifier,0,,你是哪个呢,107,
IDClassifier,0,,什么事情？,101,
请求等下打来,2,104,我在高速上开车,2,
IDClassifier,0,,杂滴,101,
IDClassifier,1,,不要再乱打电话,1,
IDClassifier,0,,没能力,109,
IDClassifier,0,,打错了,1,
故意岔开话题,2,109,趁着夜还未央,2,
IDClassifier,1,,我在开车晚上打来,104,
请求重复,2,103,你找哪位,2,
IDClassifier,0,,有事快说有屁快放,0,
不愿配合,2,110,打错了,1,
IDClassifier,0,,现在很忙下班再说吧,104,
IDClassifier,0,,接过好多这样的电话,0,
IDClassifier,1,,有什么事,101,
不愿配合,2,110,他的事你直接去找他，别找我,1,
请求等下打来,2,104,我在开会,104,
IDClassifier,0,,你怎么找到我电话的,107,
请求等下打来,2,104,我待还联系你,104,
IDClassifier,1,,滚,1,
IDClassifier,1,,等会再打,104,
IDClassifier,0,,爪子？,101,
故意岔开话题,2,109,你好美,2,
IDClassifier,0,,有事啊？,0,
IDClassifier,1,,喂喂喂,103,
IDClassifier,1,,我有事晚上打给我,104,
说出目的,2,101,我是他朋友，你找他又什么事,1,
回问身份,2,107,你是谁?,2,
请求等下打来,2,104,我在高速上，挂了啊,2,
IDClassifier,0,,我这边有点事,104,
IDClassifier,1,,生病住院,109,
IDClassifier,0,,有何贵干,101,
IDClassifier,0,,我在付钱，不方便接电话,104,
IDClassifier,1,,我是她家人,1,
IDClassifier,0,,别再打我电话骚扰了,0,
说出目的,2,101,找我有什么事情吗,2,
请求等下打来,2,104,手机烂了,2,
故意岔开话题,2,109,这人怎么了,1,
IDClassifier,0,,等会打给我,104,
请求等下打来,2,104,现在忙,2,
IDClassifier,0,,我心情不太好下次再联系你,104,
IDClassifier,1,,在打，拉黑,0,
IDClassifier,1,,不要再骚扰我,0,
不愿配合,2,110,是与不是，你打电话干嘛,101,
IDClassifier,0,,一小时过后打给你,104,
IDClassifier,0,,晓得,109,
不愿配合,2,110,我不知道,109,
IDClassifier,0,,我在忙不方便说话,104,
请求等下打来,2,104,等会回复,2,
不愿配合,2,110,啊？,103,
IDClassifier,1,,我在开会，等会回你,104,
IDClassifier,0,,你哪里的？,107,
IDClassifier,0,,你打错了,1,
IDClassifier,1,,干嘛，我是谁干嘛告诉你,101,
IDClassifier,0,,一会儿再说,104,
IDClassifier,1,,在上班,104,
IDClassifier,0,,有什么事你说,101,
IDClassifier,0,,我在开车等下再说。,104,
IDClassifier,1,,烦不烦,1,
IDClassifier,0,,我在吃饭,104,
说出目的,2,101,是，怎么了,0,
IDClassifier,0,,有病吧,1,
IDClassifier,0,,啥子事,101,
不愿配合,2,110,不好意思，你打错电话了,1,
IDClassifier,1,,你找他干什么,101,
不愿配合,2,110,谁知道认识不认识,109,
回问身份,2,107,不知道你是谁？,2,
回问身份,2,107,鬼大爷晓得你不是债务公司的人啊,2,
IDClassifier,0,,你是谁你让拍拍贷联系我,107,
IDClassifier,0,,工作不能用手机,104,
不愿配合,2,110,你有病哇,1,
IDClassifier,0,,在上班了，领导在，不方便电话！,104,
不愿配合,2,110,不说话,1,
IDClassifier,1,,以前同事,1,
IDClassifier,0,,找他干嘛？,101,
IDClassifier,1,,是,0,
IDClassifier,0,,我好像不认识你,0,
不愿配合,2,110,别来惹我。,109,
IDClassifier,0,,现在忙等会回你,104,
请求等下打来,2,104,我在汽车站，都是喇叭,104,
IDClassifier,0,,啥干,101,
不愿配合,2,110,劳资就是不想说,109,
IDClassifier,1,,再打我电话起诉你们,1,
请求等下打来,2,104,我现在开车,2,
请求等下打来,2,104,我在吃饭，吃完饭就弄,2,
IDClassifier,1,,有什么事情吗,101,
IDClassifier,0,,明天我打你电话,104,
IDClassifier,0,,别打我电话，烦不烦,0,
IDClassifier,0,,怎么说,101,
请求等下打来,2,104,我在开会,2,
请求等下打来,2,104,我现在不方便,2,
请求等下打来,2,104,我在忙，,2,
说出目的,2,101,有事请讲,2,
IDClassifier,0,,我现在有事等等给你回电话,104,
说出目的,2,101,干嘛,2,
不愿配合,2,110,少来烦我，有病啊,0,
IDClassifier,0,,我不方便,104,
请求等下打来,2,104,我现在不方便接电话,2,
IDClassifier,1,,你要找谁,103,
IDClassifier,0,,你哪个？,107,
IDClassifier,0,,你是360贷款公司的吧,107,
不愿配合,2,110,不知道，你哪里,107,
说出目的,2,101,什么事？,2,
IDClassifier,1,,不是，你怎么有我电话的？,1,
IDClassifier,1,,有什么事情，他在忙，没得空接你的电话,1,
请求重复,2,103,能不能说大点,2,
故意岔开话题,2,109,开车了不知道,104,
回问身份,2,107,你哪里,2,
IDClassifier,1,,没在,1,
不愿配合,2,110,请说普通话,103,
IDClassifier,0,,你谁,107,
IDClassifier,0,,什么情况,101,
IDClassifier,0,,我在开车，等会再说吧,104,
IDClassifier,1,,哎呀，你说的什么，我不是,1,
回问身份,2,107,打错了,1,
IDClassifier,0,,我在忙等会,104,
IDClassifier,0,,你想干嘛,101,
不愿配合,2,110,你觉得我是，我就是呗,0,
请求等下打来,2,104,等会联系,2,
故意岔开话题,2,109,阿斯顿撒,2,
IDClassifier,1,,你们是不是有病,1,
IDClassifier,0,,晚点联系,104,
IDClassifier,0,,你是催收公司的工作人员么,107,
IDClassifier,0,,信号不好,103,
IDClassifier,0,,我在高速上有时间回你,104,
IDClassifier,1,,说过多少遍了,109,
IDClassifier,0,,我马上下载看看,109,
请求重复,2,103,哎,0,
IDClassifier,1,,自己找他,1,
IDClassifier,0,,等会回电话给你,104,
IDClassifier,0,,有事,104,
说出目的,2,101,有什么事情,2,
故意岔开话题,2,109,提债挂,2,
请求等下打来,2,104,一会儿说,2,
IDClassifier,0,,发给我也没用,109,
IDClassifier,1,,你不要再打电话骚扰我,0,
IDClassifier,1,,有事啊？,101,
IDClassifier,0,,你有什么事,101,
请求等下打来,2,104,他现在不在，你有事吗,1,
IDClassifier,1,,干嘛,101,
说出目的,2,101,认识，你找他什么事,2,
IDClassifier,1,,你在讲什么,103,
IDClassifier,0,,后天联系我,104,
IDClassifier,0,,他说不还，你们自己联系,1,
IDClassifier,0,,请报上你的大名,107,
IDClassifier,0,,在开会,104,
IDClassifier,0,,下班再说,104,
故意岔开话题,2,109,我怎么说。,2,
IDClassifier,1,,你哪位,107,
IDClassifier,0,,你要干什么,101,
IDClassifier,1,,你是谁,107,
IDClassifier,0,,我在开会，等会再说,104,
IDClassifier,1,,你是谁,107,
IDClassifier,0,,我有事，晚上打给我,104,
说出目的,2,101,嗯，咋了,0,
IDClassifier,1,,别找我,1,
说出目的,2,101,什么事,2,
IDClassifier,0,,你是哪里,107,
请求等下打来,2,104,不要烦我，我在忙,2,
IDClassifier,1,,是你大爷,1,
IDClassifier,0,,你说,0,
不愿配合,2,110,不知道了,109,
IDClassifier,0,,我在忙等会说,104,
不愿配合,2,110,能不能不要打我电话骚扰我，他管我什么事,1,
IDClassifier,0,,正在开车，晚点再打吧,104,
IDClassifier,1,,出去了,1,
请求等下打来,2,104,以后再说,2,
IDClassifier,0,,你等下在打过来，我现在有点忙。,104,
不愿配合,2,110,不关我的事,1,
IDClassifier,0,,在。,109,
IDClassifier,0,,我在高速上，晚点联系我,104,
IDClassifier,1,,搞错了，挂机,1,
IDClassifier,0,,现在忙,104,
说出目的,2,101,有什么事,2,
说出目的,2,101,请问找他干嘛,101,
IDClassifier,0,,让平安I贷来找我你算老几,107,
说出目的,2,101,找我有什么事情,2,
IDClassifier,0,,我在外地,0,
IDClassifier,0,,我在超市，有点吵,104,
IDClassifier,1,,张三谁啊,1,
请求重复,2,103,什么事？,101,
故意岔开话题,2,109,坐牢才出来,109,
IDClassifier,1,,我叫他给你回电话,1,
请求等下打来,2,104,在山上，等下山处理,2,
IDClassifier,1,,你怎么知道我号码,107,
IDClassifier,0,,有事吗,0,
请求重复,2,103,你他妈说啊,0,
回问身份,2,107,你说你是XX公司就是啊，杂证明啊？,2,
IDClassifier,1,,天天打电话麻烦核实,1,
IDClassifier,1,,别打电话给我,1,
说出目的,2,101,说,2,
说出目的,2,101,有什么事,2,
请求等下打来,2,104,他在开车,2,
IDClassifier,1,,联系不到,1,
IDClassifier,0,,现在忙,等会打给我,104,
IDClassifier,0,,你是谁,107,
IDClassifier,0,,你是谁怎么会有我的电话,107,
请求重复,2,103,啥事,101,
IDClassifier,0,,哪个？,107,
IDClassifier,0,,哪来我的号码的,107,
请求等下打来,2,104,我在上厕所,2,
IDClassifier,0,,等我下高速再说,104,
不愿配合,2,110,不晓得,1,
IDClassifier,0,,过一会你在打过来,104,
IDClassifier,0,,我是他姐姐,1,
请求等下打来,2,104,我在上山,2,
故意岔开话题,2,109,谁在乎蝴蝶的匆忙,2,
故意岔开话题,2,109,人血馒头不好吃,2,
IDClassifier,0,,直接说事,101,
故意岔开话题,2,109,我不买房,2,
IDClassifier,1,,去厕所,104,
请求重复,2,103,说什么事,101,
IDClassifier,0,,听不见,103,
请求等下打来,2,104,我在上班,2,
请求等下打来,2,104,下午给我联系吧,2,
IDClassifier,0,,晚上联系,104,
请求等下打来,2,104,现在忙没空,2,
IDClassifier,0,,现在不方便接电话，等会,104,
说出目的,2,101,你有什么事,2,
不愿配合,2,110,早干嘛去了,109,
IDClassifier,0,,请问什么事,101,
IDClassifier,1,,你说的谁,103,
请求等下打来,2,104,我有事了,2,
IDClassifier,1,,搞清楚在打我电话,1,
IDClassifier,1,,下次别打我电话,1,
请求等下打来,2,104,我在忙,2,
IDClassifier,1,,我是李大宝不是张二狗,1,
IDClassifier,0,,撒,103,
IDClassifier,0,,什么事情，没空,104,
IDClassifier,0,,你是谁,107,
请求等下打来,2,104,我知道了，等忙完再说,2,
故意岔开话题,2,109,可能啊,2,
IDClassifier,0,,有啥子事？,101,
不愿配合,2,110,你管我啊,109,
IDClassifier,0,,干什么,101,
IDClassifier,0,,有事吗,101,
请求等下打来,2,104,现在有事，没办法处理,2,
IDClassifier,0,,等会联系你,104,
IDClassifier,0,,正在开会，晚点打过去,104,
IDClassifier,0,,待会打给我,104,
说出目的,2,101,干嘛？,2,
请求等下打来,2,104,晚点联系,2,
IDClassifier,0,,说的撒额,103,
IDClassifier,0,,我认识你吗打我电话,107,
说出目的,2,101,啥事？,2,
不愿配合,2,110,打她电话，打我电话干嘛,1,
故意岔开话题,2,109,你帮我带一句话给他,2,
IDClassifier,1,,什么事,101,
IDClassifier,1,,认不到。,1,
说出目的,2,101,你是哪位？打电话有啥子？,2,
请求等下打来,2,104,好的，我知道了，我现在有事，等下打给你,2,
请求等下打来,2,104,现在有事等会再打我电话,2,
IDClassifier,0,,我在忙，没时间,104,
故意岔开话题,2,109,跟着我摇摆,2,
IDClassifier,0,,喂喂，谁啊！你说什么？听不懂,103,
IDClassifier,1,,不关我的事,1,
IDClassifier,1,,我姓张,1,
IDClassifier,1,,不要给我打电话了,1,
回问身份,2,107,谁？,2,
请求等下打来,2,104,我在上班等等再说,2,
不愿配合,2,110,我这里不是你要找的人,1,
说出目的,2,101,你和他是啥子关系,2,
IDClassifier,0,,我在加班,104,
回问身份,2,107,你是哪家银行？,2,
IDClassifier,1,,不说,1,
不愿配合,2,110,我都已经说了不认识了,1,
IDClassifier,0,,等会联系,104,
IDClassifier,0,,我现在很忙，稍后再打,104,
IDClassifier,0,,你是谁？,107,
IDClassifier,1,,你脑子进水了吧还打过来我不是,1,
IDClassifier,0,,我现在忙，没时间,104,
IDClassifier,1,,现在有点不方便,104,
IDClassifier,0,,你催什么催啊,109,
说出目的,2,101,我什么事情,2,
IDClassifier,0,,再打我就拉黑了,0,
IDClassifier,1,,我在忙,104,
IDClassifier,0,,有啥子事啦,101,
IDClassifier,0,,找他有什么事,101,
不愿配合,2,110,别给我打电话了，我不认识他,1,
IDClassifier,0,,啥子事情？,101,
请求等下打来,2,104,在忙,2,
IDClassifier,0,,等晚上回家再说,104,
IDClassifier,0,,稍后联系,104,
回问身份,2,107,已经有人联系过我了,0,
请求重复,2,103,在上班,104,
不愿配合,2,110,你有病啊,1,
IDClassifier,0,,干嘛告诉你,109,
请求重复,2,103,啊？,2,
IDClassifier,1,,你谁啊,107,
IDClassifier,0,,你等下再打我这边在忙。,104,
请求等下打来,2,104,我在开车，啪！,2,
不愿配合,2,110,不认识，不要再打过来了啊,1,
请求重复,2,103,啊,0,
IDClassifier,1,,你们骗子，挂,1,
IDClassifier,0,,你是来要钱的吗,0,
IDClassifier,1,,在开会,104,
请求等下打来,2,104,我在山顶上,2,
不愿配合,2,110,吃错药了吧,1,
IDClassifier,0,,你们经常打我电话我收到骚扰，我要投诉你们,1,
请求等下打来,2,104,他在忙,1,
请求等下打来,2,104,我在睡觉,2,
IDClassifier,1,,不起,1,
说出目的,2,101,你说是就是，有什么事快说,2,
说出目的,2,101,什么事，你打错了,1,
IDClassifier,1,,这人是鬼吧，我可不认识,1,
IDClassifier,0,,我是他的领导,1,
IDClassifier,1,,有病,1,
