from,label,original_label,original_text,,
IDClassifier,0,,我在山里,104,
IDClassifier,1,,挂了,1,
IDClassifier,1,,不认识,1,
故意岔开话题,2,109,吓死恩,2,
IDClassifier,0,,不要保险,109,
IDClassifier,0,,有什么事么？,101,
IDClassifier,1,,吃错药了吧,1,
故意岔开话题,2,109,大家都是靠运气吃饭，你们就去找下一个倒霉鬼吧,2,
请求等下打来,2,104,我在面试,2,
说出目的,2,101,我是他朋友，你找他又什么事,2,
IDClassifier,1,,有毛病，没意思,1,
故意岔开话题,2,109,不打错电话了哇,1,
IDClassifier,1,,跟我没关系,1,
IDClassifier,0,,我自己查APP挂断,0,
说出目的,2,101,你找这个人做什么？,2,
IDClassifier,0,,"我在忙, 1小时后打给我",104,
IDClassifier,1,,不说话,1,
IDClassifier,1,,联系不到,1,
IDClassifier,1,,你认识他吗？,1,
IDClassifier,1,,不说话,1,
回问身份,2,107,哪来我的号码的,2,
IDClassifier,0,,好的，好的，你说,0,
IDClassifier,1,,不认识,1,
IDClassifier,0,,皮本事借的钱，为什么要还。你爱起诉就起诉，上门就上门。,0,
IDClassifier,1,,滚,1,
故意岔开话题,2,109,我不知道,1,
IDClassifier,1,,我是张亮,1,
IDClassifier,1,,不认识,1,
故意岔开话题,2,109,不好意思，你打错电话了,1,
IDClassifier,1,,不要再乱打电话,1,
故意岔开话题,2,109,我不知道,1,
说出目的,2,101,他在办事，我可以转告,2,
说出目的,2,101,你说嘛,2,
故意岔开话题,2,109,小生的花伞还落在你家,2,
故意岔开话题,2,109,唉你好,0,
说出目的,2,101,说嘛,2,
请求等下打来,2,104,我在开车,2,
故意岔开话题,2,109,你他妈说啊,101,
IDClassifier,1,,烦不烦,1,
IDClassifier,0,,是又怎么样，你们高利贷，我不还,-1,
IDClassifier,0,,打打打，我明天就把这张卡注销了，看你们还怎么打,1,
IDClassifier,1,,不然我要去报警,1,
说出目的,2,101,有事啊？,2,
请求等下打来,2,104,大后天说,2,
故意岔开话题,2,109,滚，你们再打我就，信不信我让你们吃不了兜着走,1,
IDClassifier,1,,不要给我打了，不然我要投诉了,1,
故意岔开话题,2,109,我不确定,2,
IDClassifier,0,,你哪位？,107,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,我在忙,2,
IDClassifier,0,,啊哈,0,
IDClassifier,1,,打她电话，打我电话干嘛,1,
请求重复,2,103,干嘛,101,
IDClassifier,0,,就是我，找我啥子事,0,
故意岔开话题,2,109,你找他什么事,101,
故意岔开话题,2,109,坐牢了,2,
IDClassifier,1,,你谁啊，打错了,1,
说出目的,2,101,什么事,2,
IDClassifier,1,,我这里不是你要找的人,1,
请求等下打来,2,104,我在学校,109,
IDClassifier,0,,啥子事,101,
IDClassifier,1,,你们骗子，挂,1,
IDClassifier,0,,啊你找我要做什么我们似乎不认识,0,
请求等下打来,2,104,明天说,2,
请求等下打来,2,104,我现在有点忙,2,
说出目的,2,101,干嘛,2,
IDClassifier,0,,我在上班，下班聊,104,
IDClassifier,1,,神经病吧,1,
IDClassifier,1,,我都已经说了不认识了,1,
IDClassifier,1,,有毛病呢,1,
IDClassifier,1,,不认识,1,
说出目的,2,101,什么事,2,
IDClassifier,0,,我在打游戏不要骚扰我,104,
故意岔开话题,2,109,答对有奖励,2,
IDClassifier,1,,听不懂,1,
请求重复,2,103,喂你好你好,2,
请求等下打来,2,104,我在开会,2,
IDClassifier,0,,是撒,0,
IDClassifier,1,,什么事情？他现在不在，要不要我转告他？,1,
IDClassifier,0,,什么事情，说,101,
IDClassifier,0,,没错,0,
IDClassifier,0,,等会再打，我现在在忙,104,
说出目的,2,101,什么事,2,
请求等下打来,2,104,后天说,2,
IDClassifier,1,,你找我没用啊,1,
故意岔开话题,2,109,我是天下第一帅,2,
说出目的,2,101,找他干嘛？,2,
故意岔开话题,2,109,我听不懂,103,
IDClassifier,0,,有什么事情快说,101,
说出目的,2,101,找我干嘛,0,
IDClassifier,0,,提债就骂人,0,
IDClassifier,0,,有啥子事,101,
故意岔开话题,2,109,有女友,2,
故意岔开话题,2,109,你自己联系他,1,
IDClassifier,0,,你是哪位,107,
IDClassifier,1,,不关你事,1,
IDClassifier,1,,别打电话给我,1,
IDClassifier,0,,这样吧，多给我四天，我肯定能还,-1,
IDClassifier,1,,不认识,1,
IDClassifier,0,,是的，我在吃饭，等会再说,104,
IDClassifier,0,,你加我微信联系,0,
故意岔开话题,2,109,手机烂了,2,
IDClassifier,0,,老打电话干嘛,101,
IDClassifier,0,,我认识你吗,0,
IDClassifier,0,,你是哪位,107,
请求等下打来,2,104,我知道了，等忙完再说,2,
IDClassifier,0,,2天内可以,-1,
IDClassifier,0,,我没有贷,0,
IDClassifier,1,,不晓得,1,
说出目的,2,101,就是我，找我啥子事,2,
IDClassifier,0,,嗯我在吃饭待会打给你,104,
IDClassifier,0,,下班联系,104,
说出目的,2,101,怎么了,2,
IDClassifier,0,,是我，别天天打电话烦不烦，再打报警了。挂机,0,
请求等下打来,2,104,我在逛街,0,
说出目的,2,101,你说吧，什么事,2,
说出目的,2,101,我什么事情,2,
IDClassifier,1,,不要烦我,1,
说出目的,2,101,什么事,2,
IDClassifier,0,,有啥子事阿,101,
IDClassifier,1,,你找他什么事,101,
IDClassifier,0,,13号,-1,
IDClassifier,0,,我现在有事等会回复你,104,
说出目的,2,101,嗯嗯你要做什么,2,
IDClassifier,1,,不要再骚扰我了，不然我报警了,1,
IDClassifier,1,,你还打是吧,1,
IDClassifier,1,,打我多少遍电话了不认识,1,
IDClassifier,1,,不认识,1,
IDClassifier,1,,不认识,1,
回问身份,2,107,已经有人联系过我了,0,
IDClassifier,0,,你觉得我是，我就是呗,0,
故意岔开话题,2,109,我是你大爷,1,
说出目的,2,101,对，干嘛,101,
IDClassifier,0,,有什么事,101,
故意岔开话题,2,109,再打就报警了,1,
故意岔开话题,2,109,你怎么不去问他认不认识我啊？,1,
IDClassifier,0,,在忙有事快说,101,
IDClassifier,1,,不认识,1,
回问身份,2,107,你哪位,2,
IDClassifier,1,,你管我啊,1,
IDClassifier,1,,我不知道你说的是谁,1,
故意岔开话题,2,109,我是天下无敌超级无敌非常帅,2,
IDClassifier,1,,关我什么事,1,
请求等下打来,2,104,不要烦我，我在忙,2,
故意岔开话题,2,109,能不能别打我电话,1,
IDClassifier,1,,不认识,1,
IDClassifier,0,,我就是你大哥，怎么先想起给我打电话了,0,
IDClassifier,0,,你们起诉吧,-1,
IDClassifier,1,,你找张三干嘛,101,
IDClassifier,1,,有什么事情，他在忙，没得空接你的电话,101,
故意岔开话题,2,109,你是不是打错了,1,
IDClassifier,0,,你之前怎么不打电话,0,
请求等下打来,2,104,我在开会,2,
请求等下打来,2,104,我在开车,2,
IDClassifier,0,,你是哪位,107,
IDClassifier,0,,你从哪里拿到我电话的,107,
IDClassifier,1,,不认识,1,
IDClassifier,1,,你找他打我电话做什么,1,
IDClassifier,0,,你们起诉，不要再打电话了,0,
说出目的,2,101,怎么了？,2,
请求等下打来,2,104,我在开会,2,
故意岔开话题,2,109,我在上班,104,
请求等下打来,2,104,我在开会,2,
IDClassifier,0,,怎么老是打我电话,0,
故意岔开话题,2,109,不要给家打电话,1,
IDClassifier,1,,你找他什么事,101,
IDClassifier,0,,不要再骚扰我,1,
说出目的,2,101,怎么了找他干嘛,2,
IDClassifier,1,,你找他做啥,101,
IDClassifier,1,,不认识,1,
IDClassifier,0,,有事快说有屁快放,101,
IDClassifier,1,,不知道啊,1,
说出目的,2,101,你们是不是打错电话了,1,
请求重复,2,103,能不能说大点,103,
请求等下打来,2,104,他现在不在，你有事吗,101,
说出目的,2,101,快说嘛，我在开车,101,
故意岔开话题,2,109,神经病没5天能还？,-1,
故意岔开话题,2,109,电话费不要钱啊？天天乱打。,1,
故意岔开话题,2,109,你认识他啊,1,
请求重复,2,103,钱，什么啊啊,109,
IDClassifier,1,,不认识,1,
故意岔开话题,2,109,我不知道这是,1,
IDClassifier,1,,你是找某某得吧！,1,
说出目的,2,101,什么事,2,
故意岔开话题,2,109,老板拖欠N个月工资，后天就发了，肯定还！,-1,
IDClassifier,0,,现在没有钱,-1,
故意岔开话题,2,109,汽车还多啊,2,
请求等下打来,2,104,我在班上,2,
IDClassifier,0,,不要烦我,0,
IDClassifier,1,,正在开车,104,
故意岔开话题,2,109,今天我很帅,2,
请求重复,2,103,找我干嘛,101,
IDClassifier,0,,嗯，好的，转告试试,-1,
说出目的,2,101,我是他哥，有什么事情告诉我？,2,
IDClassifier,1,,没时间听你说,1,
请求等下打来,2,104,明天说,2,
IDClassifier,1,,不认识,1,
IDClassifier,0,,别再打我电话骚扰了,1,
IDClassifier,0,,我在忙,104,
IDClassifier,0,,我在公交车上,0,
故意岔开话题,2,109,不知道了,1,
IDClassifier,1,,不认识,1,
IDClassifier,1,,别打我电话，烦不烦？,1,
IDClassifier,1,,不认识,1,
故意岔开话题,2,109,实在是,2,
故意岔开话题,2,109,有病,1,
故意岔开话题,2,109,烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,1,
IDClassifier,0,,下班联系,104,
IDClassifier,1,,你去找他呀,1,
故意岔开话题,2,109,不说话,1,
故意岔开话题,2,109,请说普通话,103,
IDClassifier,0,,坐牢了,109,
IDClassifier,1,,我是他朋友，你找他又什么事,101,
请求等下打来,2,104,他在忙,2,
IDClassifier,0,,我在忙,104,
IDClassifier,1,,以前同事,1,
故意岔开话题,2,109,有病,1,
IDClassifier,0,,在忙，晚点电话,104,
IDClassifier,1,,你自己去找他,1,
回问身份,2,107,我猜你是打错了,1,
故意岔开话题,2,109,不认识，不要再打过来了啊,1,
IDClassifier,0,,坐牢了,109,
请求等下打来,2,104,我在睡觉,2,
故意岔开话题,2,109,不要骚扰了,1,
故意岔开话题,2,109,有毛病,2,
IDClassifier,0,,你说,101,
IDClassifier,1,,和你有关系吗,1,
IDClassifier,0,,爪子,101,
请求等下打来,2,104,我在上班,2,
IDClassifier,1,,下次别打我电话,1,
故意岔开话题,2,109,你好吗？,2,
故意岔开话题,2,109,有毛病哈哈哈,1,
说出目的,2,101,说,2,
IDClassifier,1,,不要打我电话,1,
IDClassifier,1,,我睡觉了你别打了不知道,1,
故意岔开话题,2,109,不知道啊,1,
IDClassifier,1,,不认识,1,
IDClassifier,0,,有什么事,101,
回问身份,2,107,你谁啊，找我有事吗,2,
IDClassifier,0,,你说吧,101,
故意岔开话题,2,109,不晓得,1,
故意岔开话题,2,109,可是一粒粮食是父母的希望啊,2,
故意岔开话题,2,109,这人怎么了,2,
IDClassifier,0,,你哪位,107,
IDClassifier,1,,是你爸,1,
故意岔开话题,2,109,我先洗个澡,104,
说出目的,2,101,什么事？,2,
IDClassifier,0,,我在上班，下午打过来,104,
说出目的,2,101,就什么事情,2,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,等我下班就去还,-1,
IDClassifier,0,,我不欠你们贷款,0,
故意岔开话题,2,109,我在睡觉别烦我,104,
IDClassifier,1,,你是不是找错人了,1,
IDClassifier,1,,说的,1,
IDClassifier,1,,我听不懂你说什么,1,
IDClassifier,1,,是朋友,1,
IDClassifier,0,,我现在有点忙,0,
IDClassifier,0,,22号,-1,
IDClassifier,0,,你说,101,
IDClassifier,1,,不要给我打电话了,1,
故意岔开话题,2,109,我是忘记还了，怎么操作,-1,
IDClassifier,1,,你有病哇,1,
IDClassifier,1,,不认识,1,
说出目的,2,101,干嘛？,2,
IDClassifier,0,,有事快点，我正忙呢,0,
IDClassifier,0,,嗯现在接电话不方便之后回你,104,
IDClassifier,1,,不认识,1,
说出目的,2,101,嗯？,2,
IDClassifier,0,,别烦我,1,
请求等下打来,2,104,我在汽车站，都是喇叭,2,
请求等下打来,2,104,他在开车,2,
IDClassifier,0,,哦,0,
故意岔开话题,2,109,哈哈嗯,2,
故意岔开话题,2,109,我难得还了,-1,
请求等下打来,2,104,我在开会,2,
故意岔开话题,2,109,今天我还不了,-1,
IDClassifier,0,,我在开会，过会再说,104,
IDClassifier,1,,不懂不认识,1,
说出目的,2,101,干嘛,2,
IDClassifier,1,,天天打电话麻烦核实,1,
说出目的,2,101,我不是，有什么事我可以转告,2,
IDClassifier,1,,女朋友,1,
IDClassifier,0,,骗子，天天打我电话,1,
请求重复,2,103,你找他什么事,101,
故意岔开话题,2,109,我好帅,2,
IDClassifier,0,,别打我电话，烦不烦,1,
IDClassifier,0,,明天上午,-1,
故意岔开话题,2,109,我在海上,2,
故意岔开话题,2,109,你觉得我是，我就是呗,0,
IDClassifier,0,,30号,-1,
请求重复,2,103,不好意思，,109,
说出目的,2,101,他欠了你们好多钱嘛,2,
IDClassifier,1,,我猜你是打错了,1,
IDClassifier,0,,你不要再打电话骚扰我,1,
请求等下打来,2,104,他等会就回来,2,
故意岔开话题,2,109,你有病啊,1,
回问身份,2,107,你说你是XX公司就是啊，杂证明啊？,2,
请求等下打来,2,104,他有事出去了,2,
IDClassifier,1,,你确定没打错？,1,
故意岔开话题,2,109,别给我打电话了，我不认识他,1,
故意岔开话题,2,109,嘿嘿嘿嗯,2,
说出目的,2,101,干嘛？,2,
IDClassifier,0,,我在开车不方便接听10分钟后联系,104,
IDClassifier,1,,不打错电话了哇,1,
IDClassifier,0,,嗯，咋了,0,
故意岔开话题,2,109,有毛病嗯,2,
故意岔开话题,2,109,不知道啊,1,
故意岔开话题,2,109,打她电话，打我电话干嘛,1,
回问身份,2,107,你哪位？,2,
说出目的,2,101,什么事，你打错了,1,
说出目的,2,101,什么事？,2,
IDClassifier,0,,在打，拉黑,1,
IDClassifier,1,,我是你大爷,1,
IDClassifier,0,,斗是,0,
IDClassifier,0,,现在有多家外债,0,
IDClassifier,0,,哎,109,
故意岔开话题,2,109,家里人可以还吧,2,
IDClassifier,0,,噢,0,
故意岔开话题,2,109,烦不烦,1,
IDClassifier,1,,走开别烦我,1,
IDClassifier,1,,不认识,1,
IDClassifier,1,,是你妈,1,
说出目的,2,101,你和他是啥子关系,107,
IDClassifier,0,,哎哎,0,
说出目的,2,101,什么事？,2,
故意岔开话题,2,109,我以前还别的都还多少,-1,
IDClassifier,0,,我在开会，开完会联系,104,
IDClassifier,1,,哈哈，打错了,1,
故意岔开话题,2,109,烦不烦,1,
IDClassifier,1,,发错了,1,
故意岔开话题,2,109,我是你大爷,1,
IDClassifier,0,,有啥事,101,
说出目的,2,101,找我有什么事,2,
IDClassifier,1,,别打我电话，啪！,1,
IDClassifier,0,,不是我贷的，被骗了,0,
IDClassifier,1,,不认识,1,
IDClassifier,1,,不起,1,
请求等下打来,2,104,我在上班，下班再说,2,
说出目的,2,101,你找他什么事,2,
请求等下打来,2,104,我在开会,2,
IDClassifier,0,,那个钱我现在还不起,-1,
IDClassifier,1,,不晓得,1,
IDClassifier,1,,能不能别打我电话,1,
故意岔开话题,2,109,人血馒头不好吃,2,
IDClassifier,0,,嗯，现在忙，等会回电给你,104,
请求等下打来,2,104,他本人不在我帮你问一下吧,2,
IDClassifier,0,,你他妈说啊,101,
IDClassifier,1,,你找他有什么事,101,
IDClassifier,0,,我在,0,
IDClassifier,0,,下班联系,104,
IDClassifier,1,,不晓得,1,
说出目的,2,101,怎么了,2,
IDClassifier,0,,有事啊？,101,
故意岔开话题,2,109,不说,1,
故意岔开话题,2,109,我是别个帮我办的,0,
请求重复,2,103,今天多少处理？,-1,
IDClassifier,1,,是个屁,1,
IDClassifier,1,,不要打这个电话了,1,
故意岔开话题,2,109,他的事你直接去找他，别找我,1,
故意岔开话题,2,109,不要骚扰我,1,
IDClassifier,1,,不认识,1,
IDClassifier,0,,你说,101,
故意岔开话题,2,109,我是她爸爸,1,
请求等下打来,2,104,今天不行，明天吧,104,
故意岔开话题,2,109,你打错了,1,
说出目的,2,101,怎么了，天天打我电话，,1,
说出目的,2,101,你找他事催款吗？,2,
说出目的,2,101,啊，怎么了？有事吗？,2,
故意岔开话题,2,109,我应该认识他吗,1,
IDClassifier,1,,搞错了，挂机,1,
故意岔开话题,2,109,你好美,2,
故意岔开话题,2,109,不管我的事,1,
IDClassifier,1,,再打我电话起诉你们,1,
回问身份,2,107,你是哪位,2,
故意岔开话题,2,109,我感冒了,2,
说出目的,2,101,我是他老公，你找她什么事,2,
故意岔开话题,2,109,是与不是，你打电话干嘛,1,
请求等下打来,2,104,我在忙,2,
回问身份,2,107,这个号码我才换的,1,
请求等下打来,2,104,等等会处理,-1,
请求等下打来,2,104,我在开会,2,
故意岔开话题,2,109,这个保证不了,-1,
请求等下打来,2,104,我在忙,2,
请求等下打来,2,104,我在上班,2,
请求等下打来,2,104,我在开车,2,
IDClassifier,0,,是，我在高速上，现在不能接电话,104,
IDClassifier,1,,别找我,1,
IDClassifier,0,,不要给家打电话,1,
IDClassifier,0,,我在外地,0,
说出目的,2,101,嗯哼，啥事,2,
说出目的,2,101,咦，咋个还有人找他也？你找他咋个事情？,2,
IDClassifier,0,,嗯，以后别打电话了，烦不烦。,0,
说出目的,2,101,有事情就说,2,
IDClassifier,0,,有什么事直接说,101,
IDClassifier,0,,唉呀,109,
IDClassifier,0,,有什么问题吗,101,
IDClassifier,0,,不要打我电话,1,
故意岔开话题,2,109,趁着夜还未央,2,
IDClassifier,1,,滚，你们再打我就，信不信我让你们吃不了兜着走,1,
IDClassifier,0,,有什么事直说,101,
IDClassifier,0,,我正在开车待会回电给你。,104,
请求等下打来,2,104,我在开车，先不说了,2,
IDClassifier,1,,不认识,1,
故意岔开话题,2,109,不说话,1,
故意岔开话题,2,109,不知道,1,
IDClassifier,0,,那你打我电话干嘛,101,
请求等下打来,2,104,我在忙，,2,
说出目的,2,101,怎么了？,2,
故意岔开话题,2,109,整不来关键是,2,
IDClassifier,0,,就是，你是哪个幺儿,107,
回问身份,2,107,今天已经接到好几个电话了,1,
请求等下打来,2,104,我在忙,2,
IDClassifier,0,,来了,0,
故意岔开话题,2,109,下班后去健身吧,2,
故意岔开话题,2,109,你找错人了,1,
故意岔开话题,2,109,你去问他,1,
故意岔开话题,2,109,开车了不知道,1,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,我在上班,2,
IDClassifier,1,,听不懂,1,
请求等下打来,2,104,有事先挂了,2,
说出目的,2,101,找我有什么事情吗,2,
故意岔开话题,2,109,有朋友,2,
IDClassifier,1,,搞清楚在打我电话,1,
故意岔开话题,2,109,自己找他,1,
IDClassifier,1,,不认识,1,
IDClassifier,0,,什么事哈哈哈,101,
故意岔开话题,2,109,自己找他,1,
IDClassifier,1,,不认识,1,
IDClassifier,1,,认不得。,1,
回问身份,2,107,打错了,1,
IDClassifier,1,,不认识,1,
IDClassifier,1,,本人不在,1,
IDClassifier,1,,滚,1,
IDClassifier,1,,认不到。,1,
IDClassifier,0,,你哪位,107,
故意岔开话题,2,109,我浪迹天涯,2,
IDClassifier,1,,不说,1,
故意岔开话题,2,109,你们哪里啊，怎么总骚扰我啊,0,
请求重复,2,103,你找哪位,2,
故意岔开话题,2,109,那你打算怎么处理？,2,
故意岔开话题,2,109,借给朋友用的,2,
IDClassifier,0,,你哪位,107,
IDClassifier,1,,没有联系,1,
故意岔开话题,2,109,跟着我摇摆,2,
IDClassifier,1,,我什么都不知道！,1,
IDClassifier,0,,我现在有点忙,0,
故意岔开话题,2,109,劳资就是不想说,1,
IDClassifier,1,,是你大爷,1,
IDClassifier,1,,正在开车,104,
IDClassifier,0,,有什么事。,101,
IDClassifier,1,,没在,1,
故意岔开话题,2,109,不要给我说土味情话,2,
IDClassifier,1,,有毛病,1,
请求等下打来,2,104,我在开会,2,
IDClassifier,1,,沉默不说话等你挂电话,1,
故意岔开话题,2,109,打打打，我明天就把这张卡注销了，看你们还怎么打,1,
IDClassifier,1,,张三谁啊,1,
请求等下打来,2,104,我在上班不要骚扰我,2,
IDClassifier,1,,能多给几天吗，我月底才发工资,-1,
说出目的,2,101,怎么，有事快说，我在开车,2,
IDClassifier,1,,我姓张,1,
请求等下打来,2,104,我在上班的路上,2,
故意岔开话题,2,109,你认识他吗？,1,
IDClassifier,1,,不认识,1,
说出目的,2,101,找我有什么事情,2,
IDClassifier,1,,不认识,1,
IDClassifier,1,,下个月吧，这个月没钱,-1,
请求等下打来,2,104,工作不能用手机,2,
IDClassifier,1,,他现在不在，你有事吗,101,
故意岔开话题,2,109,我想要的是无话不说,2,
IDClassifier,0,,不用你们管，我会还,-1,
IDClassifier,1,,不认识，不要再打过来了啊,1,
请求等下打来,2,104,开车,2,
故意岔开话题,2,109,你是不是有病啊！,1,
IDClassifier,0,,你打我电话干嘛,101,
IDClassifier,0,,有什么事赶紧说。我忙着呢。,101,
IDClassifier,0,,嗯哼，啥事,101,
请求等下打来,2,104,有时间找我,109,
IDClassifier,1,,你是不是打错了,1,
IDClassifier,0,,good,0,
回问身份,2,107,你是哪位啊？,2,
IDClassifier,1,,你找谁我不认识。,1,
IDClassifier,0,,有事说别墨迹,101,
IDClassifier,0,,我在忙,104,
IDClassifier,1,,不认识,1,
IDClassifier,0,,有什么事,101,
IDClassifier,1,,再打就报警,1,
IDClassifier,0,,有什么事,101,
故意岔开话题,2,109,不是本人，有病小医生,2,
IDClassifier,0,,没人联系我啊,0,
请求等下打来,2,104,我在开车,2,
故意岔开话题,2,109,手机放在宿舍了,2,
说出目的,2,101,说,0,
故意岔开话题,2,109,不对啊,1,
IDClassifier,0,,啥事儿？,101,
IDClassifier,0,,你哪里的？找我做什么,107,
IDClassifier,0,,我现在有事等会回复你,104,
故意岔开话题,2,109,雨下太大，没法去处理,-1,
故意岔开话题,2,109,我老帅了,2,
说出目的,2,101,是，怎么了,0,
IDClassifier,1,,不说话,1,
故意岔开话题,2,109,不是本人,1,
回问身份,2,107,你是谁，我不认识他。,1,
故意岔开话题,2,109,你打错了,1,
请求等下打来,2,104,我在开会,2,
IDClassifier,1,,你们神经病吧,1,
IDClassifier,0,,我在忙,104,
