label,split_text,classifier,new_label,comment,uncertain,name,criterion,predict_label,original_index
0,你 没事 吧,ConfirmLoan,1,,,sr,,0,757
1,我 一毛钱 都 没有 收到 过   哪里 借 的 钱 ？,ConfirmLoan,1,,,zl,,0,763
0,啥子 都 没得,ConfirmLoan,1,,,zl,,0,784
1,没这回事,ConfirmLoan,1,,,sr,,0,805
1,没有 的 事,ConfirmLoan,0,,,sr,,1,807
1,我 建议 你们 打电话 给 下 一个 欠款人   不要 在 我 这里 浪费时间 了,ConfirmLoan,1,,,zl,,0,824
0,你 催 什么 催 啊,ConfirmLoan,0,,,sr,,1,830
0,当时 借 的 时候   都 不是 这样 说 的,ConfirmLoan,0,,,sr,,1,842
0,你们 别 再 打 了   我 有钱 会 你们 的,ConfirmLoan,0,,,sr,,1,850
1,我 可 没有 欠 那么 多钱   你们 不要 胡说,ConfirmLoan,1,,,zl,,0,853
1,我家 有矿   我 还 借 你们 钱 ？,ConfirmLoan,1,,,zl,,0,862
1,好久 欠 了 这么 多钱 哦   我 都 不 晓得,ConfirmLoan,1,,,sr,,0,871
1,不 晓得   哪个 龟儿子 才 借 了 ！,ConfirmLoan,1,,,sr,,0,878
1,可不可以 滚远点   听到 你们 这些 鬼话 就 鬼火 冒,ConfirmLoan,1,,,sr,,0,894
0,我 想法子,ConfirmLoan,0,,,zl,,1,910
0,不 晓得,ConfirmLoan,1,,,sr,,0,914
1,鬼扯 哟,ConfirmLoan,1,,,sr,,0,934
1,滚   胎神,ConfirmLoan,1,,,sr,,0,938
0,我 记得 我 没有 欠 那么 多 呢,ConfirmLoan,0,,,zl,,1,943
0,家人 不 知道 帮不帮 我,ConfirmLoan,0,,,sr,,1,946
1,不关我事,ConfirmLoan,1,,,sr,,0,963
1,我 又 没 问 你 借钱   你 算 老几 哦 ？,ConfirmLoan,0,,,zl,,1,984
1,真 晦气     第几个 诈骗 电话 了 。,ConfirmLoan,1,,,zl,,0,987
1,你们 之前 不是 说 不算 利息 的 吗,ConfirmLoan,0,,,sr,,1,992
1,从 出生 到 现在 我 还 没 借过 钱,ConfirmLoan,1,,,sr,,0,996
0,你 说 的 是 2 万 越南盾 哇 ？,ConfirmLoan,0,,,sr,,1,999
0,其他人 的,ConfirmLoan,1,,,sr,,0,1015
1,别来 烦 我 ！ ！,ConfirmLoan,0,,,sr,,1,1057
1,我 借个 2000 块   你 说 我 借 了 2 万 ？,ConfirmLoan,0,,,zl,,1,1059
1,我 也 不 知道,ConfirmLoan,1,,,zl,,0,1078
1,你 说 多少 钱 ？ 那点 钱 老子 也 需要 借 ？,ConfirmLoan,1,,,sr,,0,1095
1,我 又 没 欠 你 钱,ConfirmLoan,0,,,zl,,1,1126
0,我 没 在家,ConfirmLoan,0,,,zl,,1,1133
1,真的 吗 ？,ConfirmLoan,1,,,zl,,0,1139
0,我 不 知道 多少 钱,ConfirmLoan,0,,,zl,,1,1148
1,想不起来 了 呢,ConfirmLoan,1,,,zl,,0,1161
0,我 身无分文,ConfirmLoan,0,,,zl,,1,1163
1,我 有钱   怎么 会 贷款,ConfirmLoan,1,,,zl,,0,1165
1,根本就是 无理取闹,ConfirmLoan,1,,,sr,,0,1170
1,我 是 土豪   没 贷过 款,ConfirmLoan,1,,,zl,,0,1187
1,我 之前 身份证 掉 过   都 很久没 用过 了,ConfirmLoan,1,,,zl,,0,1196
1,胡说,ConfirmLoan,1,,,sr,,0,1209
1,和 我 没关系   朋友 借 的,ConfirmLoan,0,,,sr,,1,1226
1,瞎说,ConfirmLoan,1,,,zl,,0,1229
