label,split_text,classifier,new_label,comment,uncertain,name,criterion,predict_label,original_index
0,我 卖房子 还,WillingToPay,0,,,tsl,,1,749
0,申请 吧   减免 后 就 还 上,WillingToPay,1,,endend,sr,,0,763
0,我过 几个 星期 搞定   请 你 别 再 骚扰 我,WillingToPay,0,,,sr,,1,764
1,要 上门 就 赶紧 的,WillingToPay,1,,,sr,,0,773
1,光脚 的 不怕 穿鞋 的,WillingToPay,1,,,sr,,0,783
0,我 保证,WillingToPay,0,,,tsl,,1,807
0,钱 已经 在 卡里 了 。,WillingToPay,0,,,tsl,,1,815
1,雨下 太大   没法 去 处理,WillingToPay,1,,,tsl,,0,836
0,  处理,WillingToPay,1,,,sr,,0,853
0,十五号 发工资 还,WillingToPay,0,,,sr,,1,886
1,赌赢 了   就 还,WillingToPay,1,,,zl,,0,890
0,我 三点 还,WillingToPay,0,,,sr,,1,906
0,我   还,WillingToPay,1,,,sr,,0,910
0,吃饭钱 还,WillingToPay,0,,,zl,,1,920
0,现在 在 转,WillingToPay,0,,,sr,,1,927
0,  哈,WillingToPay,0,,,zl,,1,936
2,再 扣点 就 马上 还 。,WillingToPay,1,,,sr,,0,953
0,  上午 11 点前,WillingToPay,0,,,tsl,,1,980
0,可以 哈,WillingToPay,0,,,sr,,1,1017
2,能 减免 的话   我 就 处理,WillingToPay,1,,,zl,,0,1018
0,我 已经 在 操作 还款 了 ！,WillingToPay,0,,,sr,,1,1019
0,钱 刚好 够,WillingToPay,0,,,tsl,,1,1028
1,发工资 就 处理,WillingToPay,1,,,tsl,,0,1035
0,要 得,WillingToPay,0,,,zl,,1,1061
1,没 问题 ？ 没 问题 才 怪 呢 ！,WillingToPay,1,,,zl,,0,1116
0,你 急 什么   已经 在 还 了,WillingToPay,0,,,zl,,1,1133
0,走开 马上,WillingToPay,1,,,zl,,0,1156
0,有钱   马上 还,WillingToPay,0,,,tsl,0.0,1,1162
0,哈哈 还,WillingToPay,0,,,sr,,1,1184
0,我 在 取钱 处理,WillingToPay,0,,,zl,,1,1211
0,嗯   这 两天 还,WillingToPay,0,,,zl,,1,1212
0,说到做到,WillingToPay,0,,,sr,,1,1215
0,会得   会得 。,WillingToPay,0,,,tsl,,1,1262
0,得   还,WillingToPay,0,,,tsl,,1,1264
0,我 下个星期 还,WillingToPay,0,,,sr,,1,1267
1,有 时间 就 处理,WillingToPay,1,,,zl,,0,1281
0,大   还,WillingToPay,0,,,zl,,1,1293
0,  还 了,WillingToPay,0,,,zl,,1,1321
0,必须 的,WillingToPay,0,,,zl,,1,1336
0,跟 我 朋友 周转   处理,WillingToPay,0,,,zl,,1,1354
0,我会 按时 还 钱 的,WillingToPay,0,,,zl,,1,1373
0,  全部 还清,WillingToPay,0,,,sr,,1,1374
1,钱 到 就 还,WillingToPay,1,,,sr,,0,1380
0,说到做到 。,WillingToPay,0,待确认,,zl,,1,1447
1,我 在 打官司   工程款 拿来 就 还,WillingToPay,1,,,sr,,0,1456
0,可以 嘛,WillingToPay,0,,,zl,,1,1478
0,  以后 可以,WillingToPay,0,,,tsl,,1,1481
0,  还者,WillingToPay,0,,,zl,,1,1485
0,这周 还,WillingToPay,0,,,sr,,1,1512
0,我家 人帮 我 还,WillingToPay,0,,,tsl,,1,1516
0,    已经 到 银行 了,WillingToPay,0,,,sr,,1,1520
0,行 吧   想 办法,WillingToPay,0,,,sr,,1,1542
0,明年 还,WillingToPay,0,有具体时间和愿意还款,,zl,,1,1543
0,没什么 问题 但是 要  ,WillingToPay,0,,,sr,,1,1551
0,过俩 天 处理,WillingToPay,1,,,sr,,0,1618
1,等 会 肯定 不行,WillingToPay,1,,,zl,,0,1642
0,OKOK,WillingToPay,0,,,tsl,,1,1644
1,会 还   需要 3 年,WillingToPay,0,,,sr,,1,1655
1,朋友 用 我 证件 办 的 等 我 朋友 还 钱 我 就 还,WillingToPay,1,,,tsl,,0,1687
1,发 奖金 我 就 还,WillingToPay,1,!,,tsl,,0,1696
0,我 说 了 十号 你别 打电话 了 ！,WillingToPay,0,,,sr,,1,1698
0,正在 转,WillingToPay,0,,,sr,,1,1710
0,家里 帮 我 换,WillingToPay,0,,,tsl,,1,1715
1,等 我 有空 在 处理,WillingToPay,1,,,sr,,0,1749
0,我   来 还,WillingToPay,0,,,zl,,1,1750
0,2 月 28 还,WillingToPay,0,,,zl,,1,1757
0,一定 能,WillingToPay,0,,,zl,,1,1774
0,发工资 处理,WillingToPay,1,讨价还价,,zl,,0,1828
0,自己 在 app 还,WillingToPay,0,,,sr,,1,1838
1,现在 没 钱   有钱 在 处理,WillingToPay,0,,,zl,,1,1871
0,我 这个 月 还 一半     还 另外 一半,WillingToPay,1,,,sr,,0,1888
0,年底 我 一次性 结清,WillingToPay,0,,,sr,,1,1892
1,这个 时间 内   肯定 有 问题,WillingToPay,1,,,sr,,0,1919
0,钱 马上 到位,WillingToPay,0,,,zl,,1,1971
2,本金 就 可以 还,WillingToPay,1,,,sr,,0,1973
0,年底 还给 你们 可以 吧 ？,WillingToPay,0,标错了,,sr,,1,1975
0,现在 还,WillingToPay,0,,,sr,,1,1997
0,等 会 就让 家人 帮 我 还,WillingToPay,0,,,tsl,,1,2050
1,我 死 了 就 马上 还 。,WillingToPay,1,,,sr,,0,2059
0,现在 在 弄,WillingToPay,0,,,tsl,,1,2113
0,  后 还,WillingToPay,0,,,tsl,,1,2133
1,这个 时间 内   问题 大 了,WillingToPay,1,,,sr,,0,2148
1,有钱 一定 处理,WillingToPay,1,,,tsl,,0,2174
1,有钱 会 处理,WillingToPay,1,,,zl,,0,2206
0,我   还,WillingToPay,0,,,tsl,,1,2207
0,已经 在 操作 了,WillingToPay,0,,,tsl,,1,2230
0,老板 拖欠 N 个 月工资     就 发 了   肯定 还 ！,WillingToPay,0,,,sr,,1,2249
0,行 呢   我 朋友 说 今晚 借给 我滴,WillingToPay,0,,,tsl,,1,2257
0,  还   没意思,WillingToPay,0,,,sr,,1,2281
1,我 外面 钱要 来 就 还,WillingToPay,1,,,sr,,0,2283
0,晓得   晓得     第一 时间 还哈 。,WillingToPay,0,,,zl,,1,2294
0,等 下 找 家里 要钱 还,WillingToPay,0,,,tsl,,1,2303
0,可以   到时候 你 联系 我,WillingToPay,0,,,sr,,1,2307
1,好   等 太阳 从 西边 出来 了 就 还 。,WillingToPay,1,,,zl,,0,2337
1,想 处理 会 自己 处理 的,WillingToPay,1,,,sr,,0,2346
1,处理 不上,WillingToPay,1,,,zl,,0,2355
0,不用 到 那天 我 就 联系 你 还款,WillingToPay,0,,,tsl,,1,2377
0,我   处理,WillingToPay,1,,,tsl,,0,2436
0,我   还,WillingToPay,0,,,zl,,1,2461
0,嗯   正确   还 钱 了,WillingToPay,0,,,zl,,1,2468
0,到时候 借 也 还 上,WillingToPay,0,,,zl,,1,2481
2,之前 工作 太忙 忘 了 时间   能免 滞纳金 不 ？ 我 马上 就 还,WillingToPay,1,,,sr,,0,2492
0,可以 在 规定 时间 内 呀,WillingToPay,0,,,sr,,1,2511
0,  还,WillingToPay,1,,,sr,,0,2590
1,分 几次 还,WillingToPay,1,,,sr,,0,2606
