split_text,classifier,label
不还太高了,Installment,1
两天不行啊，我现在没钱,Installment,1
两天内，没问题,Installment,0
两天时间可以还。,Installment,0
两天时间还不上。,Installment,1
两月之内处理,Installment,0
中午还,Installment,0
为什么你们要逼我呢,Installment,1
为什么你们要逼我嗯,Installment,1
为什么你们要逼我没意思,Installment,1
为什么你们要逼我者,Installment,1
为什么你们要逼我，没意思,Installment,1
也不差这几天,Installment,1
五分钟，已经到银行了,Installment,0
五点之前,Installment,0
五点之前绝对能还上！,Installment,0
人家不一定借给我,Installment,1
今天下午不行,Installment,1
今天下午钱到一定还,Installment,0
今天下班我先把这个先还了,Installment,0
今天不一定发工资,Installment,1
今天不可能的,Installment,1
今天不能！,Installment,1
今天不行,Installment,1
今天不行能不能在等等,Installment,1
今天不行，我尽快吧,Installment,1
今天不行，我尽快试试,Installment,1
今天不行，明天吧,Installment,1
今天不行，明天吧,Installment,1
今天不行，明天吧,Installment,1
今天不行，明天啦,Installment,1
今天不行，过几天再说,Installment,1
今天不行，那啥来了,Installment,1
今天估计还不了,Installment,1
今天只能处理200,Installment,1
今天只能处理一点！,Installment,1
今天可以还的,Installment,0
今天可能还不上,Installment,1
今天处理不了这么多，我想想办法吧！,Installment,1
今天就办,Installment,0
今天就还,Installment,0
今天我不一定能还啊,Installment,1
今天晚上处理,Installment,0
今天有事,Installment,1
今天没办法,Installment,1
今天没得时间了，也没得钱,Installment,1
今天没时间,Installment,1
今天没有,Installment,1
今天没有发工资，不行,Installment,1
今天没有时间,Installment,1
今天没有明天的吧,Installment,1
今天没有明天的吧,Installment,1
今天没这么多,Installment,1
今天没钱,Installment,1
今天肯定换换,Installment,0
今天能够还xxx,Installment,0
今天能还,Installment,0
今天能还xxx,Installment,1
今天还不了,Installment,1
今天还不了的,Installment,1
今天这部分，没有问题,Installment,0
今天，可以,Installment,0
今晚10点之前,Installment,0
以后还的更多,Installment,1
优惠力度那么小，算了,Installment,1
会处理好的,Installment,0
会处理，但现在没钱,Installment,1
会得，会得。,Installment,0
估计不行,Installment,1
估计要三五个月的,Installment,1
但是打死了说不定也没钱,Installment,1
你不是认真的吧,Installment,1
你不给我减免我就不还,Installment,1
你们利息太高了。,Installment,1
你们报警吧,Installment,1
你们是高利贷哦，这么多利息,Installment,1
你们简直是高利贷哦呢,Installment,1
你们简直是高利贷哦哈,Installment,1
你们简直是高利贷哦没意思,Installment,1
你们简直是高利贷哦阿,Installment,1
你们简直是高利贷哦，没意思,Installment,1
你借钱给我,Installment,1
你做梦呢？2天,Installment,1
你先让我们看到你还款诚意,Installment,1
你再多减点噻，一点诚意者没得啦,Installment,1
你再多减点噻，一点诚意者没得嗯,Installment,1
你再多减点噻，一点诚意者没得没意思,Installment,1
你再多减点噻，一点诚意者没得阿,Installment,1
你再多减点噻，一点诚意者莫得,Installment,1
你再多减点噻，一点诚意者莫得吧,Installment,1
你再多减点噻，一点诚意者莫得呀,Installment,1
你再多减点噻，一点诚意者莫得哈,Installment,1
你再多减点噻，一点诚意者莫得没意思,Installment,1
你再多减点噻，一点诚意者莫得，没意思,Installment,1
你再怎么催，没钱就是没钱,Installment,1
你去起诉吧,Installment,1
你又在开玩笑了，我像是有钱的人吗？,Installment,1
你听不懂人话嗦，跟你说了没钱的，紧到催，还不到就还不到。,Installment,1
你在这基础上再延期一个月，我可能能还,Installment,1
你帮我减免弄好了我马上还进去,Installment,0
你帮我想办法,Installment,1
你弄好了再说,Installment,1
你急什么,Installment,1
你急什么，已经在还了,Installment,0
你急啥啊,Installment,1
你打死我吗,Installment,1
你放心吧,Installment,0
你放心吧。我现在在路上,Installment,0
你放心啥。,Installment,0
你放心，我准时还进去,Installment,0
你等我这个月来还吧,Installment,0
你等我问问,Installment,1
你给我点时间,Installment,1
你要是不同意，那我也没办法了，我能想的只有这么多了，不行拉到,Installment,1
你要是还要这么高,Installment,1
你要给我时间去借啊！,Installment,1
你觉得我能还得起么,Installment,1
你认真的吗这么短的时间,Installment,1
你说怎么办嘛，没钱,Installment,1
你说的我能处理,Installment,0
你说的是2万越南盾哇？,Installment,1
你说的有点多啊,Installment,1
你这简直是在为难我,Installment,1
依然还不了,Installment,1
保证,Installment,0
保证处理,Installment,0
保证没问题,Installment,0
保证还上,Installment,0
保证还款,Installment,0
保险还没下来,Installment,1
俺一定还,Installment,0
俺不会还,Installment,1
俺不可以还,Installment,1
俺不得还,Installment,1
俺不想还,Installment,1
俺不能还,Installment,1
俺不还,Installment,1
俺今儿就还,Installment,0
俺可以还,Installment,0
俺明儿还,Installment,0
俺绝对还,Installment,0
俺肯定还,Installment,0
俺过两天还,Installment,1
俺还不了,Installment,1
借不了钱,Installment,1
借不到,Installment,1
借不到这么多钱,Installment,1
借不到钱,Installment,1
借了那么久，找不着钱。,Installment,1
借到就处理,Installment,1
做梦去吧。,Installment,1
催你吗啊，老子不还了,Installment,1
催催催，欠你了好多啊,Installment,1
兄弟，都帮了这么多了，再多帮一下嘛？,Installment,1
先减吧，真的减了我马上就去还,Installment,1
先处理一点，下个月全部处理掉,Installment,1
先换上吧,Installment,0
先表达一个诚意,Installment,1
先还一点,Installment,1
先还一部分可以,Installment,1
先还二百,Installment,1
先还这可以,Installment,0
先还那部分嘛，剩下的不行呢,Installment,1
先还那部分嘛，剩下的不行呢,Installment,1
先还那部分嘛，剩下的不行没意思,Installment,1
先还那部分嘛，剩下的不行，没意思,Installment,1
全欠很多钱,Installment,1
全额结清,Installment,0
公司工资一直没发。,Installment,1
公司帐上都没有钱了，怎么给你嘛,Installment,1
公司拖工资了，还没发呢，发了我第一时间还哈。,Installment,1
再免点嘛。,Installment,1
再去借,Installment,1
再和领导说说？,Installment,1
再商量哈嘛。,Installment,1
再多些时间吧,Installment,1
再多几天啥。,Installment,1
再多给几天吧帮帮忙,Installment,1
再多给几天时间吧,Installment,1
再多给点时间,Installment,1
再宽容些嘛,Installment,1
再宽限一个月,Installment,1
再宽限两天,Installment,1
再宽限几天,Installment,1
再宽限十年,Installment,1
再宽限点时间吧,Installment,1
再少点,Installment,1
再少点没钱,Installment,1
再延期一下吧,Installment,1
再延期两个月吧,Installment,1
再延期两年吧,Installment,1
再延期久一点,Installment,1
再延长一点,Installment,1
再拖拖,Installment,1
再来一个月,Installment,1
再看看,Installment,1
再等两天,Installment,1
再等几天吧,Installment,1
再给个机会，下个月嘛,Installment,1
再给我一点时间,Installment,1
再给我三个月，三个月之后我一定连本带利一起还，你看行吗,Installment,1
再给我几天时间,Installment,1
再给我几天时间吧,Installment,1
再给我几天！,Installment,1
再给我拖几天,Installment,1
再给点时间,Installment,1
再缓两天啥。,Installment,1
再说,Installment,1
再说吧,Installment,1
减免太少了,Installment,1
减免太少了，能在多减免一下么，实在还不了,Installment,1
减免太少了，能在多减免一下么，实在还不了 ,Installment,1
减免太少了，能在多减免一下么，实在还不了也,Installment,1
减免太少了，能在多减免一下么，实在还不了呢,Installment,1
减免太少了，能在多减免一下么，实在还不了哈,Installment,1
减免太少了，能在多减免一下么，实在还不了哈哈哈,Installment,1
减免太少了，能在多减免一下么，实在还不了阿,Installment,1
减免的太少了,Installment,1
凑不到,Installment,1
凑不齐,Installment,1
分期了我也还不起啊,Installment,1
分期时间能长点吗,Installment,1
分期还,Installment,1
刚上班，还没发工资。,Installment,1
刚下岗，不然你们给介绍个工作，从工资里扣,Installment,1
刚买的号码,Installment,1
利息太多,Installment,1
利息能少点吗？我想想办法凑一下！,Installment,1
利息高,Installment,1
利息高了,Installment,1
利息高啊？,Installment,1
别人也少我钱,Installment,1
别人家还有好多欠款呢，还不了,Installment,1
别人还没还我钱了,Installment,1
别催我了，我有钱就会还的,Installment,1
别打我电话，我有钱联系我,Installment,1
别给我打电话了,Installment,1
到时候一定处理,Installment,0
到时候一起还上,Installment,0
到时候借也还上,Installment,0
到时候再说,Installment,1
到时候发工资就处理,Installment,1
到时候可能不行，我找朋友再借一下吧,Installment,1
到时候我肯定还进去,Installment,0
到时候我自己还进去,Installment,0
到时候看看吧,Installment,1
到时候马上还,Installment,0
到时再说,Installment,1
到时我去处理,Installment,0
到时间就还了,Installment,0
到时间肯定还,Installment,0
到月底行不行,Installment,1
到期之前，一定还,Installment,0
到期就还,Installment,0
到那天再联系,Installment,1
到银行打钱,Installment,0
前一天就处理,Installment,0
剩下的下个月还,Installment,0
剩下的慢慢还,Installment,1
办不到,Installment,1
十五号发工资还,Installment,0
十天之内才能处理！,Installment,0
十天之内肯定处理,Installment,0
十天内,Installment,0
十年之后，都还不起,Installment,1
半个月不行,Installment,1
半小时之后处理,Installment,0
半小时就还,Installment,0
双手赞成,Installment,0
反正打不打都没钱,Installment,1
发工资再说吧,Installment,1
发工资处理一部分,Installment,1
发工资就还,Installment,1
发生了点事，处理不了,Installment,1
只有这么多，,Installment,1
只有这些,Installment,1
只有这点,Installment,1
只能先处理一部分,Installment,1
只能先还一部分,Installment,1
只能先还二百,Installment,1
只能分期,Installment,1
只能有钱才还,Installment,1
只要不打死，还是没钱,Installment,1
只要能延期，先处理一部分可以,Installment,0
只要能延期，我马上就处理,Installment,1
可以,Installment,0
可以.谢谢,Installment,0
可以2天时间啊，绝对没有问题,Installment,0
可以。,Installment,0
可以一个小时以后就处理,Installment,0
可以下个星期么,Installment,0
可以下个月么,Installment,0
可以下个月还吗,Installment,0
可以不还吗,Installment,1
可以先还,Installment,0
可以先还，但是剩下的没钱了呢,Installment,1
可以先还，但是剩下的没钱了哈,Installment,1
可以先还，但是剩下的没钱了哈哈哈,Installment,1
可以先还，但是剩下的没钱了啦,Installment,1
可以先还，但是剩下的没钱了，没意思,Installment,1
可以再多几期吗,Installment,1
可以再宽限几天吗,Installment,1
可以再宽限几日吗,Installment,1
可以再少一点么,Installment,1
可以再延久一些吧？我实在没钱还,Installment,1
可以再延期一个月么,Installment,1
可以再延期一点么,Installment,1
可以再延期一点吗,Installment,1
可以再延期久一点,Installment,1
可以再延期久一点么,Installment,1
可以再延期久一点么 ，我钱不够，实在还不了,Installment,1
可以再延期久一点么 ,Installment,1
可以再延期久一点么呢,Installment,1
可以再延期久一点么哈,Installment,1
可以再延期久一点么没意思,Installment,1
可以再延期久一点么阿,Installment,1
可以再延期吗,Installment,1
可以再推迟几天吗,Installment,1
可以可以,Installment,0
可以可以，现在去银行。,Installment,0
可以后天么,Installment,0
可以哈,Installment,0
可以在xx天内还,Installment,0
可以在加长一点时间吗,Installment,1
可以在少一点么,Installment,1
可以在少一点吗,Installment,1
可以在帮我申请减免一点吗,Installment,1
可以在延期久一点么,Installment,1
可以在延期久一点吗,Installment,1
可以在延迟一点吗,Installment,1
可以在等一下吗,Installment,1
可以在规定时间内呀,Installment,0
可以多延期久一点吗,Installment,1
可以太好了,Installment,0
可以奥,Installment,0
可以少一点,Installment,1
可以少一点吗,Installment,1
可以少还一些吗,Installment,1
可以少还一点,Installment,1
可以少还一点吗,Installment,1
可以少还一点哈,Installment,1
可以少还一点啊,Installment,1
可以少还一点没意思,Installment,1
可以少还一点，没意思,Installment,1
可以少还一部分吗,Installment,1
可以少还吧,Installment,1
可以少还点么,Installment,1
可以少还点吗,Installment,1
可以少还点吗？,Installment,1
可以帮我多延期一个月吗,Installment,1
可以延可以延期久点吗,Installment,1
可以延期一点吗,Installment,1
可以延期久一点吗,Installment,1
可以延期久点吗,Installment,1
可以延期久点吗v,Installment,1
可以延期久点吗可以延期久点吗,Installment,1
可以延期吗,Installment,1
可以延期在久一点吗,Installment,1
可以延期长点吧,Installment,1
可以弄了,Installment,0
可以接受,Installment,0
可以推迟点吗,Installment,1
可以明天处理吗,Installment,0
可以明天处理吗,Installment,0
可以明天还吗,Installment,0
可以明天还吗,Installment,0
可以月底么,Installment,0
可以月底嘛,Installment,0
可以的,Installment,0
可以的。我明天处理,Installment,0
可以的，先还一点,Installment,0
可以的，我等会就还进去,Installment,0
可以的，没问题,Installment,0
可以的，绝对没问题,Installment,0
可以的，这个时间段内可以还了,Installment,0
可以的，这个欠款，待会就处理,Installment,0
可以相信,Installment,0
可以等2453天吗,Installment,1
可以等2554天吗,Installment,1
可以等3454天吗,Installment,1
可以等345天吗,Installment,1
可以等4534天吗,Installment,1
可以等5245天吗,Installment,1
可以等52天吗,Installment,1
可以等535天吗,Installment,1
可以等5天吗,Installment,1
可以等凑到钱么,Installment,1
可以等半年后再还吗,Installment,1
可以等天3吗,Installment,1
可以等资金到位么,Installment,1
可以等过几天的么,Installment,1
可以过几天么,Installment,1
可以还,Installment,0
可以还了,Installment,0
可以还得了啊，你在开玩笑吧,Installment,1
可以迟一点么,Installment,1
可以选择,Installment,0
可以，下午就能还,Installment,0
可以，今天就还,Installment,0
可以，你到时候直接查账单,Installment,0
可以，可以。,Installment,0
可以，就这样吧,Installment,0
可以，我下班就去,Installment,0
可以，我在两天以内处理,Installment,0
可以，没问题,Installment,0
可以，绝对没问题,Installment,0
可以，肯定办到,Installment,0
可以，肯定没问题,Installment,0
可以，那我先还一部分进去。,Installment,0
可以，那我先还这部分钱，还在我能力范围之内,Installment,0
可以，那我就先还上吧,Installment,0
可以，非常感谢,Installment,0
可以，马上就还,Installment,0
可以，麻烦了,Installment,0
可能不太行,Installment,1
可能不行,Installment,1
可能不行，我的工程结束以后可能会拖延几天,Installment,1
可能不行，我的房子贷款可能下不来,Installment,1
可能处理不了,Installment,1
可能还不上,Installment,1
可能还不了,Installment,1
可能还不了，最近遇到点事情,Installment,1
可能还是不行,Installment,1
吃饭都成问题,Installment,1
同意,Installment,0
后天三点之前一定还,Installment,0
后天也不行,Installment,1
后天可能不行,Installment,1
后天处理,Installment,0
后天就去,Installment,0
后天就可以,Installment,0
后天就还，你急啥,Installment,0
后天换（还）,Installment,0
后天还,Installment,0
后天还呢,Installment,0
后天还完,Installment,0
后年再说,Installment,1
后面的，发工资再还,Installment,1
周一财务来处理,Installment,0
周转不过来,Installment,1
哇，可以啊,Installment,0
哈 好啊,Installment,0
哈哈，可以,Installment,0
哥，也不差这两天啥。,Installment,1
"哦，好吧,听你的",Installment,0
哦，好吧，明天还,Installment,0
哦，才一个月不行,Installment,1
哪来的钱还啊,Installment,1
嗯嗯好的,Installment,0
嗯嗯，好的,Installment,0
嗯，可以,Installment,0
嗯，好,Installment,0
嗯，好的,Installment,0
嗯，那我先还这部分钱,Installment,0
噢噢，好的谢谢，可以,Installment,0
四天内还,Installment,0
因为有事还不了,Installment,1
困难啊换不起,Installment,1
在国外,Installment,1
在多给几天,Installment,1
在宽限几天,Installment,1
在少一点,Installment,1
在延期1周,Installment,1
在延期2天,Installment,1
在延期一天,Installment,1
在延期一天,Installment,1
在延期久一点吧，这个时间太紧了,Installment,1
在延期到发工资,Installment,1
在延期半个月,Installment,1
在想想,Installment,1
在拖拖吧,Installment,1
在晚几天吧,Installment,1
在等两天,Installment,1
在等发工资,Installment,1
在等法院结果,Installment,1
在给几天吧,Installment,1
在给我两天时间好吗？,Installment,1
在给我几天,Installment,1
在给我延长一点时间,Installment,1
在给我拖一下,Installment,1
在过一段时间,Installment,1
在过段时间吧，我还不起,Installment,1
在这个月之内处理完,Installment,0
坚决不还,Installment,1
处理不了,Installment,1
处理好发凭条,Installment,0
处理好，发凭条,Installment,0
多久也还不起,Installment,1
多减点噻，一点诚意者没得吧,Installment,1
多减点噻，一点诚意者没得哇,Installment,1
多减点噻，一点诚意者没得哈,Installment,1
多减点噻，一点诚意者没得没意思,Installment,1
多减点噻，一点诚意者没得，没意思,Installment,1
多减点噻，一点诚意者莫得乎,Installment,1
多减点噻，一点诚意者莫得哈,Installment,1
多减点噻，一点诚意者莫得没意思,Installment,1
多减点噻，一点诚意者莫得阿,Installment,1
多减点噻，一点诚意者莫得，没意思,Installment,1
多半不够,Installment,1
多少再想想办法？,Installment,1
多延期一点啊，不然我还不了的,Installment,1
多延点嘛，你这几天还不够我去找钱,Installment,1
多扣点嘛。,Installment,1
多给两天三。,Installment,1
多给点时间,Installment,1
多给点时间啊,Installment,1
多给点时间我在想想办法,Installment,1
大后天吧,Installment,0
大后天处理,Installment,0
大后天还,Installment,0
大大后天还,Installment,0
太多,Installment,1
太多了,Installment,1
太多了处理不了,Installment,1
太多了能少点吗,Installment,1
太多了，不得行哦。,Installment,1
太多了，我一下子拿不出来,Installment,1
太多了，我正在筹钱,Installment,1
太多钱了，我一下拿不出来,Installment,1
太多钱了，我拿不出来,Installment,1
太没诚意了,Installment,1
太紧了，搞不掂哦。,Installment,1
太高了,Installment,1
太高了，再多来几天啥。,Installment,1
好,Installment,0
好像不行,Installment,1
好几个月没发工资没钱,Installment,1
好叻,Installment,0
好吧,Installment,0
好吧，可以,Installment,0
好啊,Installment,0
好嘛,Installment,0
好嘛，等哈哈就弄。,Installment,0
好好,Installment,0
好好好,Installment,0
好就这样,Installment,0
好得好得，现在还。,Installment,0
好我会在这之前还款的,Installment,0
好我可以还,Installment,0
好的,Installment,0
好的 明天肯定处理了,Installment,0
好的.谢谢,Installment,0
好的么问题,Installment,0
好的今天你先处理一部分,Installment,0
好的呢,Installment,0
好的好的,Installment,0
好的好的，这个可以呀,Installment,0
好的好的，这个可以哈,Installment,0
好的好的，这个可以哈哈哈,Installment,0
好的好的，这个可以阿,Installment,0
好的谢谢,Installment,0
好的那样就好,Installment,0
好的！可以！,Installment,0
好的，,Installment,0
好的，五点之前还进去,Installment,0
好的，先还这部分钱应该是没得问题的,Installment,0
好的，好的，好的,Installment,0
好的，就这么办,Installment,0
好的，我先还这部分钱,Installment,0
好的，我可以,Installment,0
好的，我可以先还这个吧,Installment,0
好的，我可以先还这个呀,Installment,0
好的，我可以先还这个呗,Installment,0
好的，我可以先还这个啊,Installment,0
好的，我接受,Installment,0
好的，我马上处理,Installment,0
好的，放心,Installment,0
好的，没问题,Installment,0
好的，涨工资啦！没有问题,Installment,0
好的，谢谢,Installment,0
好的，谢谢了，那我马上还XX,Installment,0
好的，那就先还一点,Installment,0
好的，那帮我延一下期嘛，下午就还一部分,Installment,0
好，好的哈。,Installment,0
好，就按你说的办,Installment,0
好，就这样说定了,Installment,0
好，我今天先还这部分,Installment,0
好，我同意,Installment,0
好，现在就处理,Installment,0
好，还上部分,Installment,0
好，那我就分期处理,Installment,0
好，马上去,Installment,0
好，马上处理,Installment,0
如果老板不拖欠马上还,Installment,1
如果钱到我会还,Installment,1
姐，还得再多少点。,Installment,1
孩子上学没钱,Installment,1
孩子住院要花钱,Installment,1
完全ok哈,Installment,0
实在不能,Installment,1
实在凑不到,Installment,1
实在凑不齐,Installment,1
实在没钱啊，多宽限几天嘛,Installment,1
实在没钱，不好意思啊,Installment,1
实在还不了,Installment,1
家人出事现在没法还,Installment,1
家人生病都没钱,Installment,1
家里人生病了,Installment,1
家里出事没钱,Installment,1
家里发生了事，处理不了,Installment,1
家里有事,Installment,1
家里有事不一定,Installment,1
家里有事，暂时没钱。,Installment,1
家里说是高利息不让还,Installment,1
家里还是困难,Installment,1
宽容宽容哈～,Installment,1
宽限几天,Installment,1
对不起，不可以,Installment,1
对不起，我不方便这么做,Installment,1
对不起，我不方便这么做呀,Installment,1
对不起，我不方便这么做呗,Installment,1
对不起，我不方便这么做啊,Installment,1
对不起，我不方便这么做按,Installment,1
对不起，我还不了,Installment,1
对不起，还不上,Installment,1
对不起，还是不得行,Installment,1
对的时间，对的金额，对的我，还得起,Installment,0
小孩这两天开学学费,Installment,1
少一点,Installment,1
少一点吧,Installment,1
少一点行吗,Installment,1
少多点嘛。,Installment,1
少还,Installment,1
少还一点,Installment,1
少还点,Installment,1
就不还,Installment,1
就全部还进去,Installment,0
就对没问题,Installment,0
就是没钱,Installment,1
就算再多一个月也还不了,Installment,1
就算这样，现在也没有钱,Installment,1
就这么说定了,Installment,0
就这样了，再说了,Installment,1
就这样嘛,Installment,0
就这样说定了,Installment,0
就这样，现在就还,Installment,0
尼玛，就你们这逼样的等下辈子吧,Installment,1
工作不稳定,Installment,1
工程款一直没下来。,Installment,1
工程款下来就能还了,Installment,1
工程款下来就还了,Installment,1
工程款也没拿到。,Installment,1
工程款压太久了，我也急,Installment,1
工程款在...时间才给我！,Installment,1
工程款没下来,Installment,1
工程款还没到,Installment,1
工程款还没有发,Installment,1
工程款马上下来了,Installment,1
工资一直没发,Installment,1
工资不到账我也没办法,Installment,1
工资不知道什么时候到,Installment,1
工资不确定发不发,Installment,1
工资不高，这段时间无法处理完,Installment,1
工资今天没到账,Installment,1
工资几个月没发了，不一定能处理,Installment,1
工资到了就先还点,Installment,1
工资到账就还，,Installment,1
工资发不了,Installment,1
工资拖欠没发，发了我立马处理！,Installment,1
工资没到,Installment,1
工资没到位,Installment,1
工资没发,Installment,1
工资没发呢,Installment,1
工资没有到,Installment,1
工资还没发,Installment,1
工资还没发了,Installment,1
工资还没发还不了,Installment,1
工资还没发！,Installment,1
工资还没发，没法还,Installment,1
工资还没有发,Installment,1
工资还没有发，现在手里没那么多,Installment,1
已经在操作了,Installment,0
已经提现了，马上处理,Installment,0
已经还了，提示正在交易中,Installment,0
帅哥，帮帮忙喽，今天不行,Installment,1
帮帮忙啊我是真的困难,Installment,1
帮我延期到下下个月吧,Installment,1
帮我延期到下个月,Installment,1
应该做不到,Installment,1
延多几天嘛。,Installment,1
延期,Installment,1
延期一个月太少了,Installment,1
延期一年差不多,Installment,1
延期再减免成本金吧,Installment,1
延期得不够诚意啊，不和你们玩了,Installment,1
延期时间不够，宽限多几天,Installment,1
延期时间太短了，太短了，恐怕不得行哦，再宽限几天嘛,Installment,1
延期是多久啊，不能再久一点吗,Installment,1
延期的时间不够，还不了,Installment,1
延期还不是要还，你给减免了吧,Installment,1
延长时间也没钱呀,Installment,1
开玩笑,Installment,1
待会发截图给你,Installment,0
待会我还100,Installment,1
待还就去,Installment,0
很快处理,Installment,0
得等,Installment,1
得行，今天一定还。,Installment,0
必须的,Installment,0
必须的，你放心吧,Installment,0
必须行,Installment,0
怕是不行，没那么多钱,Installment,1
怕是还不了,Installment,1
急什么,Installment,1
恐怕一时半会还不上,Installment,1
恐怕不行,Installment,1
恩好吧,Installment,0
恩恩，我一会转过去,Installment,0
想办法,Installment,1
想办法借钱,Installment,1
想办法吧,Installment,1
想想办法,Installment,1
想想办法现在没办法,Installment,1
我15号才处理,Installment,0
我xx天内肯定还进去,Installment,0
我  今天不行,Installment,1
我一下子没那么多钱，帮我分期,Installment,1
我一定今天24点前还这部分,Installment,0
我一定会还的,Installment,0
我一定在这之前还上,Installment,0
我一定按时还进去,Installment,0
我一定给你办好,Installment,0
我一定还,Installment,0
我一次性拿不出这么多钱,Installment,1
我三点你去还,Installment,0
我下个月还,Installment,0
我下午处理可以么,Installment,0
