from,label,original_label,original_text,new_label,
CutDebt,1,,等发工资再说吧，,1,
CutDebt,1,,我到时还全款,1,
CutDebt,1,,我想办法借钱,1,
CutDebt,0,,金额高了,1,
CutDebt,0,,星期一,0,
CutDebt,0,,，。,109,
讨价还价,2,100,想办法借钱,1,
CutDebt,1,,ok,0,
CutDebt,1,,你们是不是要逼人上梁山？,1,
CutDebt,0,,我去核实,102,
CutDebt,1,,本金我能够处理,100,
讨价还价,2,100,我尽量在..时间处理部分！,1,
CutDebt,0,,我考虑下,106,
CutDebt,1,,再说吧,1,
CutDebt,1,,等等,1,
讨价还价,2,100,等会去银行存,2,
讨价还价,2,100,你这能减免，我就还,2,
CutDebt,1,,我求求,1,
CutDebt,1,,工程款还没下来,1,
CutDebt,0,,isee,1,
故意岔开话题,2,109,也要花蕊绽放,2,
故意岔开话题,2,109,吓死恩,2,
CutDebt,1,,朋友钱没给我,1,
CutDebt,0,,再等父母打钱,1,
CutDebt,1,,还了啊,1,
CutDebt,1,,应该可以,0,
CutDebt,0,,减免下来处理,0,
讨价还价,2,100,能不能再减掉点啊,2,
讨价还价,2,100,我没有工作,1,
CutDebt,1,,我下个月还,0,
确认数额,2,102,已经这么多了？,2,
CutDebt,1,,99天就还,0,
CutDebt,0,,我不会让你工作不好做,106,
CutDebt,0,,我不差钱,106,
CutDebt,0,,我筹到钱马上联系你,1,
CutDebt,0,,我听不清,103,
CutDebt,1,,我周转一下,1,
讨价还价,2,100,过几天就还了,1,
模糊确认,2,106,知道了,2,
CutDebt,0,,凑到这么多钱了,106,
CutDebt,0,,不认识,1,
讨价还价,2,100,我考虑考虑,1,
CutDebt,1,,在火车上,109,
讨价还价,2,100,等月底,1,
讨价还价,2,100,能不能减免,2,
CutDebt,1,,我也不知道,1,
CutDebt,0,,到那天再联系,1,
CutDebt,0,,明天下午5点前,0,
请求等下打来,2,104,我到时候联系你把,106,
CutDebt,0,,有钱就还,1,
讨价还价,2,100,我欠的太多了,2,
讨价还价,2,100,工资拖欠没发，发了我立马处理！,1,
CutDebt,1,,难,1,
CutDebt,0,,三天内哈,0,
模糊确认,2,106,恩？,2,
模糊确认,2,106,我现在确定不了,1,
确认数额,2,102,我再看看我之前的欠款记录，看看正确不,2,
CutDebt,1,,等下个再联系我,1,
讨价还价,2,100,等以后有钱的,1,
CutDebt,1,,我给老板打个电话,1,
CutDebt,1,,现在不方便,104,
CutDebt,0,,我尽快处理,0,
讨价还价,2,100,今天可能还不上,106,
CutDebt,0,,嗯嗯,0,
CutDebt,1,,朋友不借给我,1,
讨价还价,2,100,钱到就还,1,
CutDebt,0,,行嘛。,0,
讨价还价,2,100,不知道过两天发不发工资,1,
CutDebt,0,,我在上班,104,
模糊确认,2,106,我想一下,1,
讨价还价,2,100,听说本金也可以减免啊,1,
讨价还价,2,100,能不能减免点,2,
CutDebt,0,,我想想办法,106,
讨价还价,2,100,我联系我朋友看看,1,
讨价还价,2,100,我也不知道，钱还没到账,1,
CutDebt,1,,需要最低,100,
确认数额,2,102,那我还掉是不是就能结清啊,2,
讨价还价,2,100,我现在没工作,1,
CutDebt,0,,不行,1,
CutDebt,1,,这个不是我说了算的，我也想马上还进去,1,
CutDebt,1,,恩,0,
CutDebt,1,,发工资再处理行吗,1,
CutDebt,1,,多免点啥。,1,
CutDebt,1,,把利息停了,1,
CutDebt,0,,快点来，都快收不了啦,1,
还款方式,2,108,这个真的有点儿坑,1,
故意岔开话题,2,109,这大把好时光,2,
CutDebt,1,,收了我嘛,1,
CutDebt,1,,钱被看病用了,1,
CutDebt,1,,月底联系我,1,
CutDebt,1,,不认识,1,
讨价还价,2,100,到期再说,2,
CutDebt,1,,我去哪里偷啊,1,
CutDebt,1,,在说把,1,
CutDebt,0,,我会还的,106,
讨价还价,2,100,能不能多给点时间,2,
讨价还价,2,100,我看能不能借到钱,1,
CutDebt,1,,你要我,1,
模糊确认,2,106,要得，我知道,2,
CutDebt,1,,我在看看,1,
讨价还价,2,100,我觉得今天不一定有钱啊,1,
CutDebt,1,,等我凑上了我联系你,1,
CutDebt,0,,那你尽快,109,
CutDebt,0,,什么时候,103,
CutDebt,0,,我这就让我朋友转账,106,
确认数额,2,102,我根本就没有借那么多,2,
讨价还价,2,100,我尽量试试吧,2,
讨价还价,2,100,等发了工资的,1,
CutDebt,1,,欠太多了,1,
CutDebt,1,,我尽快筹钱,1,
CutDebt,0,,不超过八点,0,
讨价还价,2,100,我在打官司，工程款拿来就还,2,
CutDebt,1,,这个时间内，肯定有麻烦了,1,
CutDebt,0,,在借钱,1,
讨价还价,2,100,这个，我一定尽量,106,
CutDebt,1,,等我发了工资就还上！,1,
CutDebt,1,,听不懂,103,
讨价还价,2,100,我现在没那么多,2,
讨价还价,2,100,20号,0,
CutDebt,0,,我尽快想办法处理,106,
CutDebt,0,,发了工资还,1,
CutDebt,0,,嗯嗯,0,
CutDebt,1,,减了等于没减，起不到啥子作用,100,
CutDebt,1,,能不能分期还啊,1,
讨价还价,2,100,钱借钱,1,
CutDebt,1,,没减好多，我再看看嘛,1,
讨价还价,2,100,我去借看看,1,
CutDebt,1,,征信已接黑了,109,
讨价还价,2,100,这个时间紧啊,1,
故意岔开话题,2,109,牛逼,2,
故意岔开话题,2,109,阿斯顿撒,2,
CutDebt,1,,利息好高,1,
CutDebt,0,,过几天还,106,
讨价还价,2,100,可能还不上,1,
讨价还价,2,100,朋友还没有答复,1,
还款方式,2,108,app崩溃了，我试了，还不起,108,
讨价还价,2,100,我现在借钱,1,
讨价还价,2,100,你减免了我看看,2,
讨价还价,2,100,我跟老板预支看看,2,
CutDebt,1,,等会,1,
请求等下打来,2,104,地震得好厉害，好厉害，好晃动！,2,
CutDebt,1,,怎么还有这么多,102,
CutDebt,1,,在给一两个月,1,
讨价还价,2,100,家里还是困难,1,
讨价还价,2,100,工程款下来就能还了,1,
请求等下打来,2,104,明天联系我吧,1,
CutDebt,0,,我去银路上,0,
CutDebt,0,,待会回你电话,104,
讨价还价,2,100,工程款下来就还了,1,
讨价还价,2,100,我试试吧,2,
请求等下打来,2,104,等我跟老板商量能预支工资不,1,
故意岔开话题,2,109,天天催啥子嘛！没得钱还！,1,
模糊确认,2,106,我尽我最大努力吧,1,
CutDebt,1,,你再少些，我就还了,1,
CutDebt,0,,等等在说,1,
CutDebt,1,,还不如不减呢,1,
讨价还价,2,100,去贷点款处理,2,
讨价还价,2,100,我没准备好还,1,
CutDebt,0,,减免到最低,100,
CutDebt,1,,贷款不知道什么时候下来。,1,
请求等下打来,2,104,我待会看看吧,106,
CutDebt,0,,你给我一个凭证，我找家里人要钱,109,
CutDebt,1,,过两天行不行,1,
CutDebt,0,,我让别人给你打过去,106,
确认数额,2,102,你这个金额怕是有点问题，我还得再确认下,102,
CutDebt,1,,再减掉点啊,100,
CutDebt,1,,借借看吧,1,
CutDebt,1,,这个时间内，有问题,1,
CutDebt,1,,在要钱的路上,1,
确认数额,2,102,2万几,2,
CutDebt,1,,改app还,108,
讨价还价,2,100,钱没有到账,1,
CutDebt,0,,amazing,0,
讨价还价,2,100,别人还没还我钱了,1,
CutDebt,1,,等有钱处理,1,
CutDebt,1,,银行卡被冻结了，你来我家拿钱,1,
CutDebt,0,,好的你申请吧,0,
CutDebt,1,,欠好多家,1,
讨价还价,2,100,到时间你联系我,1,
CutDebt,0,,我已经让财务打给我了，还没到呢,109,
CutDebt,1,,不确定,1,
CutDebt,0,,我能接受,0,
故意岔开话题,2,109,人血馒头不好吃,2,
讨价还价,2,100,家里穷,2,
CutDebt,1,,不认识,1,
CutDebt,1,,有意思,109,
CutDebt,1,,不认识,1,
确认数额,2,102,高利贷吧,1,
CutDebt,1,,减免我就还,1,
讨价还价,2,100,我看看吧,1,
CutDebt,0,,可以，你到时候直接查账单,0,
请求等下打来,2,104,再医院,2,
CutDebt,0,,到时候你提前给我打电话说一声,104,
CutDebt,1,,过两月我有个工程款下来就还,1,
讨价还价,2,100,尽量吧,1,
CutDebt,1,,在找父母要,1,
CutDebt,0,,我朋友明天钱给我,106,
CutDebt,1,,折扣再大点嘛,100,
CutDebt,1,,等过几天发工资,1,
故意岔开话题,2,109,花儿、花儿、慢慢落下,2,
CutDebt,1,,需要时间,1,
CutDebt,1,,钱到了立马还,1,
CutDebt,0,,你真棒,106,
CutDebt,1,,我想想,1,
讨价还价,2,100,现在钱还没到,1,
CutDebt,1,,行没问题,0,
CutDebt,0,,到时间候联系你,106,
CutDebt,1,,不要,1,
讨价还价,2,100,尽量,1,
CutDebt,1,,我考虑一下,1,
CutDebt,0,,等会发凭条,0,
模糊确认,2,106,好吧,0,
CutDebt,1,,尽量快点,106,
CutDebt,1,,家里还是困难,1,
模糊确认,2,106,可以，我会行办法的,2,
讨价还价,2,100,孩子上学没钱,1,
讨价还价,2,100,能不能少点啊,2,
讨价还价,2,100,能再宽松几天不,2,
CutDebt,1,,以后还,1,
请求等下打来,2,104,找时间详谈吧,2,
讨价还价,2,100,处理好了联系你,0,
CutDebt,1,,想都别想,1,
讨价还价,2,100,我只还本金,2,
CutDebt,1,,说个串串哦,1,
CutDebt,1,,别人欠我钱在要,1,
讨价还价,2,100,好的你申请吧,0,
CutDebt,0,,我没有证明,109,
讨价还价,2,100,能不能把利息减免再无息分期？,2,
CutDebt,0,,会还,106,
CutDebt,1,,没空,1,
还款方式,2,108,卡里有钱但是你们没扣我也没有办法还,2,
CutDebt,1,,我也不知道,1,
讨价还价,2,100,小孩这两天开学学费,1,
CutDebt,1,,不能保证处理掉,1,
CutDebt,1,,明天再说,1,
CutDebt,0,,你真是一个好人,0,
讨价还价,2,100,想办法还,1,
CutDebt,1,,我已经说过没有钱，你们不相信我可以把银行卡余额给你看！,1,
CutDebt,1,,生意失败了,1,
CutDebt,0,,赞同,0,
讨价还价,2,100,工资没发,1,
讨价还价,2,100,今天不一定发工资,1,
故意岔开话题,2,109,一上午的时间就浪费了,2,
CutDebt,1,,我现在资金链断裂了,1,
CutDebt,1,,不好,1,
CutDebt,0,,明天,0,
CutDebt,1,,我现在资金上出了点问题,1,
CutDebt,1,,那我看看吧,1,
故意岔开话题,2,109,明白,2,
模糊确认,2,106,好的，放心,0,
CutDebt,0,,那我等你消息,0,
模糊确认,2,106,我想想办法,2,
模糊确认,2,106,好的呢,0,
请求等下打来,2,104,没有时间,1,
CutDebt,0,,不是吧，这么安逸。,106,
模糊确认,2,106,到时我去处理,2,
CutDebt,0,,明天我打你电话,0,
CutDebt,0,,估计要三五个月的,0,
CutDebt,1,,等我忙完,1,
讨价还价,2,100,我会处理的,2,
CutDebt,0,,不认识,1,
CutDebt,0,,5好吧,0,
CutDebt,1,,回头再说吧,1,
CutDebt,0,,下一秒的时间,109,
CutDebt,1,,以后在说,1,
CutDebt,1,,全部减完差不多,1,
CutDebt,0,,哈哈,106,
CutDebt,1,,再说,1,
CutDebt,1,,行,0,
讨价还价,2,100,要减免下,2,
请求等下打来,2,104,ok等下,0,
还款方式,2,108,可以去银行当面交易吗,2,
CutDebt,1,,可以相信,0,
CutDebt,1,,没在城里哈,1,
CutDebt,1,,钱太多了,1,
CutDebt,1,,你等我考虑一下吧,1,
CutDebt,1,,输了300多万,1,
讨价还价,2,100,银行已经关门，我过段时间在处理，,2,
CutDebt,0,,钱到账我联系你处理,1,
讨价还价,2,100,我会还的，你放心,2,
CutDebt,0,,不认识,1,
CutDebt,1,,家人生病,1,
CutDebt,0,,过几天就还,106,
CutDebt,1,,一直是这般模样,109,
CutDebt,0,,行嘛，那我去借点来先还到嘛,106,
CutDebt,0,,我等下处理了给你回复,0,
讨价还价,2,100,办理不了转账,1,
CutDebt,0,,你真棒,0,
CutDebt,0,,现在在弄,0,
讨价还价,2,100,问问老婆同不同意,1,
CutDebt,1,,你重新申请一下吧,1,
CutDebt,1,,没啊啊,1,
模糊确认,2,106,嗯明白,2,
CutDebt,0,,正在转,0,
CutDebt,1,,等我发工资了再说吧,1,
CutDebt,1,,开车,109,
CutDebt,0,,知道,106,
讨价还价,2,100,能不能分期还？,2,
故意岔开话题,2,109,我先唱一首歌吧,2,
CutDebt,1,,待会再说,1,
CutDebt,1,,好,0,
CutDebt,0,,现在等减免下来,0,
请求等下打来,2,104,马上回来,109,
CutDebt,0,,我没空,1,
CutDebt,1,,我现在在外地,1,
讨价还价,2,100,等老婆发工资的,1,
CutDebt,0,,这几天就行,106,
故意岔开话题,2,109,最近球赛还有点好看，买彩票没？,2,
讨价还价,2,100,工程款没下来,2,
CutDebt,0,,好嘛，好嘛。,0,
模糊确认,2,106,好，我想想办法，正好最近性情好，办法总是容易想出来,2,
讨价还价,2,100,钱还没借到，我在找别人借！,1,
讨价还价,2,100,等老婆拨款,1,
讨价还价,2,100,我会还的,106,
CutDebt,1,,钱太多了,1,
讨价还价,2,100,我在想想办法,1,
CutDebt,0,,周末,109,
讨价还价,2,100,我正在筹钱，你催个毛线啊,1,
CutDebt,1,,在山上,109,
CutDebt,0,,早点减免就好了,0,
CutDebt,1,,待职,1,
讨价还价,2,100,会处理，但现在没钱,1,
CutDebt,1,,在医院呢,109,
CutDebt,1,,我考虑一下,1,
CutDebt,0,,出去了,0,
CutDebt,1,,钱太多了,1,
CutDebt,0,,2天,109,
CutDebt,1,,换不起呀现在,1,
CutDebt,0,,要不了那么长时间,0,
CutDebt,1,,已还,0,
CutDebt,0,,以到银行卡,0,
CutDebt,1,,如果钱到我会还,1,
CutDebt,1,,钱没到账,1,
讨价还价,2,100,还没借到钱。,1,
CutDebt,1,,我爸妈过几天就回来了给钱,1,
CutDebt,1,,违约金高,1,
还款方式,2,108,我都不用智能手机，钱咋个个还法,2,
CutDebt,1,,在等法院结果,1,
CutDebt,1,,出差呢,109,
CutDebt,1,,等我下班,1,
CutDebt,1,,过几天再说,1,
讨价还价,2,100,全都免了？,2,
CutDebt,1,,不是我借的,1,
模糊确认,2,106,要得,0,
CutDebt,1,,时间有点紧,1,
CutDebt,0,,只要不还利息，一定今天还,0,
模糊确认,2,106,行的，可以,0,
请求等下打来,2,104,下午联系我,2,
CutDebt,1,,明天再谈,1,
模糊确认,2,106,可以,0,
模糊确认,2,106,好就这样,0,
CutDebt,1,,孩子不能不吃啊,109,
CutDebt,1,,高利贷吧,1,
模糊确认,2,106,好了，我知道了,2,
模糊确认,2,106,行,2,
CutDebt,0,,尽量吧,106,
CutDebt,1,,明白,1,
模糊确认,2,106,知道了,2,
CutDebt,0,,后天,0,
CutDebt,1,,等一段时间,1,
请求等下打来,2,104,马上就好,106,
讨价还价,2,100,我没那么多钱,1,
CutDebt,1,,我去借看看,1,
CutDebt,0,,大后天,0,
讨价还价,2,100,我想办法看看,106,
CutDebt,0,,明天,0,
CutDebt,1,,你等我跟家里商量一下吧,1,
CutDebt,1,,全身家当50块钱，别不信，你找到我也是这样。,1,
讨价还价,2,100,工资不确定发不发,1,
讨价还价,2,100,家人正在帮忙筹钱,1,
CutDebt,1,,神经病我不差钱,109,
CutDebt,0,,我会尽快处理,106,
CutDebt,0,,自己在app还,0,
讨价还价,2,100,朋友钱到了就还,1,
讨价还价,2,100,我跟借一下,1,
CutDebt,1,,下个月吧,0,
CutDebt,1,,在办理离婚手续,1,
CutDebt,0,,我放银行卡里你们扣,0,
CutDebt,0,,明白,0,
CutDebt,1,,有钱我立刻就处理,1,
请求等下打来,2,104,我在上班,1,
CutDebt,1,,你们高利贷,1,
CutDebt,1,,能不能分期还,1,
讨价还价,2,100,朋友也没给答复,1,
确认数额,2,102,没有那么多吧,1,
讨价还价,2,100,会还的,2,
CutDebt,1,,再说吧,1,
CutDebt,1,,到时再说,1,
CutDebt,0,,我说了十号你别打电话了！,0,
CutDebt,0,,我劲量吧,106,
模糊确认,2,106,好的,0,
CutDebt,0,,30号,0,
CutDebt,1,,这么贵高利贷吧,1,
CutDebt,1,,能给我多久的时间,1,
故意岔开话题,2,109,实在是,2,
CutDebt,1,,你打死我吗,1,
讨价还价,2,100,不能保证处理掉,1,
CutDebt,1,,这是什么方案，我不接受,1,
CutDebt,1,,这是最低的了吗,100,
讨价还价,2,100,回头再说,1,
讨价还价,2,100,离银行有点远,1,
模糊确认,2,106,嗯嗯,2,
CutDebt,1,,明天再说,1,
CutDebt,1,,发奖金我就还,1,
CutDebt,1,,工程款一直没下来。,1,
CutDebt,1,,神经病没5天能还？,1,
CutDebt,1,,你要是还要这么高,109,
讨价还价,2,100,还能不能再少一点了,2,
CutDebt,1,,过一段时间,1,
CutDebt,0,,5号发工资,106,
CutDebt,1,,钱还没到位,1,
CutDebt,1,,等我想想，之后给你回复,1,
CutDebt,1,,听说本金也可以减免啊,100,
讨价还价,2,100,家里有事,1,
CutDebt,1,,再说吧,1,
讨价还价,2,100,好几个月没发工资没钱,1,
故意岔开话题,2,109,小生的花伞还落在你家,2,
CutDebt,0,,再给我少点钱嘛，邛,100,
CutDebt,1,,知道了那等我有钱了就还,1,
CutDebt,1,,有什么事,109,
CutDebt,1,,等下说,1,
CutDebt,0,,下个月吧,0,
CutDebt,0,,早就该减免了，本来就没得钱你们还收这么高的利息，损人不利己啊,106,
CutDebt,1,,听不清,103,
CutDebt,1,,不认识,1,
CutDebt,0,,下高速去存,0,
CutDebt,1,,可以延期吗,1,
模糊确认,2,106,知道了·,2,
讨价还价,2,100,你帮我想办法,1,
CutDebt,1,,不好处理,1,
模糊确认,2,106,我再看看,1,
还款方式,2,108,麻烦问哈有哪些方式还,2,
CutDebt,1,,我看一下,1,
CutDebt,0,,有,0,
CutDebt,1,,待会回你电话,104,
讨价还价,2,100,我一定给你办好,2,
CutDebt,1,,父母年纪大,1,
请求等下打来,2,104,我没话费了，再见,1,
CutDebt,0,,时间紧，不还,1,
CutDebt,1,,看看再说,1,
CutDebt,1,,我在医院,1,
CutDebt,1,,你别催了我知道了,106,
CutDebt,1,,不认识,1,
CutDebt,1,,没想过,1,
CutDebt,1,,上次和我说的是***元,102,
CutDebt,0,,信号不好，没听清,103,
CutDebt,1,,我在山里头来不及,1,
CutDebt,1,,再缓缓,100,
讨价还价,2,100,发工资,109,
CutDebt,1,,过段时间,1,
CutDebt,0,,到时候通知你,106,
CutDebt,1,,处理本金,1,
讨价还价,2,100,发工资再说吧,1,
模糊确认,2,106,我知道了,2,
CutDebt,0,,15分钟到账,0,
模糊确认,2,106,好的，好的，好的,0,
CutDebt,0,,你来拿吧,109,
CutDebt,0,,可以吗？,109,
CutDebt,1,,不能保证,1,
讨价还价,2,100,能减免多少在看看,2,
CutDebt,0,,我在等结账,1,
CutDebt,1,,现在上班,109,
CutDebt,0,,现在想办法,1,
CutDebt,1,,等等的,1,
CutDebt,0,,我给你发红包,109,
CutDebt,0,,到时候联系你,106,
讨价还价,2,100,你怎么不早说,2,
故意岔开话题,2,109,好美丽,2,
讨价还价,2,100,等我稳定工作处理,1,
CutDebt,0,,10分钟内发截图给你,0,
讨价还价,2,100,工资还没有发,1,
CutDebt,0,,分期还,1,
讨价还价,2,100,还早吧,1,
CutDebt,0,,在拍队,106,
CutDebt,1,,你去申请减免，我同意,0,
请求等下打来,2,104,等等的,1,
讨价还价,2,100,人家不一定借给我,1,
模糊确认,2,106,可以，尽量想办法,2,
CutDebt,1,,不方便出去,1,
还款方式,2,108,怎么还？,2,
讨价还价,2,100,再想想,1,
CutDebt,0,,有时间,106,
CutDebt,1,,我能接受,0,
CutDebt,0,,卡号先发给你,0,
CutDebt,1,,去你的,1,
CutDebt,0,,这个时间还可以,0,
CutDebt,1,,等我发工资的,1,
CutDebt,0,,什么时代,109,
CutDebt,1,,没辣么多,1,
CutDebt,1,,我知道了,106,
CutDebt,1,,月底再联系我,1,
CutDebt,1,,我自己一个人上班还要养一家人,1,
讨价还价,2,100,给点时间,2,
请求等下打来,2,104,今天不行，明天吧,1,
CutDebt,1,,你这简直是在为难我,1,
CutDebt,1,,在开车,109,
讨价还价,2,100,也不差这几天,1,
请求等下打来,2,104,等下说,2,
CutDebt,0,,刚买的号码,1,
CutDebt,1,,我找人帮帮忙,1,
CutDebt,1,,我欠了好多钱,1,
CutDebt,0,,好要还多少,102,
CutDebt,1,,你还有没有人性啊，我都说我的钱已经给我的母亲看病了，非要逼着我去卖肾吗,1,
CutDebt,1,,看来你是不想我还了,1,
CutDebt,1,,我在上班,1,
CutDebt,1,,我借钱还你哈,106,
讨价还价,2,100,能不能在给点时间,2,
CutDebt,1,,能不能少点,100,
CutDebt,0,,我在等工程款,1,
CutDebt,0,,我回家跟父母拿,1,
CutDebt,1,,钱打到卡，我联系你,1,
CutDebt,0,,到时候我联系你扣款,0,
讨价还价,2,100,家里出事没钱,1,
CutDebt,1,,看看能不能拿到钱吧,1,
CutDebt,0,,等会答复你,106,
确认数额,2,102,绝对不可能,1,
CutDebt,0,,明天可以还是啊吧,0,
讨价还价,2,100,我去凑,106,
故意岔开话题,2,109,一下都没心情了,2,
CutDebt,0,,在体现,0,
CutDebt,1,,28号才能发工资,106,
讨价还价,2,100,不能保证，得看工程款到不到,1,
CutDebt,0,,等下我去借钱,106,
故意岔开话题,2,109,家里人可以还吧,2,
故意岔开话题,2,109,趁着夜还未央,2,
讨价还价,2,100,这个减免。我也法处理，,1,
讨价还价,2,100,利息太高,1,
请求等下打来,2,104,我在医院我母亲生病,1,
CutDebt,1,,贷款2天之后肯定能下来,106,
确认数额,2,102,要的,0,
CutDebt,1,,我在上班,1,
CutDebt,0,,这个时间很合适,0,
CutDebt,1,,我试试,106,
CutDebt,1,,跟朋友还没借到,1,
CutDebt,0,,听不见,103,
CutDebt,0,,负担小多了。,106,
CutDebt,0,,在要钱,106,
CutDebt,0,,只能先处理一部分,100,
CutDebt,0,,youaregreat,106,
还款方式,2,108,你把账号给我,2,
讨价还价,2,100,我想办法,106,
讨价还价,2,100,正在想办法,106,
模糊确认,2,106,我也不知道,1,
CutDebt,1,,提前一天联系我，我做准备,1,
讨价还价,2,100,我欠钱太多了,1,
CutDebt,1,,无语,109,
CutDebt,1,,尽快,1,
CutDebt,0,,我这边跟你是晚上联系,109,
CutDebt,0,,来撒,1,
CutDebt,1,,你这是逼人跳楼吗？,1,
CutDebt,0,,还嘛,0,
讨价还价,2,100,我尽量处理,2,
讨价还价,2,100,钱不一定能凑齐,2,
故意岔开话题,2,109, 小溪向东去,2,
CutDebt,0,,尽我最大努力,106,
CutDebt,1,,我现在资金不足,1,
请求等下打来,2,104,我没空,1,
讨价还价,2,100,我尽量吧,2,
CutDebt,1,,母亲住院,1,
CutDebt,0,,转账可以吧,0,
模糊确认,2,106,恩,2,
讨价还价,2,100,我看能不能凑到在回复你,2,
讨价还价,2,100,现在没这多钱，后天吧,1,
CutDebt,1,,不认识,1,
CutDebt,1,,我试试吧,106,
CutDebt,1,,很紧张,1,
讨价还价,2,100,我想想办法,2,
CutDebt,0,,我爸妈明天下午帮我还,0,
CutDebt,0,,会还的，别催,106,
模糊确认,2,106,知道了，下午再说,2,
CutDebt,0,,等会就存,0,
故意岔开话题,2,109,下班后去健身吧,2,
讨价还价,2,100,工资还没发,1,
CutDebt,0,,给我半个月时间,0,
CutDebt,1,,我联系我朋友,1,
CutDebt,1,,俺木有,1,
模糊确认,2,106,可能,2,
CutDebt,0,,等一下,106,
CutDebt,1,,让客服给我道歉,109,
还款方式,2,108,我现在有钱，但是不知道如何还,2,
模糊确认,2,106,好，知道了,2,
讨价还价,2,100,我凑看看,106,
CutDebt,1,,我知道了，回家商量一下,1,
CutDebt,1,,这个时间内，问题大了,1,
CutDebt,1,,家里有事,1,
讨价还价,2,100,在国外了，回国再说,2,
CutDebt,0,,加我微信,105,
CutDebt,1,,能不能再分期,1,
CutDebt,1,,利息去了我还的上,100,
CutDebt,0,,这么说定了,0,
讨价还价,2,100,之前没钱,1,
故意岔开话题,2,109, 约定好、约定好,2,
CutDebt,1,,我不清楚,1,
讨价还价,2,100,我有钱就还.,1,
CutDebt,0,,还不上你看着办,1,
CutDebt,1,,我跟家人商量,1,
CutDebt,1,,多家欠款,1,
确认数额,2,102,还是那个地点那条街,109,
讨价还价,2,100,我现在卡没在身边记不得卡号,1,
CutDebt,0,,我有钱了,0,
CutDebt,1,,你是不想脑子坏了,1,
讨价还价,2,100,等我有钱的,1,
CutDebt,0,,钱刚好够,106,
请求等下打来,2,104,雨下太大，没法去处理,2,
CutDebt,0,,等等，我在和朋友要钱！,1,
CutDebt,1,,不是我个人的,1,
CutDebt,1,,我去借借看,1,
CutDebt,0,,行呢，我朋友说今晚借给我滴,0,
