from,label,original_label,original_text,new_label
IfKnowDebtor,1,,不方便接听,1
IfKnowDebtor,1,,不熟悉,0
不愿配合,2,110,我后来才晓得你们是高利贷,2
不愿配合,2,110,我怎么不记得了,2
IfKnowDebtor,0,,你说哪个？吧,107
故意岔开话题,2,109,我是最帅的,2
IfKnowDebtor,1,,怎么又找他,0
不愿配合,2,110,不要打电话了,1
IfKnowDebtor,0,,有事和我说,0
IfKnowDebtor,1,,这手机是我捡的,1
不愿配合,2,110,我不知道,1
请求等下打来,2,104,他在忙，你一会在打过来,0
说出目的,2,101,嗯？,0
IfKnowDebtor,0,,哪个呀？哈哈哈,107
说出目的,2,101,认识，你找他什么事,0
不愿配合,2,110,你有病啊,2
IfKnowDebtor,0,,你猜,109
IfKnowDebtor,1,,怎么又打过来,1
故意岔开话题,2,109,了解,2
IfKnowDebtor,1,,再打要报警,1
IfKnowDebtor,1,,没见过,1
IfKnowDebtor,1,,找他做什么,101
故意岔开话题,2,109,坐牢了,0
请求等下打来,2,104,在忙,2
IfKnowDebtor,1,,你一天要打多少边？,1
IfKnowDebtor,0,,不认识,1
IfKnowDebtor,0,,认识，兄弟，你想做微商吗？,0
IfKnowDebtor,1,,你就算打20个电话我也不认识,1
不愿配合,2,110,再打电话我报警啦,1
IfKnowDebtor,0,,有点影响,0
IfKnowDebtor,1,,你再打我电话我要骂人了！,1
IfKnowDebtor,1,,明天再谈,1
故意岔开话题,2,109,你发工资了没有,2
回问身份,2,107,谁？,2
IfKnowDebtor,1,,啥名字,1
IfKnowDebtor,1,,找谁,103
IfKnowDebtor,0,,啥子事,0
IfKnowDebtor,0,,跳楼了,109
IfKnowDebtor,0,,不要打扰我,1
回问身份,2,107,怎么会这样啊,2
说出目的,2,101,你不认识我？,2
IfKnowDebtor,1,,你不要再打给我了我告诉过你我不知道,1
IfKnowDebtor,1,,我讲了多少次,1
IfKnowDebtor,1,,我干嘛要是认识他啊,1
故意岔开话题,2,109,这人是干什么的,1
IfKnowDebtor,1,,有什么事,1
IfKnowDebtor,1,,你找错,1
IfKnowDebtor,1,,刚用新号,1
IfKnowDebtor,0,,现在在忙,0
IfKnowDebtor,1,,你找错人了,1
IfKnowDebtor,1,,不要再给我打电话了,1
IfKnowDebtor,0,,不认识,1
回问身份,2,107,谁,2
IfKnowDebtor,0,,什么事,101
IfKnowDebtor,0,,了解,0
不愿配合,2,110,我不知道,1
说出目的,2,101,怎么了？,2
IfKnowDebtor,1,,不关我事,1
IfKnowDebtor,1,,你是谁,107
IfKnowDebtor,0,,认识，你有事吗,0
IfKnowDebtor,1,,我没空,1
故意岔开话题,2,109,你打错了,1
不愿配合,2,110,不管我的事,1
请求重复,2,103,能不能说大点,2
IfKnowDebtor,0,,一个村的,0
故意岔开话题,2,109,吓死恩,2
IfKnowDebtor,1,,忘记了,1
IfKnowDebtor,1,,再见,1
IfKnowDebtor,0,,听说过这个人,0
说出目的,2,101,嗯哼，啥事,0
IfKnowDebtor,1,,烦不烦,1
请求等下打来,2,104,我旁边有人,1
不愿配合,2,110,不晓得,1
IfKnowDebtor,0,,咋可能不认识他龟儿子哦，是不是有惹啥子事情了,0
IfKnowDebtor,0,,我可以帮你转告,0
IfKnowDebtor,1,,不要给我打电话,1
IfKnowDebtor,1,,啥子张三，你哪个,1
请求等下打来,2,104,他现在不在，你有事吗,0
IfKnowDebtor,0,,这个人啊不熟,0
请求重复,2,103,有,0
IfKnowDebtor,0,,不知道这个情况,1
IfKnowDebtor,1,,别找我,1
IfKnowDebtor,1,,我哪知道,1
IfKnowDebtor,1,,啥事啊,101
请求重复,2,103,为什么不说话,2
IfKnowDebtor,0,,生病了，一直在医院,0
不愿配合,2,110,别给我打电话了，我不认识他,1
IfKnowDebtor,1,,NONONO,1
IfKnowDebtor,1,,打错电话了,1
说出目的,2,101,我认识他你找他又什么事情？,0
不愿配合,2,110,打我电话干嘛的,1
IfKnowDebtor,0,,早就消失了,1
IfKnowDebtor,0,,我哥,0
不愿配合,2,110,别烦我我知道,2
故意岔开话题,2,109,坐牢了,2
故意岔开话题,2,109,汽车还多啊,2
IfKnowDebtor,1,,是不是有病啊,1
IfKnowDebtor,1,,自己去查,1
IfKnowDebtor,0,,你再打我电话我要报警了！,1
IfKnowDebtor,0,,有什么事都不要找我,1
故意岔开话题,2,109,这人怎么了,2
IfKnowDebtor,1,,你们在和我说什么,1
IfKnowDebtor,0,,什么事？,0
IfKnowDebtor,1,,谁啊？,1
IfKnowDebtor,1,,怎么都是找他的，别打我电话了！,1
不愿配合,2,110,你去找他呀,1
IfKnowDebtor,1,,谁啊,1
说出目的,2,101,我是他朋友，你找他又什么事,0
IfKnowDebtor,0,,疯了,1
IfKnowDebtor,1,,我知道了,1
IfKnowDebtor,1,,没有联系,1
IfKnowDebtor,0,,通过彭有见过几次面,0
IfKnowDebtor,0,,关我什么事,1
IfKnowDebtor,0,,不是很熟,0
说出目的,2,101,你都不知道我是谁还打电话给我？你到底要做什么？,2
IfKnowDebtor,1,,滚,1
故意岔开话题,2,109,我是天下第一帅,2
IfKnowDebtor,0,,你是催债公司的吧，太多电话....！,0
IfKnowDebtor,0,,貌似记得这个人,0
不愿配合,2,110,他的事你直接去找他，别找我,1
IfKnowDebtor,1,,听不懂,1
请求重复,2,103,没听请，再说一次哈哈哈,2
IfKnowDebtor,0,,我等会联系你,104
请求重复,2,103,谁？找谁？,2
IfKnowDebtor,1,,不认识，挂了，我很忙,1
IfKnowDebtor,0,,现在做牢了，抢劫,0
IfKnowDebtor,1,,下次不要给我打,1
IfKnowDebtor,0,,没交集,1
IfKnowDebtor,0,, 还有漂泊的一个你,109
IfKnowDebtor,1,,不知道啊,1
不愿配合,2,110,你是不是找错人了,1
回问身份,2,107,你谁啊不认识,1
故意岔开话题,2,109,可能啊,2
故意岔开话题,2,109,搞错了,1
IfKnowDebtor,0,,哪个呀？嗯,103
说出目的,2,101,什么事，你打错了,1
IfKnowDebtor,0,,不熟悉,1
IfKnowDebtor,1,,不认识，你故意打给我的吧？,1
IfKnowDebtor,0,,怎么了，天天打我电话，,101
IfKnowDebtor,1,,好几个人给我打电话问我是不是认识他他,1
请求等下打来,2,104,他有事出去了,0
IfKnowDebtor,1,,认识他的人还没有出生呢。,1
IfKnowDebtor,0,,有,0
故意岔开话题,2,109,我是天下无敌超级无敌非常帅,2
IfKnowDebtor,0,,找不到人了,1
说出目的,2,101,你找他什么事,2
IfKnowDebtor,1,,和我前女友差一个字,109
请求等下打来,2,104,在开车,2
IfKnowDebtor,1,,你找谁,101
请求等下打来,2,104,明天联系我吧,2
请求等下打来,2,104,我待还联系你,2
IfKnowDebtor,1,,认识,0
IfKnowDebtor,0,,我在忙,104
不愿配合,2,110,没心情说话，不要打电话给我了,2
IfKnowDebtor,1,,神经病,109
故意岔开话题,2,109,麦子熟了,2
IfKnowDebtor,1,,你找我干嘛,101
IfKnowDebtor,1,,有病,1
说出目的,2,101,有什么事？,2
说出目的,2,101,你们是不是打错电话了,1
说出目的,2,101,有什么事,2
IfKnowDebtor,1,,没得啥子记忆,1
IfKnowDebtor,0,,不太熟悉,0
IfKnowDebtor,0,,你这边什么情况,101
说出目的,2,101,我是他老公，你找她什么事,0
IfKnowDebtor,0,,我表弟,0
IfKnowDebtor,0,,不要给我打电话，,1
IfKnowDebtor,1,,怎么还打啊,1
请求重复,2,103,不理解,2
IfKnowDebtor,0,,没见过几次，咋的？,0
不愿配合,2,110,我不确定,1
IfKnowDebtor,0,,出事情被抓起来了,0
IfKnowDebtor,1,,你是哪位,107
IfKnowDebtor,1,,他认识,0
IfKnowDebtor,0,,打错了,1
IfKnowDebtor,0,,知道呀，你是谁？,0
IfKnowDebtor,0,,我弟,0
IfKnowDebtor,1,,你说什么,103
请求等下打来,2,104,下午联系我,2
故意岔开话题,2,109,我你都不认识啦？,2
IfKnowDebtor,1,,别骚扰了,1
IfKnowDebtor,1,,别打我电话,1
不愿配合,2,110,再见,2
IfKnowDebtor,0,,不管我的事,1
IfKnowDebtor,0,,你找他干什么,101
IfKnowDebtor,1,,我在忙,1
IfKnowDebtor,0,,在开车,104
故意岔开话题,2,109,不认识填你名字电话,1
回问身份,2,107,对不起，我不认识你,2
不愿配合,2,110,不要打我电话,1
IfKnowDebtor,1,,你们自己不能查啊,1
说出目的,2,101,你找他有什么事情？,2
故意岔开话题,2,109,趁着夜还未央,2
IfKnowDebtor,0,,你有什么事,101
IfKnowDebtor,0,,我妹,0
IfKnowDebtor,0,,什么,103
IfKnowDebtor,0,,你要做什么,101
IfKnowDebtor,0,,找我也没有用,1
请求等下打来,2,104,我这几天比较忙。过几天联系我,2
IfKnowDebtor,0,,想不起来了,1
不愿配合,2,110,你怎么不去问他认不认识我啊？,2
IfKnowDebtor,0,,家人,0
IfKnowDebtor,1,,神经病,1
IfKnowDebtor,1,,想不起来,1
IfKnowDebtor,0,,你自己去找他,0
IfKnowDebtor,0,,我试着联系,0
IfKnowDebtor,0,,他不是那样的人啊,0
IfKnowDebtor,1,,你们真烦,1
IfKnowDebtor,0,,待会回复你,104
不愿配合,2,110,打打打，我明天就把这张卡注销了，看你们还怎么打,2
IfKnowDebtor,1,,什么？谁？,103
IfKnowDebtor,0,,什么事啊,101
IfKnowDebtor,1,,他到底欠了多少钱，天天找他,0
故意岔开话题,2,109, 小溪向东去,2
回问身份,2,107,这个号码我才换的,1
不愿配合,2,110,打错了,1
请求等下打来,2,104,好多人啊,1
IfKnowDebtor,1,,你不要给讲这些东西,1
IfKnowDebtor,0,,是我儿子，咋个喃,0
回问身份,2,107,俺不认识你,2
请求重复,2,103,你找谁,2
IfKnowDebtor,1,,认识没联系,0
IfKnowDebtor,1,,别烦我,1
说出目的,2,101,他在办事，我可以转告,0
不愿配合,2,110,滚，你们再打我就，信不信我让你们吃不了兜着走,1
IfKnowDebtor,0,,已经失踪了,0
IfKnowDebtor,0,,你们天天吃饱撑的啊，不都说过了吗,1
IfKnowDebtor,1,,你有什么事,101
不愿配合,2,110,你找张三打我电话干嘛,1
不愿配合,2,110,你是不是打错了,1
IfKnowDebtor,0,,不要找我，我不知道！,1
IfKnowDebtor,1,,和我有关系吗,1
IfKnowDebtor,1,,风太大,109
回问身份,2,107,怎么有我号码,2
不愿配合,2,110,早干嘛去了,2
IfKnowDebtor,0,,再说一次哈,103
说出目的,2,101,有什么事直说,2
说出目的,2,101,找他爪子事情？,2
IfKnowDebtor,0,,欠了我钱,0
IfKnowDebtor,0,,你说哪个？哈哈哈,103
不愿配合,2,110,不关我事,1
IfKnowDebtor,1,,你有没有搞错,1
IfKnowDebtor,1,,信号不好,103
IfKnowDebtor,0,,不认识，才怪,0
说出目的,2,101,我认识，你找他咋子,0
故意岔开话题,2,109,哦，今天好像地震了，广元，你晓得不？,2
IfKnowDebtor,0,,和你有关系吗,101
IfKnowDebtor,0,,找他什么事情,101
不愿配合,2,110,大家都是靠运气吃饭，你们就去找下一个倒霉鬼吧,2
IfKnowDebtor,1,,哪里人啊,1
不愿配合,2,110,自己找他,1
IfKnowDebtor,1,,这边是公安局办公电话,1
IfKnowDebtor,1,,你再打电话我报警了,1
IfKnowDebtor,0,,他在开车，等会回给你,104
IfKnowDebtor,1,,这人是干什么的,1
请求等下打来,2,104,他在忙,0
IfKnowDebtor,1,,今天第一盘听倒。,1
IfKnowDebtor,0,,不要打电话,1
IfKnowDebtor,1,,姓张的这么多，我还能都认识啊,1
IfKnowDebtor,0,,我才用的号码,1
IfKnowDebtor,0,,你打错了,1
IfKnowDebtor,0,,你给我发红包,109
IfKnowDebtor,0,,你们经常打我电话我不认识他,1
IfKnowDebtor,0,,等会打过来,104
IfKnowDebtor,1,,明天再说,1
故意岔开话题,2,109,小生的花伞还落在你家,2
IfKnowDebtor,1,,管我鸟事,1
说出目的,2,101,是找他做什么？,2
IfKnowDebtor,0,,在开会,104
IfKnowDebtor,0,,有什么事情吗,101
IfKnowDebtor,1,,别给我打电话,1
IfKnowDebtor,1,,这有这么个人？,1
IfKnowDebtor,1,,你是干嘛的,107
IfKnowDebtor,0,,知道名字不熟悉,0
故意岔开话题,2,109,我是大帅哥,2
IfKnowDebtor,1,,你们怎么会有我的电话,101
不愿配合,2,110,不认识，不要再打过来了啊,1
IfKnowDebtor,1,,他是干什么的,1
IfKnowDebtor,0,,找到给你发红包,1
IfKnowDebtor,1,,怎么老有人找他,1
IfKnowDebtor,1,,认不认识跟你有毛关系啊,1
IfKnowDebtor,1,,我刚买的号码,1
IfKnowDebtor,1,,你说什么,103
IfKnowDebtor,1,,找错人了,1
请求等下打来,2,104,没有时间,2
不愿配合,2,110,不要骚扰了,1
IfKnowDebtor,0,,不要提他了,1
IfKnowDebtor,0,,没有联系电话，,1
不愿配合,2,110,你生的儿子没屁眼儿,2
不愿配合,2,110,你自己联系他,2
IfKnowDebtor,1,,你在逗我,1
IfKnowDebtor,0,,我叫他等会给你回过来,0
请求重复,2,103,你说哪个？,2
IfKnowDebtor,1,,你搞错了哇,1
IfKnowDebtor,1,,以前好像以前打过牌，不认识,0
IfKnowDebtor,0,,这是朋友办理的手机号,1
IfKnowDebtor,1,,听名字不错,1
故意岔开话题,2,109,开车了不知道,1
IfKnowDebtor,1,,你找别人问问,1
IfKnowDebtor,1,,我也在找他,1
IfKnowDebtor,0,,不是,1
IfKnowDebtor,1,,他这号码不用给我用了,1
IfKnowDebtor,1,,不认得,1
故意岔开话题,2,109,最近他有没有和你联系啊,2
IfKnowDebtor,0,,你说的是张三么，没意思,0
IfKnowDebtor,1,,怎么会认识他,1
IfKnowDebtor,0,,见过面,0
IfKnowDebtor,0,,你是做什么的,107
IfKnowDebtor,1,,在打就不接,1
IfKnowDebtor,0,,打错了,1
IfKnowDebtor,1,,你说的是张三么者,0
IfKnowDebtor,1,,你是谁,107
IfKnowDebtor,1,,这人是什么地方的,1
回问身份,2,107,嗯嗯，你谁啊,0
IfKnowDebtor,0,,你找他爪子？,101
IfKnowDebtor,1,,关你什么事,1
不愿配合,2,110,认识与否，我就在这里，你还能那我咋地,2
IfKnowDebtor,0,,贷款我不要,109
不愿配合,2,110,我不认识你吧,1
IfKnowDebtor,1,,记不起,1
IfKnowDebtor,1,,你找谁,1
IfKnowDebtor,0,,恩；我不认识,1
IfKnowDebtor,0,,现在很忙下班联系,104
IfKnowDebtor,1,,什么鬼,101
IfKnowDebtor,0,,认识，你来我带你去他家啊,0
IfKnowDebtor,0,,在忙待会和你联系,104
IfKnowDebtor,1,,认识个球,1
IfKnowDebtor,0,,是的，我很忙,0
IfKnowDebtor,1,,我在上班,104
IfKnowDebtor,0,,不认识,1
IfKnowDebtor,0,,你是哪里,107
请求重复,2,103,什么事？,2
不愿配合,2,110,转告不了,1
IfKnowDebtor,1,,谁，你再说一遍,103
IfKnowDebtor,1,,我没有时间,104
说出目的,2,101,是的，有事吗,0
IfKnowDebtor,1,,你说的是谁,103
IfKnowDebtor,0,,认识我在外地不知道情况或债在外地,0
说出目的,2,101,是，怎么了,0
IfKnowDebtor,1,,不认识，咋个？他有啥子问题吗？,1
故意岔开话题,2,109,家哪里的啊,2
回问身份,2,107,你们谁呀,2
请求等下打来,2,104,现在在忙,2
IfKnowDebtor,0,,出国了,0
IfKnowDebtor,1,,你觉得我应该认识吗,1
IfKnowDebtor,1,,长头发短头发？,1
IfKnowDebtor,1,,听不清,103
请求等下打来,2,104,在睡觉,2
IfKnowDebtor,1,,不确定是不是你说的,1
IfKnowDebtor,0,,在工作,0
不愿配合,2,110,不知道啊,1
不愿配合,2,110,不知道,1
请求重复,2,103,没听明白？,2
回问身份,2,107,已经有人联系过我了,1
IfKnowDebtor,1,,发错了,1
IfKnowDebtor,0,,有毛病。你们自己打电话给他，,0
IfKnowDebtor,0,,他可能最近都没时间,0
说出目的,2,101,你有什么事,2
IfKnowDebtor,1,,不要在打来了,1
不愿配合,2,110,能不能别打我电话,1
说出目的,2,101,他去外地了，找他什么事情？,0
IfKnowDebtor,1,,老是骚扰干什么,1
不愿配合,2,110,不好意思，你打错电话了,1
IfKnowDebtor,0,,你是不是有病啊！,109
IfKnowDebtor,1,,记不清,1
故意岔开话题,2,109,下班后去健身吧,2
不愿配合,2,110,不要再打了,1
回问身份,2,107,你们是哪里？,2
IfKnowDebtor,0,,怎么回事啊,101
说出目的,2,101,你找这个人做什么？,2
故意岔开话题,2,109,可以用其他东西抵押不,2
不愿配合,2,110,哈哈，打错了,1
故意岔开话题,2,109,股民朋友吗,2
不愿配合,2,110,你们把之前打我通讯录的人找出来,2
IfKnowDebtor,1,,走开,1
IfKnowDebtor,1,,你是不是有病,1
故意岔开话题,2,109,失踪了,0
IfKnowDebtor,1,,你在找找,109
IfKnowDebtor,0,,我认识的人叫这个名字的多了，你说具体点，我才晓得。,1
请求等下打来,2,104,他在开车,0
IfKnowDebtor,0,,认识啊干嘛跟你说！你谁啊？,0
IfKnowDebtor,0,,我在忙,104
IfKnowDebtor,1,,不要找我,1
IfKnowDebtor,1,,你说的是张三么阿,0
请求重复,2,103,能不能大点声,2
IfKnowDebtor,1,,你说什么,103
故意岔开话题,2,109,即便这功劳尽舍弃,2
IfKnowDebtor,1,,你找张三打我干嘛,1
请求重复,2,103,这个是,2
故意岔开话题,2,109,不是本人，有病小医生,2
不愿配合,2,110,自己找他,1
IfKnowDebtor,1,,你是不是打错了,1
说出目的,2,101,你找他事催款吗？,2
IfKnowDebtor,1,,我想一想,1
请求等下打来,2,104,晚上我打你电话,2
请求重复,2,103,张三？,2
IfKnowDebtor,0,,你是谁,107
IfKnowDebtor,0,,这是我家里人的号码给我用的,1
IfKnowDebtor,0,,不认识,1
IfKnowDebtor,1,,只见过几次面,0
说出目的,2,101,他欠了你们好多钱嘛,2
IfKnowDebtor,0,,认识，那又怎么样,0
IfKnowDebtor,1,,你哪里拿的电话,1
IfKnowDebtor,1,,有什么事,101
IfKnowDebtor,0,,跟我没关系,1
请求等下打来,2,104,他等会就回来,0
不愿配合,2,110,不知道了,1
IfKnowDebtor,1,,我你都不认识啦？,109
IfKnowDebtor,0,,我哥哥,0
不愿配合,2,110,有病,2
IfKnowDebtor,0,,在开车,104
IfKnowDebtor,0,,啊,0
IfKnowDebtor,0,,有事？,101
IfKnowDebtor,1,,怎么莫名其妙的电话打过来,1
IfKnowDebtor,1,,你现在严重骚扰我了,1
回问身份,2,107,我不认识你,2
IfKnowDebtor,0,,他在开会不方便接电话,0
IfKnowDebtor,1,,你哪位,107
请求等下打来,2,104,我朋友在,1
说出目的,2,101,怎么了,2
IfKnowDebtor,1,,是哪个？,103
回问身份,2,107,名字呢,103
不愿配合,2,110,你是不是打错了哦,1
IfKnowDebtor,1,,不知,1
IfKnowDebtor,0,,算是吧,0
IfKnowDebtor,1,,不要问我,1
IfKnowDebtor,1,,我联系看看,0
IfKnowDebtor,0,,你说的是张三么嗯,0
IfKnowDebtor,0,,欠钱太多跑路了,0
IfKnowDebtor,0,,明天我打你电话,104
IfKnowDebtor,1,,信号不好,103
说出目的,2,101,什么事情？他现在不在，要不要我转告他？,0
IfKnowDebtor,0,,不是,1
IfKnowDebtor,0,,我待你去找,0
回问身份,2,107,鬼大爷晓得你不是债务公司的人啊,2
IfKnowDebtor,1,,认不认识跟你有关系么,1
说出目的,2,101,咦，咋个还有人找他也？你找他咋个事情？,1
不愿配合,2,110,有病,1
IfKnowDebtor,1,,他怎么了,101
说出目的,2,101,什么事？,2
IfKnowDebtor,0,,我没办法转告,0
回问身份,2,107,内谁啊,2
不愿配合,2,110,别打我电话,1
IfKnowDebtor,0,,听不懂,1
IfKnowDebtor,1,,家哪里的啊,109
IfKnowDebtor,0,,等会我告诉我,0
请求等下打来,2,104,下午给我联系吧,2
不愿配合,2,110,我这里不是你要找的人,1
IfKnowDebtor,1,,我没这个朋友啊,1
IfKnowDebtor,0,,找他做什么啊,0
故意岔开话题,2,109,我想要的是无话不说,2
说出目的,2,101,我是他哥，有什么事情告诉我？,0
IfKnowDebtor,1,,打电话给我干什么,1
IfKnowDebtor,1,,你神经病吧,109
请求重复,2,103,这名字没听清,2
说出目的,2,101,你和他是啥子关系,2
说出目的,2,101,请问找他干嘛,2
IfKnowDebtor,1,,不知道你在说什么,1
回问身份,2,107,打错了,1
IfKnowDebtor,1,,你说谁？？他干嘛的？？,1
说出目的,2,101,怎么了？,2
请求重复,2,103,怎么回事啊？,2
请求等下打来,2,104,待还再打,2
IfKnowDebtor,0,,一起打过牌不熟。,0
IfKnowDebtor,1,,我不知道,1
