from,label,original_label,original_text,,
ConfirmLoan,0,,实在罗不转,0,
故意岔开话题,2,109,麦子熟了,2,
ConfirmLoan,0,,没拿到工资,0,
故意岔开话题,2,109,投资做生意失败了,0,
ConfirmLoan,0,,我想法子,0,
故意岔开话题,2,109,我不缺钱，分分钟几百万,2,
ConfirmLoan,0,,现在在忙，没空打钱,0,
ConfirmLoan,1,,不关我的事,1,
ConfirmLoan,1,,钱不对,0,
ConfirmLoan,0,,离职了,1,
ConfirmLoan,0,,我尽量还，但是要给我时间啊，你说对吧,0,
ConfirmLoan,1,,瞎扯,1,
故意岔开话题,2,109,我靠，我的信息又被卖了,2,
ConfirmLoan,1,,我都还了，你们不要再打了,1,
故意岔开话题,2,109,多摆一盘？,2,
故意岔开话题,2,109,你打错了,1,
回问身份,2,107,你是骗子吧,1,
ConfirmLoan,0,,做生意亏了,0,
ConfirmLoan,0,,我根本就没有借那么多,0,
故意岔开话题,2,109,可能是我在做梦吧,2,
ConfirmLoan,0,,当时借的时候，都不是这样说的,0,
ConfirmLoan,0,,我身无分文,0,
ConfirmLoan,0,,怎么会这么多？,0,
ConfirmLoan,1,,我认不到你，莫跟我说乃些,1,
故意岔开话题,2,109,我多少还多少,0,
ConfirmLoan,0,,抢吗,1,
ConfirmLoan,1,,没有哦，是不是我的身份被盗了？,1,
还款方式,2,108,我都不用智能手机，钱咋个个还法,2,
ConfirmLoan,0,,这么多啊,0,
ConfirmLoan,1,,你说什么？我欠钱？,1,
还款方式,2,108,我的银行卡被冻结了,0,
ConfirmLoan,0,,偷吗,109,
故意岔开话题,2,109,我不知道,1,
ConfirmLoan,0,,现在有一顿没一顿的，怎么还钱啊！,0,
ConfirmLoan,1,,你找谁？我不认识,1,
故意岔开话题,2,109,我先洗个澡,104,
故意岔开话题,2,109,我妈妈来了,2,
还款方式,2,108,以前没钱，现在怎么处理,2,
ConfirmLoan,1,,啥子哦？你有没有搞错,1,
ConfirmLoan,0,,我欠的太多了,0,
请求等下打来,2,104,等有空还,0,
回问身份,2,107,你是骗子吧,1,
ConfirmLoan,0,,刚下岗,0,
故意岔开话题,2,109,过去了,2,
ConfirmLoan,1,,啥？有这事？看我这个记性。,1,
ConfirmLoan,1,,缺钱花你去问银行要，找我干嘛,1,
故意岔开话题,2,109,滚，你们再打我就，信不信我让你们吃不了兜着走,1,
回问身份,2,107,你他妈是谁啊，我欠不欠钱关你屁事,2,
ConfirmLoan,1,,我不知道,1,
还款方式,2,108,我换张卡给你转,2,
故意岔开话题,2,109,汽车还多啊,2,
还款方式,2,108,我把钱转到哪里去呢？,2,
ConfirmLoan,0,,我也不知道逾期了啊，怎么这么快呢？,0,
故意岔开话题,2,109,我不还你们打算怎么办,0,1
还款方式,2,108,我现在有钱，但是不知道如何还,2,
故意岔开话题,2,109,不对啊,1,
ConfirmLoan,1,,爬远点，豁我嗦,1,
故意岔开话题,2,109,打错了,1,
故意岔开话题,2,109,我困了,2,
故意岔开话题,2,109,我没吃,2,
ConfirmLoan,0,,我的七大姑八大姨天天追债，我已经山穷水尽了,109,
ConfirmLoan,0,,钱不确定什么时候到,0,
ConfirmLoan,1,,真晦气，今天第几个诈骗电话了。,1,
故意岔开话题,2,109,我很烦，出来喝酒不？,2,
ConfirmLoan,1,,我不知道,1,
故意岔开话题,2,109,你都打过来了还问是不是,2,
故意岔开话题,2,109,央行降准了,2,
ConfirmLoan,0,,我有钱还的时候你杂不说,0,
请求等下打来,2,104,我哪知道啊，钱是朋友帮我借的！,1,
ConfirmLoan,0,,家人不知道帮不帮我,0,
ConfirmLoan,1,,瞎说,1,
ConfirmLoan,1,,你很闲是吧？,1,
ConfirmLoan,0,,我母亲病了，等一段时间再说吧,0,
故意岔开话题,2,109,你找错人了,1,
ConfirmLoan,1,,呵呵,109,
故意岔开话题,2,109,你脑子被驴踢了吧,1,
故意岔开话题,2,109,我朋友借一下，抓紧把事情处理掉。,2,
故意岔开话题,2,109,你是不是打错了,1,
故意岔开话题,2,109,我没有证明,2,
故意岔开话题,2,109,抱一抱，就当做从没借款2万,2,
ConfirmLoan,1,,我不差钱,109,
回问身份,2,107,你不会是骗子吧？,2,
ConfirmLoan,0,,借了你们好多？,0,
ConfirmLoan,1,,我不确定,1,
ConfirmLoan,1,,嫩乱说,1,
故意岔开话题,2,109,气温已经到了34度，你们要注意保温,2,
ConfirmLoan,0,,最近忙,0,
ConfirmLoan,1,,想不起来了呢,1,
ConfirmLoan,0,,昨天的彩票没有中，今天继续买,109,
ConfirmLoan,1,,找错饿了,1,
故意岔开话题,2,109,你发工资了没有,2,
ConfirmLoan,1,,清不到，不晓得,1,
ConfirmLoan,0,,老家有事情，急事，才回来，没来得及处理,0,
故意岔开话题,2,109,你的背包，背到现在还没烂,2,
ConfirmLoan,0,,不算利息好不,0,
故意岔开话题,2,109,年少万兜鍪,2,
ConfirmLoan,0,,你说呢,109,
故意岔开话题,2,109,我难得还了,0,
ConfirmLoan,1,,好久欠了这么多钱哦，我都不晓得,1,
故意岔开话题,2,109,生病住院,2,
ConfirmLoan,1,,再打就报警了,1,
ConfirmLoan,1,,你逗我玩呢？,1,
故意岔开话题,2,109,你先把你欠我的5万还了再说。,1,
ConfirmLoan,1,,那2万2个月前我就还了，哪有逾期,1,
ConfirmLoan,0,,前两天弄坏了公司的电脑，要赔钱。,0,
故意岔开话题,2,109,不好意思，你打错电话了,1,
ConfirmLoan,0,,已经有人联系过我了,109,
ConfirmLoan,0,,你看我应该拿衣服还是裤子去抵押,109,
还款方式,2,108,能不能用信用卡还,2,
ConfirmLoan,1,,我是土豪，没贷过款,1,
ConfirmLoan,1,,你认识我？我不知道,1,
ConfirmLoan,1,,你看错了吧,1,
故意岔开话题,2,109,我怎么不记得了,1,
故意岔开话题,2,109,今天我还不了,0,
还款方式,2,108,怎么还款我给忘了,0,
ConfirmLoan,1,,真的吗？,1,
ConfirmLoan,0,,已经好几天没吃饭了,109,
ConfirmLoan,1,,给老子滚，别再打来了,1,
ConfirmLoan,1,,死骗子，哪来的？,1,
故意岔开话题,2,109,不会是你搞错了哇,1,
ConfirmLoan,1,,我难得管,1,
故意岔开话题,2,109,不打错电话了哇,1,
ConfirmLoan,0,,我炒股输了,0,
ConfirmLoan,0,,出车祸了,0,
请求重复,2,103,吵死了,2,
还款方式,2,108,怎么还钱啊？,2,
ConfirmLoan,1,,什么？这么多,0,
ConfirmLoan,0,,我后面给你,0,
故意岔开话题,2,109,我不知道,1,
故意岔开话题,2,109,我刚买的,1,
故意岔开话题,2,109,我还说些啥呢,1,
回问身份,2,107,想套我信息？,1,
故意岔开话题,2,109,我是忘记还了，怎么操作,108,
ConfirmLoan,0,,你这个数额不对,0,
ConfirmLoan,1,,那2万2个月前我就还了，哪有逾期,1,
回问身份,2,107,你是谁，我不认识他。,2,
故意岔开话题,2,109,还不起你又能把我怎样,1,
ConfirmLoan,1,,没求得钱啥，你是不是傻,1,
请求等下打来,2,104,我的任务都没有完成的呢,109,
请求等下打来,2,104,最近忙,109,
ConfirmLoan,1,,这么多,0,
请求等下打来,2,104,我没话费了，再见,2,
故意岔开话题,2,109,明天朋友就换我钱了,2,
ConfirmLoan,1,,你脑子被驴踢了哇，我好久欠钱不还了？,0,
ConfirmLoan,0,,你们不是上门服务么？顺便把借款合同给我,0,
ConfirmLoan,1,,你说多少钱？那点钱老子也需要借？,1,
故意岔开话题,2,109,我都已经说了不认识了,1,
ConfirmLoan,1,,啥子东西哦,1,
故意岔开话题,2,109,受伤了,0,
ConfirmLoan,1,,我又没有欠过钱,1,
还款方式,2,108,能用外币还嘛,2,
ConfirmLoan,1,,我可没有欠那么多钱，你们不要胡说,1,
故意岔开话题,2,109,要钱没有，要命一条,2,
故意岔开话题,2,109,天天催啥子嘛！没得钱还！,0,1
回问身份,2,107,骗子,1,
故意岔开话题,2,109,跟着我摇摆,2,
故意岔开话题,2,109,神经病没5天能还？,-1,
ConfirmLoan,0,,你放高利贷的哇，我去揭发你,1,
回问身份,2,107,我怕你是骗子哦,1,
故意岔开话题,2,109,嫩瞎扯淡,2,
ConfirmLoan,0,,我网银密码忘了,0,
故意岔开话题,2,109,再打就报警了,1,
ConfirmLoan,0,,你们那边没收到吗,0,
故意岔开话题,2,109,你们能拿多少钱工资啊,2,
故意岔开话题,2,109,能用的钱有多少,2,
还款方式,2,108,我把钱换了，借条怎么还给我？,0,
ConfirmLoan,1,,听都没听过，你才借钱不还呢！,1,
故意岔开话题,2,109,最近球赛还有点好看，买彩票没？,2,
故意岔开话题,2,109,我这里不是你要找的人,1,
还款方式,2,108,你们不是上门服务么？顺便把借款合同给我,2,
ConfirmLoan,1,,爬爬爬，关我锤子事,1,
ConfirmLoan,0,,我现在借钱,0,
ConfirmLoan,1,,根本就是无理取闹,1,
ConfirmLoan,0,,不晓得好久才还得起哦,0,
ConfirmLoan,1,,没欠那么多吧,0,
故意岔开话题,2,109,我没在家,0,
ConfirmLoan,0,,我孩子生病了,0,
ConfirmLoan,0,,我是别个帮我办的,1,
ConfirmLoan,1,,你有病吧？,1,
ConfirmLoan,1,,关我屁事,1,
ConfirmLoan,1,,胡扯,1,
故意岔开话题,2,109,人血馒头不好吃,2,
ConfirmLoan,1,,我早就还完了啊，怎么还打电话,1,
故意岔开话题,2,109,不管我的事,1,
ConfirmLoan,1,,瞎扯淡,1,
